Longitude,Latitude,CSR,State
-80.54,32.49,27.914,South Carolina
-80.63,32.59,29.043,South Carolina
-80.61,32.68,32.786,South Carolina
-80.59,32.77,36.056,South Carolina
-80.58,32.86,35.378,South Carolina
-80.56,32.95,36.867,South Carolina
-79.71,32.84,32.979,South Carolina
-80.54,33.04,34.875,South Carolina
-79.69,32.92,34.733,South Carolina
-80.53,33.12,32.408,South Carolina
-80.51,33.21,30.687,South Carolina
-79.66,33.1,34.863,South Carolina
-80.39,33.29,31.919,South Carolina
-79.64,33.19,32.47,South Carolina
-80.27,33.36,32.886,South Carolina
-79.62,33.28,29.309,South Carolina
-80.14,33.44,29.832,South Carolina
-79.71,33.38,29.617,South Carolina
-80.02,33.51,27.542,South Carolina
-79.91,33.5,27.461,South Carolina
-79.8,33.48,26.884,South Carolina
-81.02,32.19,14.266,South Carolina
-80.98,32.46,17.494,South Carolina
-80.66,32.42,22.51,South Carolina
-81.25,32.76,15.894,South Carolina
-80.93,32.72,21.1,South Carolina
-81.52,33.06,14.216,South Carolina
-81.2,33.03,16.892,South Carolina
-80.88,32.99,22.326,South Carolina
-81.47,33.33,14.584,South Carolina
-81.15,33.29,16.667,South Carolina
-80.83,33.25,20.812,South Carolina
-81.43,33.6,14.392,South Carolina
-81.11,33.56,16.135,South Carolina
-80.78,33.52,18.176,South Carolina
-80.46,33.48,23.217,South Carolina
-79.5,33.35,23.955,South Carolina
-79.18,33.31,17.195,South Carolina
-82.35,33.97,16.573,South Carolina
-82.03,33.94,13.523,South Carolina
-81.7,33.9,13.778,South Carolina
-81.38,33.86,14.554,South Carolina
-81.06,33.82,15.36,South Carolina
-80.74,33.78,16.591,South Carolina
-80.41,33.74,18.066,South Carolina
-80.09,33.7,19.998,South Carolina
-79.77,33.66,19.895,South Carolina
-79.45,33.62,17.669,South Carolina
-79.13,33.57,14.937,South Carolina
-82.63,34.27,12.882,South Carolina
-82.31,34.24,13.221,South Carolina
-81.98,34.2,13.236,South Carolina
-81.66,34.17,13.877,South Carolina
-81.33,34.13,14.565,South Carolina
-81.01,34.09,14.776,South Carolina
-80.69,34.05,14.861,South Carolina
-80.36,34.01,15.091,South Carolina
-80.04,33.97,15.587,South Carolina
-79.72,33.92,15.23,South Carolina
-79.39,33.88,14.179,South Carolina
-79.07,33.84,12.65,South Carolina
-82.92,34.58,14.013,South Carolina
-82.59,34.54,13.315,South Carolina
-82.27,34.51,12.748,South Carolina
-81.94,34.47,12.831,South Carolina
-81.61,34.43,13.45,South Carolina
-81.29,34.39,13.852,South Carolina
-80.96,34.35,13.744,South Carolina
-80.64,34.32,13.585,South Carolina
-80.31,34.27,13.322,South Carolina
-79.99,34.23,13.274,South Carolina
-79.66,34.19,12.714,South Carolina
-83.2,34.88,14.899,South Carolina
-82.88,34.84,16.604,South Carolina
-82.55,34.81,14.584,South Carolina
-82.22,34.77,12.79,South Carolina
-81.24,34.66,12.5,South Carolina
-82.51,35.07,13.969,South Carolina
-80.44,32.5,30.652,South Carolina
-80.39,32.5,32.128,South Carolina
-80.35,32.49,32.057,South Carolina
-80.31,32.49,31.862,South Carolina
-80.47,32.55,32.45,South Carolina
-80.43,32.54,33.253,South Carolina
-80.39,32.53,34.277,South Carolina
-80.35,32.53,35.171,South Carolina
-80.3,32.52,33.826,South Carolina
-80.51,32.59,33.072,South Carolina
-80.47,32.58,35.081,South Carolina
-80.42,32.58,36.773,South Carolina
-80.38,32.57,36.339,South Carolina
-80.34,32.56,36.189,South Carolina
-80.3,32.56,37.425,South Carolina
-80.25,32.55,36.649,South Carolina
-80.21,32.55,36.831,South Carolina
-80.17,32.54,34.545,South Carolina
-80.54,32.63,34.033,South Carolina
-80.5,32.62,35.697,South Carolina
-80.46,32.62,37.534,South Carolina
-80.42,32.61,38.49,South Carolina
-80.37,32.61,38.822,South Carolina
-80.33,32.6,40.388,South Carolina
-80.29,32.59,40.199,South Carolina
-80.25,32.59,41.804,South Carolina
-80.2,32.58,39.284,South Carolina
-80.16,32.58,38.112,South Carolina
-80.54,32.66,34.555,South Carolina
-80.49,32.66,36.981,South Carolina
-80.45,32.65,39.588,South Carolina
-80.41,32.65,41.817,South Carolina
-80.37,32.64,42.357,South Carolina
-80.33,32.64,43.348,South Carolina
-80.28,32.63,43.001,South Carolina
-80.24,32.62,43.493,South Carolina
-80.2,32.62,43.679,South Carolina
-80.16,32.61,41.404,South Carolina
-80.11,32.61,40.406,South Carolina
-80.07,32.6,37.006,South Carolina
-80.57,32.7,34.896,South Carolina
-80.53,32.7,36.082,South Carolina
-80.49,32.69,39.423,South Carolina
-80.45,32.69,40.86,South Carolina
-80.4,32.68,43.073,South Carolina
-80.36,32.68,45.889,South Carolina
-80.32,32.67,47.565,South Carolina
-80.28,32.67,49.277,South Carolina
-80.23,32.66,49.347,South Carolina
-80.19,32.65,45.632,South Carolina
-80.15,32.65,46.423,South Carolina
-80.11,32.64,43.578,South Carolina
