Longitude,Latitude,CSR,State
-112.83,37.911,58.88297396,Utah
-111.892,39.405,49.26633145,Utah
-111.913,39.493,54.28082881,Utah
-111.933,39.581,56.07974709,Utah
-111.818,39.597,58.54978145,Utah
-111.954,39.669,63.87130667,Utah
-111.723,39.7,50.94875339,Utah
-111.975,39.756,65.8550381,Utah
-111.743,39.788,55.88138794,Utah
-111.996,39.844,62.99083415,Utah
-111.764,39.876,75.89212031,Utah
-111.648,39.891,53.75457114,Utah
-112.017,39.932,57.12328215,Utah
-111.552,39.995,53.60629839,Utah
-111.922,40.036,63.91343631,Utah
-111.826,40.139,69.83884486,Utah
-111.847,40.227,57.64004156,Utah
-111.73,40.243,77.06823307,Utah
-111.614,40.258,66.60173682,Utah
-111.868,40.315,59.676599,Utah
-111.751,40.331,77.0519092,Utah
-111.634,40.346,62.96564214,Utah
-111.889,40.403,72.77414385,Utah
-111.655,40.434,53.47856828,Utah
-112.027,40.475,65.44109314,Utah
-111.676,40.522,54.81504502,Utah
-112.048,40.563,56.78157532,Utah
-111.931,40.579,75.66284039,Utah
-111.697,40.61,52.58814745,Utah
-112.07,40.651,56.30377232,Utah
-112.091,40.738,62.98359094,Utah
-112.112,40.826,68.05713888,Utah
-111.759,40.874,53.21549289,Utah
-112.016,40.93,69.46677325,Utah
-112.037,41.018,66.73247813,Utah
-111.919,41.034,70.65391365,Utah
-112.059,41.106,64.50330164,Utah
-111.822,41.138,52.74861971,Utah
-112.08,41.194,66.63994335,Utah
-111.844,41.225,54.80130758,Utah
-112.102,41.282,70.69495158,Utah
-111.865,41.313,63.25374712,Utah
-112.123,41.37,76.93245027,Utah
-111.886,41.401,58.48477856,Utah
-112.145,41.457,69.86004253,Utah
-111.907,41.489,57.69474735,Utah
-112.167,41.545,65.73326106,Utah
-111.929,41.577,60.74818977,Utah
-111.81,41.593,54.50330343,Utah
-112.188,41.633,62.94358296,Utah
-112.069,41.649,69.07444323,Utah
-111.95,41.665,64.96879182,Utah
-111.831,41.681,59.22692466,Utah
-112.091,41.737,55.49194849,Utah
-111.972,41.753,61.86769578,Utah
-111.853,41.769,61.41619796,Utah
-112.113,41.825,51.09565112,Utah
-111.993,41.841,63.3033544,Utah
-111.874,41.857,60.94476702,Utah
-112.134,41.913,54.35401411,Utah
-112.015,41.929,67.67151368,Utah
-111.895,41.945,58.56056999,Utah
-113.887,37.022,26.60088785,Utah
-113.553,37.074,31.18383924,Utah
-113.219,37.126,32.15526678,Utah
-112.884,37.176,28.27338806,Utah
-112.549,37.226,26.01674786,Utah
-113.955,37.284,27.64682585,Utah
-113.62,37.337,31.58884447,Utah
-112.948,37.439,32.28615745,Utah
-112.612,37.489,33.36486255,Utah
-112.275,37.538,29.75563259,Utah
-111.938,37.586,27.16852519,Utah
-114.023,37.546,26.63397668,Utah
-113.686,37.599,29.71940813,Utah
-113.35,37.651,36.37716805,Utah
-111.999,37.849,34.77727113,Utah
-111.66,37.896,28.39075783,Utah
-113.754,37.862,24.96846,Utah
-113.416,37.914,29.92788233,Utah
-113.078,37.965,38.17901468,Utah
-111.72,38.16,31.67873274,Utah
-113.482,38.176,24.93024923,Utah
-113.143,38.228,30.60605878,Utah
-112.803,38.278,37.32359933,Utah
-111.439,38.47,31.22129427,Utah
-113.209,38.49,24.93990477,Utah
-112.868,38.541,29.94997568,Utah
-112.526,38.59,37.01560317,Utah
-112.933,38.804,25.9259442,Utah
-112.59,38.854,31.79884815,Utah
-112.655,39.117,27.44525523,Utah
-112.31,39.166,33.58139762,Utah
-111.965,39.214,37.16775438,Utah
-111.62,39.261,34.7205485,Utah
-112.72,39.38,23.75871459,Utah
-112.374,39.429,30.94993892,Utah
-112.438,39.692,28.45860554,Utah
-112.503,39.955,27.49530811,Utah
-112.154,40.004,38.52937416,Utah
-112.917,40.169,24.74480473,Utah
-112.568,40.219,37.033684,Utah
-112.218,40.267,38.03952022,Utah
-112.984,40.432,28.42972516,Utah
-111.579,40.626,39.94933394,Utah
-111.227,40.672,28.175723,Utah
-113.051,40.695,25.70775818,Utah
-112.7,40.745,33.95447611,Utah
-111.641,40.889,38.7687342,Utah
-111.288,40.936,28.69079726,Utah
-113.119,40.958,25.20307631,Utah
-112.766,41.008,30.81057107,Utah
-111.349,41.2,34.18132117,Utah
-113.895,41.117,24.0462268,Utah
-113.541,41.17,25.13534295,Utah
-113.188,41.221,27.29679429,Utah
-112.833,41.272,34.17900523,Utah
-111.411,41.464,37.0914238,Utah
