Longitude,Latitude,Qreq,State
-80.54,32.49,117.792,South Carolina
-80.63,32.59,119.377,South Carolina
-80.61,32.68,127.191,South Carolina
-80.59,32.77,133.748,South Carolina
-80.58,32.86,134.654,South Carolina
-80.56,32.95,134.747,South Carolina
-79.71,32.84,129.579,South Carolina
-80.54,33.04,131.42,South Carolina
-79.69,32.92,132.873,South Carolina
-80.53,33.12,127.506,South Carolina
-80.51,33.21,122.55,South Carolina
-79.66,33.1,132.368,South Carolina
-80.39,33.29,125.459,South Carolina
-79.64,33.19,128.275,South Carolina
-80.27,33.36,126.414,South Carolina
-79.62,33.28,122.89,South Carolina
-80.14,33.44,122.662,South Carolina
-79.71,33.38,121.612,South Carolina
-80.02,33.51,115.788,South Carolina
-79.91,33.5,115.272,South Carolina
-79.8,33.48,115.788,South Carolina
-81.02,32.19,67.783,South Carolina
-80.98,32.46,84.822,South Carolina
-80.66,32.42,102.043,South Carolina
-81.25,32.76,75.377,South Carolina
-80.93,32.72,97.877,South Carolina
-81.52,33.06,62.123,South Carolina
-81.2,33.03,79.947,South Carolina
-80.88,32.99,99.041,South Carolina
-81.47,33.33,63.017,South Carolina
-81.15,33.29,77.186,South Carolina
-80.83,33.25,94.324,South Carolina
-81.43,33.6,62.899,South Carolina
-81.11,33.56,73.504,South Carolina
-80.78,33.52,85.721,South Carolina
-80.46,33.48,103.845,South Carolina
-79.5,33.35,107.79,South Carolina
-79.18,33.31,83.538,South Carolina
-82.35,33.97,62.17,South Carolina
-82.03,33.94,44.73,South Carolina
-81.7,33.9,50.216,South Carolina
-81.38,33.86,60.019,South Carolina
-81.06,33.82,69.849,South Carolina
-80.74,33.78,76.744,South Carolina
-80.41,33.74,84.262,South Carolina
-80.09,33.7,93.596,South Carolina
-79.77,33.66,94.168,South Carolina
-79.45,33.62,85.191,South Carolina
-79.13,33.57,71.346,South Carolina
-82.63,34.27,32.307,South Carolina
-82.31,34.24,37.447,South Carolina
-81.98,34.2,40.263,South Carolina
-81.66,34.17,49.93,South Carolina
-81.33,34.13,58.617,South Carolina
-81.01,34.09,63.804,South Carolina
-80.69,34.05,66.494,South Carolina
-80.36,34.01,69.054,South Carolina
-80.04,33.97,72.083,South Carolina
-79.72,33.92,72.025,South Carolina
-79.39,33.88,66.082,South Carolina
-79.07,33.84,55.624,South Carolina
-82.92,34.58,38.083,South Carolina
-82.59,34.54,35.29,South Carolina
-82.27,34.51,33.82,South Carolina
-81.94,34.47,36.352,South Carolina
-81.61,34.43,43.295,South Carolina
-81.29,34.39,50.86,South Carolina
-80.96,34.35,53.588,South Carolina
-80.64,34.32,54.481,South Carolina
-80.31,34.27,55.049,South Carolina
-79.99,34.23,56.446,South Carolina
-79.66,34.19,54.849,South Carolina
-83.2,34.88,44.078,South Carolina
-82.88,34.84,57.312,South Carolina
-82.55,34.81,42.229,South Carolina
-82.22,34.77,31.22,South Carolina
-81.24,34.66,36.103,South Carolina
-82.51,35.07,38.703,South Carolina
-80.44,32.5,123,South Carolina
-80.39,32.5,126.709,South Carolina
-80.35,32.49,126.511,South Carolina
-80.31,32.49,126.264,South Carolina
-80.47,32.55,128.384,South Carolina
-80.43,32.54,129.201,South Carolina
-80.39,32.53,130.281,South Carolina
-80.35,32.53,131.103,South Carolina
-80.3,32.52,131.473,South Carolina
-80.51,32.59,130.7,South Carolina
-80.47,32.58,132.635,South Carolina
-80.42,32.58,135.507,South Carolina
-80.38,32.57,136.719,South Carolina
-80.34,32.56,136.665,South Carolina
-80.3,32.56,137.709,South Carolina
-80.25,32.55,135.631,South Carolina
-80.21,32.55,134.267,South Carolina
-80.17,32.54,132.301,South Carolina
-80.54,32.63,131.796,South Carolina
