Longitude,Latitude,Qreq,State
-113.352,37.31,103.8402974,Utah
-113.385,37.441,103.3495973,Utah
-113.217,37.467,107.5826275,Utah
-113.249,37.598,108.8010335,Utah
-113.081,37.624,110.069445,Utah
-112.912,37.649,111.7841428,Utah
-112.744,37.674,110.5552238,Utah
-112.575,37.699,108.0114105,Utah
-112.406,37.723,107.1473256,Utah
-113.113,37.755,111.3035491,Utah
-112.944,37.78,125.7411747,Utah
-112.776,37.805,126.1430312,Utah
-112.606,37.83,117.1139039,Utah
-112.437,37.855,115.7510011,Utah
-112.268,37.879,112.3688664,Utah
-112.099,37.903,107.1241266,Utah
-112.977,37.912,120.7502188,Utah
-112.638,37.962,127.0485186,Utah
-112.469,37.986,120.9261724,Utah
-112.299,38.011,117.5829824,Utah
-112.13,38.035,111.2001771,Utah
-111.96,38.059,105.8858483,Utah
-113.009,38.043,109.9972397,Utah
-112.84,38.068,122.3808447,Utah
-112.67,38.093,121.7629758,Utah
-112.5,38.118,119.6765309,Utah
-112.33,38.142,117.3428757,Utah
-112.161,38.166,113.0447574,Utah
-111.99,38.19,109.5711047,Utah
-112.702,38.225,112.7243626,Utah
-112.532,38.249,113.0571493,Utah
-112.362,38.274,116.9248786,Utah
-112.192,38.298,116.3238401,Utah
-112.021,38.322,113.929247,Utah
-111.851,38.346,107.7204564,Utah
-112.564,38.381,109.3202946,Utah
-112.393,38.405,114.2763229,Utah
-112.223,38.43,117.4069846,Utah
-112.052,38.454,118.7173503,Utah
-111.881,38.477,114.5991246,Utah
-111.71,38.501,108.0551959,Utah
-111.539,38.524,103.0447936,Utah
-112.425,38.537,111.4108063,Utah
-112.254,38.561,118.5077892,Utah
-112.083,38.585,122.5755333,Utah
-111.912,38.609,119.7398903,Utah
-111.741,38.633,115.7119979,Utah
-111.57,38.656,118.2385539,Utah
-111.398,38.679,107.4266708,Utah
-112.457,38.669,106.019134,Utah
-112.286,38.693,115.2212754,Utah
-112.114,38.717,119.7863396,Utah
-111.943,38.741,117.9111797,Utah
-111.771,38.764,116.747668,Utah
-111.6,38.788,122.1754419,Utah
-111.428,38.811,111.6702536,Utah
-112.317,38.824,108.5377743,Utah
-112.146,38.849,111.2143433,Utah
-111.974,38.872,111.0582715,Utah
-111.802,38.896,111.2798486,Utah
-111.63,38.92,109.019175,Utah
-111.458,38.943,102.1545597,Utah
-112.177,38.98,106.9732129,Utah
-112.005,39.004,108.9627659,Utah
-111.833,39.028,107.9520018,Utah
-111.661,39.051,104.720558,Utah
-111.895,39.291,111.9034872,Utah
-112.099,39.399,113.0509064,Utah
-111.753,39.447,112.3325749,Utah
-111.641,39.734,118.3774996,Utah
-112.051,39.95,127.8758966,Utah
-111.94,40.237,126.4126353,Utah
-111.971,40.369,132.0551892,Utah
-111.62,40.416,127.2034598,Utah
-112.705,40.404,106.8882442,Utah
-112.179,40.477,122.8098122,Utah
-111.652,40.548,128.3360261,Utah
-112.738,40.535,104.3122414,Utah
-112.211,40.609,122.4446573,Utah
-111.683,40.68,126.2732983,Utah
-112.243,40.74,128.3395644,Utah
-111.714,40.812,126.2286307,Utah
-112.275,40.872,125.1838879,Utah
-111.746,40.944,125.8331417,Utah
-112.485,40.979,114.4671645,Utah
-112.308,41.004,125.256684,Utah
-112.131,41.028,131.5803293,Utah
-111.777,41.076,123.4093054,Utah
-112.518,41.111,116.3260657,Utah
-112.341,41.136,120.5669311,Utah
-112.163,41.16,130.2795541,Utah
-111.809,41.207,128.2026925,Utah
-112.551,41.243,115.1567599,Utah
-112.373,41.267,117.0243157,Utah
-112.196,41.292,136.0750662,Utah
-111.663,41.363,117.8910168,Utah
-112.584,41.375,113.9530856,Utah
-111.694,41.495,120.0160923,Utah
-111.516,41.518,112.088644,Utah
-111.338,41.541,109.6727007,Utah
-112.795,41.481,106.2948066,Utah
-112.261,41.555,129.7279408,Utah
-111.726,41.627,126.8280756,Utah
-111.547,41.65,117.0921041,Utah
-111.369,41.673,116.7098009,Utah
-111.19,41.696,116.6774694,Utah
-112.651,41.638,116.6220386,Utah
-112.472,41.663,117.6921496,Utah
-112.294,41.687,124.1469972,Utah
-111.579,41.782,123.6819299,Utah
-111.4,41.805,126.6133434,Utah
-111.221,41.828,123.6531137,Utah
-112.684,41.77,120.1468854,Utah
-112.506,41.794,123.2611269,Utah
-112.327,41.819,121.7725418,Utah
-112.148,41.843,129.7455036,Utah
-111.61,41.914,123.4655235,Utah
-111.431,41.937,129.9672115,Utah
-111.252,41.96,130.5345821,Utah
-112.718,41.902,118.9293528,Utah
-112.539,41.926,126.1335782,Utah
-112.36,41.951,124.6836341,Utah
-113.821,38.124,60.58739933,Utah
-113.89,38.387,48.53861261,Utah
-113.55,38.439,58.61645973,Utah
-113.958,38.649,43.583847,Utah
-113.617,38.702,46.98084731,Utah
-113.275,38.753,58.4368638,Utah
-114.028,38.911,44.78489278,Utah
