Longitude,Latitude,Qreq,State
-73.4654,41.072,54.19870668,Connecticut
-73.3842,41.333,41.3409169,Connecticut
-73.0326,41.272,32.50234086,Connecticut
-73.3024,41.594,28.10644751,Connecticut
-72.9496,41.533,30.62867504,Connecticut
-72.5974,41.471,36.43912287,Connecticut
-72.2458,41.407,31.57823425,Connecticut
-71.8948,41.343,22.49159973,Connecticut
-73.2201,41.855,20.80442612,Connecticut
-72.866,41.794,23.04118111,Connecticut
-72.5125,41.731,29.04364583,Connecticut
-72.1597,41.668,28.3424423,Connecticut
-71.8075,41.604,26.28378184,Connecticut
-72.4271,41.992,22.59324177,Connecticut
-72.073,41.928,24.05350261,Connecticut
-73.6369,41.072,64.0944713,Connecticut
-72.717789,41.314428,33.6836,Connecticut
-73.177699,41.425462,31.55989,Connecticut
-71.990489,41.50027,27.80051,Connecticut
-72.744528,41.622981,32.27408,Connecticut
-73.127786,41.706877,24.79855,Connecticut
-71.879968,41.768065,26.57267,Connecticut
-72.716006,41.927412,21.25876,Connecticut
-73.147395,42.001638,17.14384,Connecticut
