Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-117.266,42.025,0.481145,0.1835,Oregon
-116.875,42.093,0.146075,0.130148,Oregon
-117.36,42.312,0.264249,0.171509,Oregon
-116.967,42.38,0.125367,0.123372,Oregon
-117.847,42.529,0.61962,0.335389,Oregon
-117.454,42.599,0.269198,0.173615,Oregon
-117.06,42.668,0.126468,0.123955,Oregon
-119.122,42.599,0.728833,0.4226,Oregon
-117.943,42.816,0.550256,0.31129,Oregon
-117.549,42.886,0.22418,0.165039,Oregon
-117.154,42.955,0.127394,0.12516,Oregon
-116.758,43.023,0,0.108163,Oregon
-119.617,42.81,1.06082,0.624244,Oregon
-119.224,42.885,0.475282,0.295871,Oregon
-118.831,42.959,0.446115,0.277596,Oregon
-117.645,43.173,0.276215,0.175728,Oregon
-117.248,43.242,0.143182,0.130183,Oregon
-116.85,43.31,0.119585,0.118269,Oregon
-119.721,43.095,0.648511,0.425257,Oregon
-119.327,43.171,0.316463,0.222951,Oregon
-118.932,43.245,0.239216,0.183639,Oregon
-118.536,43.318,0.250353,0.181455,Oregon
-118.139,43.39,0.276213,0.181415,Oregon
-117.742,43.461,0.218311,0.15709,Oregon
-117.343,43.53,0.163463,0.136621,Oregon
-116.944,43.598,0.166241,0.134592,Oregon
-120.221,43.304,1.27489,0.80058,Oregon
-119.826,43.381,0.476482,0.33142,Oregon
-119.431,43.457,0.244561,0.193049,Oregon
-119.034,43.531,0.185313,0.16401,Oregon
-118.637,43.605,0.172799,0.152779,Oregon
-118.238,43.677,0.183613,0.149352,Oregon
-117.839,43.748,0.192444,0.146685,Oregon
-117.439,43.818,0.244489,0.157676,Oregon
-117.038,43.886,0.273527,0.162865,Oregon
-116.637,43.954,0.451416,0.203544,Oregon
-120.329,43.589,0.891469,0.639313,Oregon
-119.933,43.666,0.390078,0.29477,Oregon
-119.535,43.743,0.234413,0.191673,Oregon
-119.137,43.817,0.189246,0.164005,Oregon
-118.738,43.891,0.189538,0.154,Oregon
-118.338,43.964,0.217073,0.153894,Oregon
-117.937,44.035,0.267288,0.163248,Oregon
-117.536,44.105,0.441285,0.196978,Oregon
-117.133,44.174,0.439404,0.19697,Oregon
-116.73,44.242,0.603042,0.248804,Oregon
-120.438,43.874,0.712105,0.571097,Oregon
-120.04,43.952,0.390233,0.3047,Oregon
-119.641,44.029,0.272578,0.208014,Oregon
-119.241,44.104,0.237734,0.179001,Oregon
-118.84,44.178,0.260037,0.172182,Oregon
-118.439,44.251,0.31143,0.174023,Oregon
-118.037,44.322,0.395579,0.188853,Oregon
-117.633,44.393,0.521861,0.219728,Oregon
-117.229,44.462,0.62591,0.247857,Oregon
-120.946,44.081,1.20911,0.92839,Oregon
-120.547,44.16,0.709957,0.59255,Oregon
-120.147,44.238,0.474649,0.375405,Oregon
-119.747,44.315,0.356375,0.256642,Oregon
-119.346,44.39,0.318824,0.20673,Oregon
-118.944,44.465,0.344316,0.194012,Oregon
-118.541,44.538,0.408997,0.195109,Oregon
-118.137,44.61,0.447842,0.19622,Oregon
-117.732,44.681,0.503237,0.206251,Oregon
-120.657,44.445,0.884581,0.696992,Oregon
-120.256,44.524,0.636212,0.478537,Oregon
-119.854,44.601,0.49933,0.33392,Oregon
-119.451,44.677,0.41228,0.251856,Oregon
-119.048,44.752,0.396421,0.217193,Oregon
-118.643,44.825,0.426917,0.205271,Oregon
-118.237,44.898,0.447991,0.199971,Oregon
-117.831,44.969,0.484475,0.205254,Oregon
-120.366,44.809,0.974004,0.652234,Oregon
-119.963,44.887,0.753442,0.470535,Oregon
-119.558,44.963,0.570173,0.329202,Oregon
-119.153,45.039,0.464138,0.252711,Oregon
-118.746,45.113,0.430001,0.217923,Oregon
-118.339,45.185,0.437731,0.20771,Oregon
-117.931,45.257,0.481745,0.21437,Oregon
-116.702,45.464,0.487734,0.202827,Oregon
-116.29,45.531,0.361991,0.171708,Oregon
-119.666,45.25,0.826265,0.457872,Oregon
-119.259,45.326,0.616597,0.326591,Oregon
-118.851,45.4,0.552027,0.272027,Oregon
-118.442,45.473,0.607794,0.268183,Oregon
-118.032,45.545,0.668546,0.280589,Oregon
-117.21,45.685,0.549095,0.234072,Oregon
-116.798,45.753,0.308418,0.16308,Oregon
-116.385,45.82,0.239772,0.145171,Oregon
-117.309,45.974,0.415968,0.191213,Oregon
-116.895,46.043,0.25628,0.151334,Oregon
-117.975,41.788,2.13222,0.880276,Oregon
-117.798,41.82,1.81116,0.744033,Oregon
-117.622,41.852,1.19048,0.520652,Oregon
-118.724,41.788,3.75596,1.31046,Oregon
-118.548,41.821,5.02896,1.62912,Oregon
-118.372,41.854,3.43174,1.23878,Oregon
-118.195,41.886,2.50025,0.998258,Oregon
-118.018,41.918,1.81354,0.799957,Oregon
-117.842,41.95,1.59045,0.692445,Oregon
-117.665,41.982,1.18397,0.517845,Oregon
-119.122,41.851,1.67032,0.743012,Oregon
-118.946,41.884,2.18031,0.905097,Oregon
-118.769,41.918,3.66817,1.30072,Oregon
-118.593,41.951,26.3348,1.59279,Oregon
-118.416,41.984,3.62526,1.29266,Oregon
-118.239,42.016,2.35864,0.979851,Oregon
-118.062,42.048,1.66409,0.764161,Oregon
-117.885,42.081,1.46869,0.655393,Oregon
-117.708,42.112,1.05162,0.48003,Oregon
-119.344,41.947,1.54445,0.719166,Oregon
-119.168,41.981,1.484,0.687164,Oregon
-118.991,42.014,1.7207,0.775175,Oregon
-118.814,42.048,2.30224,0.956983,Oregon
-118.638,42.081,3.36275,1.22684,Oregon
-118.461,42.114,3.26524,1.20808,Oregon
-118.283,42.146,2.02433,0.902756,Oregon
-118.106,42.179,1.42983,0.70448,Oregon
-117.929,42.211,1.26618,0.60215,Oregon
-117.751,42.243,0.921849,0.4287,Oregon
-119.567,42.042,2.03292,0.903653,Oregon
-119.39,42.076,1.52112,0.723533,Oregon
-119.214,42.11,1.31742,0.639318,Oregon
-119.037,42.144,1.37281,0.65921,Oregon
-118.86,42.177,1.78368,0.814012,Oregon
-118.683,42.211,2.91753,1.13332,Oregon
-118.505,42.244,3.02806,1.18135,Oregon
-118.328,42.276,1.92153,0.898452,Oregon
-118.15,42.309,1.32167,0.676034,Oregon
-117.972,42.341,1.05989,0.536393,Oregon
