Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-114.084,36.779,6.0534,1.6802,Utah
-113.918,36.806,5.85697,1.64673,Utah
-113.751,36.832,6.62061,1.82092,Utah
-113.585,36.858,9.80067,2.51162,Utah
-114.284,36.883,8.66789,2.14032,Utah
-113.418,36.884,12.0644,3.22111,Utah
-113.251,36.91,10.3864,2.66361,Utah
-114.118,36.91,7.36252,1.91036,Utah
-113.951,36.937,6.93111,1.84334,Utah
-113.785,36.963,7.74205,2.03173,Utah
-113.618,36.989,10.8591,2.76596,Utah
-114.319,37.014,10.3031,2.45888,Utah
-113.451,37.015,13.2762,3.66998,Utah
-113.284,37.041,13.0551,3.49277,Utah
-114.152,37.041,8.91306,2.18387,Utah
-113.117,37.066,10.3264,2.59815,Utah
-113.985,37.068,8.30926,2.08412,Utah
-112.949,37.092,9.18198,2.32005,Utah
-113.818,37.094,8.80871,2.2118,Utah
-113.651,37.121,10.3829,2.57533,Utah
-113.484,37.147,12.8013,3.29134,Utah
-113.316,37.172,14.0036,3.74375,Utah
-114.186,37.172,10.1972,2.43364,Utah
-113.149,37.198,12.6986,3.22648,Utah
-114.019,37.199,9.37784,2.28907,Utah
-112.981,37.223,11.0865,2.74721,Utah
-113.852,37.226,9.25903,2.28291,Utah
-112.814,37.248,10.3532,2.55867,Utah
-113.684,37.252,10.5822,2.59085,Utah
-113.517,37.278,13.2766,3.38457,Utah
-113.26,37.295,15.7854,4.60296,Utah
-114.22,37.304,11.0269,2.61878,Utah
-113.181,37.329,15.1368,4.09905,Utah
-114.053,37.33,9.71458,2.34,Utah
-113.014,37.355,12.9508,3.19923,Utah
-113.885,37.357,9.69665,2.36303,Utah
-113.394,37.365,15.6622,4.48298,Utah
-112.846,37.38,12.0578,2.94242,Utah
-113.282,37.382,16.4914,5.02204,Utah
-113.718,37.383,10.8927,2.65369,Utah
-113.17,37.399,15.818,4.40218,Utah
-112.678,37.405,11.9626,2.93872,Utah
-113.55,37.409,13.1562,3.30356,Utah
-112.509,37.429,11.53,2.82678,Utah
-114.255,37.435,10.703,2.54602,Utah
-112.341,37.454,10.1165,2.46686,Utah
-114.087,37.462,9.48252,2.30021,Utah
-113.303,37.47,16.5479,4.91547,Utah
-113.046,37.486,15.1466,3.89543,Utah
-113.191,37.487,16.7557,4.92547,Utah
-113.919,37.488,9.1139,2.25316,Utah
-112.878,37.511,14.4023,3.5696,Utah
-113.751,37.514,10.157,2.46645,Utah
-112.709,37.536,14.0241,3.44294,Utah
-113.583,37.541,12.1044,2.9454,Utah
-113.325,37.557,16.1895,4.57817,Utah
-112.541,37.561,14.1255,3.49961,Utah
-114.289,37.566,9.74659,2.34613,Utah
-113.415,37.566,14.9301,3.91891,Utah
-113.213,37.574,17.03,5.06257,Utah
-112.372,37.585,13.864,3.43207,Utah
-113.101,37.591,17.3344,5.07916,Utah
-114.121,37.593,8.57477,2.11639,Utah
-112.989,37.608,16.9394,4.58958,Utah
-112.204,37.61,12.5033,3.00489,Utah
-113.953,37.619,8.07345,2.0272,Utah
-112.876,37.625,16.8139,4.40986,Utah
-113.785,37.646,8.7007,2.16278,Utah
-113.235,37.662,16.5303,4.56164,Utah
-113.616,37.672,10.7048,2.58098,Utah
-112.539,37.675,16.3693,4.18793,Utah
-113.123,37.679,17.5513,5.06908,Utah
-112.426,37.691,16.2867,4.21129,Utah
-113.01,37.696,18.2789,5.26063,Utah
-114.324,37.697,8.34286,2.10044,Utah
-113.448,37.698,13.0187,3.18484,Utah
-112.314,37.707,15.9381,4.09121,Utah
-112.898,37.713,19.1055,5.74391,Utah
-113.279,37.724,15.5014,4.01171,Utah
-114.155,37.724,7.09626,1.84788,Utah
-112.785,37.729,18.9277,5.42885,Utah
-112.235,37.741,15.6145,3.88556,Utah
-112.673,37.746,18.2164,4.89294,Utah
-113.987,37.75,6.62556,1.76205,Utah
-112.56,37.762,17.9261,4.71191,Utah
-112.065,37.765,14.2129,3.44339,Utah
-113.144,37.767,17.0719,4.62408,Utah
-113.819,37.777,7.28993,1.88768,Utah
-112.447,37.779,17.8024,4.70303,Utah
-113.032,37.784,18.843,5.61807,Utah
-112.335,37.795,17.4832,4.60109,Utah
-112.919,37.8,39.1732,8.38195,Utah
-113.65,37.803,8.90975,2.19661,Utah
-112.222,37.811,16.7288,4.27989,Utah
-112.807,37.817,21.0552,7.64661,Utah
-113.481,37.829,11.2704,2.70289,Utah
-112.694,37.834,20.1344,6.10038,Utah
-112.581,37.85,19.3457,5.33058,Utah
-113.312,37.855,13.5131,3.28682,Utah
-114.19,37.855,5.52358,1.55697,Utah
-112.806,37.862,21.4126,8.03287,Utah
-112.468,37.866,19.0547,5.15165,Utah
-113.053,37.871,18.3732,5.29246,Utah
-113.143,37.88,16.5283,4.3226,Utah
-114.021,37.882,5.2734,1.51173,Utah
-112.355,37.883,18.6785,5.01389,Utah
-112.941,37.888,20.2013,6.75371,Utah
-112.243,37.899,18.0179,4.75264,Utah
-113.852,37.908,5.81407,1.60451,Utah
-112.13,37.915,16.9815,4.32162,Utah
-111.927,37.921,14.4729,3.51114,Utah
-112.715,37.921,21.7701,7.75897,Utah
-112.017,37.931,15.9296,3.95914,Utah
-112.823,37.933,21.3757,7.85068,Utah
-113.684,37.934,6.91309,1.81613,Utah
-112.602,37.938,20.6886,6.17707,Utah
-112.733,37.946,21.9409,8.23759,Utah
-112.489,37.954,19.8325,5.44994,Utah
-113.075,37.959,16.6087,4.309,Utah
-113.515,37.96,9.10212,2.22851,Utah
-112.376,37.97,19.4392,5.26582,Utah
-112.962,37.976,18.4962,5.23743,Utah
-114.082,37.981,4.36174,1.32997,Utah
-113.345,37.986,11.5283,2.75793,Utah
-112.263,37.987,18.7618,4.99472,Utah
-112.849,37.992,20.7907,7.09114,Utah
-112.15,38.003,17.8774,4.63947,Utah
-112.736,38.009,21.7786,7.82615,Utah
-113.176,38.012,14.1052,3.44558,Utah
-112.037,38.019,16.8976,4.28234,Utah
-112.623,38.025,20.8538,6.29344,Utah
-112.51,38.042,20.0547,5.52769,Utah
-112.397,38.058,19.6859,5.3204,Utah
-112.984,38.063,17.0088,4.45371,Utah
-113.717,38.066,5.37802,1.52665,Utah
-112.284,38.074,19.1842,5.14,Utah
-111.787,38.076,13.5612,3.25071,Utah
-112.871,38.08,19.1628,5.61306,Utah
-112.171,38.09,18.4771,4.87791,Utah
-113.548,38.092,6.96009,1.83424,Utah
-112.758,38.097,19.8823,5.78744,Utah
-112.058,38.106,17.5258,4.50467,Utah
-112.645,38.113,19.6769,5.43946,Utah
-113.378,38.118,9.21658,2.26047,Utah
-111.944,38.122,16.1712,4.03141,Utah
-112.531,38.13,19.5977,5.29711,Utah
-113.209,38.143,11.5989,2.76274,Utah
-112.418,38.146,19.4534,5.20723,Utah
-112.305,38.162,19.1661,5.08306,Utah
-112.892,38.168,16.9769,4.39909,Utah
-113.039,38.169,14.3214,3.48691,Utah
-112.192,38.178,18.8248,4.98856,Utah
-112.779,38.184,17.8751,4.70094,Utah
-112.078,38.194,18.1415,4.76171,Utah
-112.666,38.201,18.4342,4.88161,Utah
-111.818,38.208,14.8261,3.61655,Utah
-111.965,38.21,16.8901,4.27683,Utah
-112.553,38.217,18.7039,4.91966,Utah
-113.581,38.223,5.31096,1.51361,Utah
-111.648,38.231,12.0097,2.85712,Utah
-112.439,38.234,18.8547,4.94514,Utah
-113.412,38.249,6.95013,1.8203,Utah
-112.326,38.25,18.9871,4.99478,Utah
-112.212,38.266,18.8952,4.98666,Utah
-114.158,38.27,3.09493,1.04449,Utah
-113.242,38.275,9.27405,2.26854,Utah
-112.099,38.282,18.4915,4.8682,Utah
-112.687,38.288,17.0911,4.3461,Utah
-111.985,38.298,17.6946,4.56668,Utah
-113.072,38.3,11.6644,2.78222,Utah
-112.574,38.305,17.7844,4.57629,Utah
-111.872,38.314,16.5287,4.15431,Utah
-112.46,38.321,18.2687,4.7219,Utah
-112.902,38.325,13.9269,3.35537,Utah
-113.785,38.328,3.38336,1.1036,Utah
-112.347,38.338,18.7122,4.88759,Utah
-112.732,38.35,15.5696,3.80824,Utah
-112.233,38.354,19.0239,5.01545,Utah
-111.678,38.363,14.1059,3.39643,Utah
-112.119,38.37,19.0938,5.10114,Utah
-113.445,38.38,5.32984,1.51632,Utah
-112.006,38.386,18.6302,4.93156,Utah
-111.507,38.386,11.7358,2.79328,Utah
-112.595,38.393,16.7592,4.24442,Utah
-111.892,38.401,17.7714,4.60187,Utah
-113.275,38.406,6.93194,1.83335,Utah
-112.481,38.409,17.639,4.53797,Utah
-111.778,38.417,16.44,4.12016,Utah
-112.368,38.425,18.5277,4.84961,Utah
-113.105,38.431,9.17851,2.25542,Utah
-112.254,38.441,19.0974,5.03852,Utah
-112.934,38.457,11.2141,2.66697,Utah
-112.14,38.457,19.6936,5.31479,Utah
-112.026,38.473,19.637,5.32442,Utah
-112.764,38.482,13.6557,3.28267,Utah
-111.912,38.489,18.9076,5.0733,Utah
-112.503,38.497,17.0117,4.33517,Utah
-111.799,38.505,17.9609,4.67097,Utah
-112.593,38.506,15.8164,3.93933,Utah
-112.389,38.513,18.3703,4.83003,Utah
-111.685,38.521,17.0753,4.32574,Utah
-112.275,38.529,19.3041,5.17994,Utah
-111.571,38.536,16.4161,4.08412,Utah
-112.161,38.545,20.1074,5.48813,Utah
-111.456,38.552,15.2655,3.72141,Utah
-114.235,38.558,3.17078,1.05089,Utah
-112.047,38.561,20.2497,5.55452,Utah
-113.138,38.563,6.94276,1.8336,Utah
-111.933,38.577,19.7188,5.34692,Utah
-112.967,38.588,9.18702,2.25965,Utah
-111.819,38.593,18.9876,5.08449,Utah
-112.41,38.601,17.8127,4.62394,Utah
-111.705,38.609,18.6587,4.93632,Utah
-112.796,38.613,11.6562,2.78391,Utah
-113.86,38.617,2.78494,0.946142,Utah
-112.296,38.617,19.1557,5.16851,Utah
-111.591,38.624,19.0471,5.14026,Utah
