Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-80.4376,32.506,0.725158,0.178229,South Carolina
-80.3953,32.501,0.845225,0.195421,South Carolina
-80.353,32.495,0.834747,0.194755,South Carolina
-80.3107,32.49,0.923111,0.206556,South Carolina
-80.2684,32.484,0.910984,0.206212,South Carolina
-80.2262,32.479,0.863991,0.198079,South Carolina
-80.4734,32.547,0.880637,0.199065,South Carolina
-80.4311,32.542,0.986267,0.220574,South Carolina
-80.3887,32.536,1.16231,0.257503,South Carolina
-80.3464,32.531,1.23711,0.274167,South Carolina
-80.3041,32.525,1.23275,0.27533,South Carolina
-80.2618,32.52,1.31823,0.293238,South Carolina
-80.2195,32.514,1.28792,0.290292,South Carolina
-80.1772,32.509,1.20518,0.268028,South Carolina
-80.135,32.503,1.10458,0.248394,South Carolina
-80.5092,32.588,1.01135,0.22735,South Carolina
-80.4669,32.583,1.21322,0.271294,South Carolina
-80.4245,32.577,1.35361,0.303208,South Carolina
-80.3822,32.572,1.51657,0.344066,South Carolina
-80.3398,32.566,1.72435,0.39036,South Carolina
-80.2975,32.561,1.75931,0.401405,South Carolina
-80.2552,32.555,1.77137,0.407273,South Carolina
-80.2129,32.55,1.87053,0.434347,South Carolina
-80.1706,32.544,1.71926,0.399256,South Carolina
-80.1283,32.539,1.57954,0.366011,South Carolina
-80.086,32.533,1.4007,0.322232,South Carolina
-80.5451,32.629,1.09665,0.247342,South Carolina
-80.5027,32.624,1.32709,0.302586,South Carolina
-80.4603,32.618,1.58687,0.36166,South Carolina
-80.418,32.613,1.88315,0.440777,South Carolina
-80.3756,32.607,2.00375,0.463502,South Carolina
-80.3333,32.602,2.25013,0.523706,South Carolina
-80.2909,32.596,2.61991,0.610893,South Carolina
-80.2486,32.591,2.6038,0.617859,South Carolina
-80.2063,32.585,2.53544,0.598565,South Carolina
-80.1639,32.58,2.41131,0.575523,South Carolina
-80.1216,32.574,2.13312,0.51208,South Carolina
-80.0793,32.568,1.94584,0.46706,South Carolina
-80.037,32.563,1.68571,0.398023,South Carolina
-80.5386,32.665,1.35484,0.306554,South Carolina
-80.4962,32.659,1.65385,0.380936,South Carolina
-80.4538,32.654,1.99186,0.466223,South Carolina
-80.4114,32.648,2.44617,0.568228,South Carolina
-80.369,32.643,2.79476,0.652111,South Carolina
-80.3267,32.637,3.12319,0.731501,South Carolina
-80.2843,32.632,3.391,0.780733,South Carolina
-80.242,32.626,3.80145,0.868577,South Carolina
-80.1996,32.621,3.71647,0.856569,South Carolina
-80.1573,32.615,3.37852,0.780327,South Carolina
-80.1149,32.609,3.17757,0.743995,South Carolina
-80.0726,32.604,2.88049,0.683149,South Carolina
-80.0303,32.598,2.40829,0.579396,South Carolina
-79.9879,32.593,1.92803,0.464737,South Carolina
-80.5745,32.705,1.2861,0.290945,South Carolina
-80.5321,32.7,1.63451,0.37928,South Carolina
-80.4897,32.695,2.12758,0.506052,South Carolina
-80.4472,32.689,2.56248,0.609591,South Carolina
-80.4049,32.684,3.09867,0.732859,South Carolina
-80.3625,32.678,3.79612,0.86309,South Carolina
-80.3201,32.673,4.36351,0.974666,South Carolina
-80.2777,32.667,4.55951,1.01249,South Carolina
-80.2353,32.662,5.20363,1.12375,South Carolina
-80.193,32.656,5.23206,1.13944,South Carolina
-80.1506,32.65,4.78462,1.0519,South Carolina
-80.1082,32.645,4.72765,1.04462,South Carolina
-80.0659,32.639,4.15794,0.951265,South Carolina
-80.0235,32.634,3.54053,0.836084,South Carolina
-79.9812,32.628,2.66681,0.652056,South Carolina
-79.9389,32.622,2.1966,0.535594,South Carolina
-80.568,32.741,1.60437,0.376023,South Carolina
-80.5255,32.735,2.02654,0.493042,South Carolina
-80.4831,32.73,2.54036,0.611165,South Carolina
-80.4407,32.725,3.3725,0.788536,South Carolina
-80.3983,32.719,4.05191,0.926084,South Carolina
-80.3559,32.714,4.74498,1.04491,South Carolina
-80.3135,32.708,5.76413,1.23978,South Carolina
-80.2711,32.703,6.28996,1.34048,South Carolina
-80.2287,32.697,6.42244,1.36959,South Carolina
-80.1863,32.691,7.02352,1.50393,South Carolina
-80.1439,32.686,7.0162,1.50756,South Carolina
-80.1015,32.68,6.31023,1.37193,South Carolina
-80.0592,32.675,5.82383,1.28327,South Carolina
-80.0168,32.669,4.59491,1.05184,South Carolina
-79.9745,32.663,3.85765,0.910749,South Carolina
-79.9321,32.658,2.78634,0.67773,South Carolina
-79.8898,32.652,2.28053,0.551312,South Carolina
-80.5615,32.776,1.87246,0.44989,South Carolina
-80.519,32.771,2.45912,0.595655,South Carolina
-80.4766,32.765,3.06989,0.728263,South Carolina
-80.4341,32.76,4.02067,0.915202,South Carolina
-80.3917,32.755,5.08883,1.11037,South Carolina
-80.3493,32.749,5.68908,1.22311,South Carolina
-80.3069,32.744,6.63538,1.42234,South Carolina
-80.2644,32.738,7.9197,1.7327,South Carolina
-80.222,32.732,8.40525,1.87516,South Carolina
-80.1796,32.727,8.33397,1.85712,South Carolina
-80.1372,32.721,8.31964,1.86324,South Carolina
-80.0948,32.716,8.22949,1.84986,South Carolina
-80.0525,32.71,6.85123,1.47808,South Carolina
-80.0101,32.704,6.32854,1.37327,South Carolina
-79.9677,32.699,4.87591,1.10118,South Carolina
