Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-73.847,40.92,0.621098,0.0978936,Connecticut
-73.4552,40.915,0.272693,0.0304535,Connecticut
-73.0635,40.909,0.0844481,0.0163783,Connecticut
-72.672,40.902,0.0355099,0.0128058,Connecticut
-72.2806,40.893,0.0185672,0.0111468,Connecticut
-71.8894,40.884,0,0,Connecticut
-71.4984,40.872,0,0,Connecticut
-73.8418,41.217,0.534624,0.0810183,Connecticut
-73.4483,41.212,0.259029,0.0295477,Connecticut
-73.0548,41.206,0.105259,0.0179766,Connecticut
-72.6615,41.199,0.0849305,0.0167557,Connecticut
-72.2683,41.19,0.0621559,0.0152424,Connecticut
-71.8754,41.18,0.0344881,0.0129303,Connecticut
-71.4826,41.169,0.0223246,0.0116732,Connecticut
-73.8365,41.514,0.216985,0.0267998,Connecticut
-73.4412,41.51,0.129536,0.01971,Connecticut
-73.0459,41.503,0.0892211,0.0173364,Connecticut
-72.6508,41.496,0.121066,0.0196356,Connecticut
-72.2559,41.487,0.102252,0.0184024,Connecticut
-71.8611,41.477,0.0656689,0.0156886,Connecticut
-71.4666,41.466,0.0648622,0.0155864,Connecticut
-73.8312,41.811,0.0538713,0.0150354,Connecticut
-73.434,41.807,0.0446611,0.0144278,Connecticut
-73.0369,41.801,0.0458587,0.0145744,Connecticut
-72.64,41.793,0.064546,0.0161864,Connecticut
-72.2433,41.784,0.0664703,0.0162345,Connecticut
-71.8467,41.774,0.0687075,0.0163535,Connecticut
-71.4503,41.762,0.0939093,0.0178192,Connecticut
-73.8257,42.109,0.0362666,0.013948,Connecticut
-73.4267,42.104,0.0280368,0.0132089,Connecticut
-73.0278,42.098,0.0263361,0.0131333,Connecticut
-72.629,42.09,0.0338217,0.0138744,Connecticut
-72.2304,42.081,0.0488699,0.0151461,Connecticut
-71.832,42.071,0.0832301,0.0175909,Connecticut
-71.4338,42.059,0.133121,0.0209432,Connecticut
-73.8202,42.406,0.0705324,0.0172485,Connecticut
-73.4193,42.401,0.0362041,0.0144965,Connecticut
-73.0185,42.395,0.0268439,0.0134869,Connecticut
-72.6179,42.387,0.0364277,0.0143824,Connecticut
-72.2174,42.378,0.0804039,0.0178869,Connecticut
-71.8171,42.368,0.215874,0.0285358,Connecticut
-71.4171,42.356,0.374041,0.0538385,Connecticut
