Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-80.4376,32.506,2.50649,1.91932,South Carolina
-80.3953,32.501,2.52953,1.94093,South Carolina
-80.353,32.495,2.52933,1.94461,South Carolina
-80.3107,32.49,2.53444,1.93843,South Carolina
-80.2684,32.484,2.52908,1.92158,South Carolina
-80.2262,32.479,2.51704,1.89578,South Carolina
-80.4734,32.547,2.53968,1.96583,South Carolina
-80.4311,32.542,2.55695,1.99143,South Carolina
-80.3887,32.536,2.57659,2.00943,South Carolina
-80.3464,32.531,2.58467,2.01402,South Carolina
-80.3041,32.525,2.58385,2.01344,South Carolina
-80.2618,32.52,2.58568,1.99881,South Carolina
-80.2195,32.514,2.57944,1.97956,South Carolina
-80.1772,32.509,2.56192,1.94286,South Carolina
-80.135,32.503,2.54188,1.89863,South Carolina
-80.5092,32.588,2.55852,1.99035,South Carolina
-80.4669,32.583,2.58525,2.02536,South Carolina
-80.4245,32.577,2.60372,2.05326,South Carolina
-80.3822,32.572,2.61899,2.06949,South Carolina
-80.3398,32.566,2.63319,2.07392,South Carolina
-80.2975,32.561,2.63538,2.0753,South Carolina
-80.2552,32.555,2.63505,2.06706,South Carolina
-80.2129,32.55,2.63849,2.04956,South Carolina
-80.1706,32.544,2.62144,2.02059,South Carolina
-80.1283,32.539,2.60216,1.9784,South Carolina
-80.086,32.533,2.57841,1.93617,South Carolina
-80.5451,32.629,2.5687,1.99484,South Carolina
-80.5027,32.624,2.59994,2.0421,South Carolina
-80.4603,32.618,2.62492,2.07609,South Carolina
-80.418,32.613,2.65347,2.11048,South Carolina
-80.3756,32.607,2.66175,2.12179,South Carolina
-80.3333,32.602,2.6787,2.13973,South Carolina
-80.2909,32.596,2.69944,2.14968,South Carolina
-80.2486,32.591,2.69836,2.1437,South Carolina
-80.2063,32.585,2.68958,2.12231,South Carolina
-80.1639,32.58,2.67726,2.09076,South Carolina
-80.1216,32.574,2.65395,2.05294,South Carolina
-80.0793,32.568,2.6324,2.00656,South Carolina
-80.037,32.563,2.60145,1.9451,South Carolina
-80.5386,32.665,2.59906,2.03352,South Carolina
-80.4962,32.659,2.63009,2.07907,South Carolina
-80.4538,32.654,2.66111,2.11865,South Carolina
-80.4114,32.648,2.69136,2.15111,South Carolina
-80.369,32.643,2.7132,2.178,South Carolina
-80.3267,32.637,2.7323,2.20377,South Carolina
-80.2843,32.632,2.74227,2.20669,South Carolina
-80.242,32.626,2.75976,2.21292,South Carolina
-80.1996,32.621,2.75418,2.19552,South Carolina
-80.1573,32.615,2.73379,2.15777,South Carolina
-80.1149,32.609,2.71878,2.11935,South Carolina
-80.0726,32.604,2.69851,2.07752,South Carolina
-80.0303,32.598,2.66314,2.02205,South Carolina
-79.9879,32.593,2.62117,1.95842,South Carolina
-80.5745,32.705,2.58634,2.0103,South Carolina
-80.5321,32.7,2.62543,2.06355,South Carolina
-80.4897,32.695,2.6669,2.11566,South Carolina
-80.4472,32.689,2.6993,2.15858,South Carolina
-80.4049,32.684,2.73058,2.20172,South Carolina
-80.3625,32.678,2.76127,2.23122,South Carolina
-80.3201,32.673,2.78538,2.25486,South Carolina
-80.2777,32.667,2.79297,2.2611,South Carolina
-80.2353,32.662,2.81402,2.26277,South Carolina
-80.193,32.656,2.81415,2.25372,South Carolina
-80.1506,32.65,2.79504,2.22164,South Carolina
-80.1082,32.645,2.79023,2.19337,South Carolina
-80.0659,32.639,2.76555,2.1507,South Carolina
-80.0235,32.634,2.73321,2.10177,South Carolina
-79.9812,32.628,2.68082,2.03409,South Carolina
-79.9389,32.622,2.63972,1.96476,South Carolina
-80.568,32.741,2.6184,2.04192,South Carolina
-80.5255,32.735,2.65914,2.10178,South Carolina
-80.4831,32.73,2.69585,2.15041,South Carolina
-80.4407,32.725,2.74133,2.20161,South Carolina
-80.3983,32.719,2.77297,2.24254,South Carolina
-80.3559,32.714,2.79893,2.26891,South Carolina
-80.3135,32.708,2.83481,2.29644,South Carolina
-80.2711,32.703,2.85349,2.31345,South Carolina
-80.2287,32.697,2.85804,2.31464,South Carolina
-80.1863,32.691,2.87978,2.31578,South Carolina
-80.1439,32.686,2.87881,2.3033,South Carolina
-80.1015,32.68,2.85167,2.26595,South Carolina
-80.0592,32.675,2.83273,2.22979,South Carolina
-80.0168,32.669,2.78325,2.16599,South Carolina
-79.9745,32.663,2.74679,2.10626,South Carolina
-79.9321,32.658,2.68418,2.02132,South Carolina
-79.8898,32.652,2.64146,1.94657,South Carolina
-80.5615,32.776,2.64032,2.06335,South Carolina
-80.519,32.771,2.68579,2.12266,South Carolina
-80.4766,32.765,2.72388,2.1755,South Carolina
-80.4341,32.76,2.76862,2.22354,South Carolina
-80.3917,32.755,2.81031,2.27006,South Carolina
-80.3493,32.749,2.83285,2.29753,South Carolina
-80.3069,32.744,2.86618,2.33367,South Carolina
-80.2644,32.738,2.91417,2.36764,South Carolina
-80.222,32.732,2.93389,2.38237,South Carolina
-80.1796,32.727,2.93098,2.37451,South Carolina
-80.1372,32.721,2.93033,2.3659,South Carolina
-80.0948,32.716,2.92614,2.34632,South Carolina
-80.0525,32.71,2.87101,2.27318,South Carolina
-80.0101,32.704,2.85025,2.22839,South Carolina
-79.9677,32.699,2.79303,2.162,South Carolina
-79.9253,32.693,2.74747,2.09534,South Carolina
-79.883,32.688,2.68346,2.01674,South Carolina
-80.555,32.812,2.65911,2.07407,South Carolina
-80.5125,32.806,2.70634,2.13669,South Carolina
-80.47,32.801,2.74673,2.19699,South Carolina
-80.4276,32.795,2.79244,2.24979,South Carolina
-80.3851,32.79,2.83766,2.29725,South Carolina
-80.3427,32.784,2.88678,2.34434,South Carolina
-80.3002,32.779,2.93101,2.3921,South Carolina
-80.2578,32.773,2.94681,2.40602,South Carolina
-80.2154,32.768,2.9969,2.44717,South Carolina
-80.173,32.762,3.00299,2.45195,South Carolina
-80.1305,32.757,2.99189,2.41998,South Carolina
-80.0881,32.751,2.9881,2.39593,South Carolina
-80.0457,32.746,2.95773,2.35817,South Carolina
-80.0033,32.74,2.90917,2.29475,South Carolina
-79.9609,32.734,2.86973,2.23824,South Carolina
-79.9185,32.729,2.79122,2.15019,South Carolina
-79.8762,32.723,2.73901,2.07828,South Carolina
-79.8338,32.717,2.65969,1.98273,South Carolina
-80.5485,32.847,2.66736,2.07846,South Carolina
-80.506,32.842,2.72493,2.15068,South Carolina
-80.4635,32.836,2.77681,2.21531,South Carolina
-80.421,32.831,2.81187,2.26713,South Carolina
-80.3786,32.825,2.86339,2.31941,South Carolina
-80.3361,32.82,2.91882,2.37061,South Carolina
-80.2936,32.814,2.96785,2.42229,South Carolina
-80.2512,32.809,3.00965,2.46413,South Carolina
-80.2087,32.803,3.04858,2.48751,South Carolina
-80.1663,32.798,3.06335,2.49877,South Carolina
-80.1239,32.792,3.06527,2.49511,South Carolina
-80.0814,32.787,3.05732,2.47541,South Carolina
-80.039,32.781,3.03357,2.43378,South Carolina
-79.9966,32.775,2.96328,2.361,South Carolina
-79.9542,32.77,2.9097,2.28064,South Carolina
-79.9118,32.764,2.83975,2.20995,South Carolina
-79.8694,32.758,2.77915,2.12274,South Carolina
-79.827,32.753,2.69617,2.02998,South Carolina
-80.542,32.883,2.68473,2.0885,South Carolina
-80.4995,32.877,2.74146,2.16288,South Carolina
-80.457,32.872,2.79661,2.22632,South Carolina
-80.4145,32.866,2.84121,2.28307,South Carolina
-80.372,32.861,2.88587,2.33186,South Carolina
-80.3295,32.855,2.94414,2.38932,South Carolina
-80.287,32.85,3.02746,2.46435,South Carolina
-80.2445,32.844,3.06789,2.50171,South Carolina
-80.2021,32.839,3.07785,2.51713,South Carolina
-80.1596,32.833,3.12342,2.55117,South Carolina
-80.1172,32.828,3.12333,2.55428,South Carolina
-80.0747,32.822,3.1143,2.53641,South Carolina
-80.0323,32.816,3.05694,2.47037,South Carolina
-79.9898,32.811,3.02713,2.42457,South Carolina
-79.9474,32.805,2.95034,2.34384,South Carolina
-79.905,32.799,2.89398,2.26606,South Carolina
-79.8626,32.794,2.79924,2.16459,South Carolina
-79.8201,32.788,2.7353,2.08278,South Carolina
-79.7777,32.782,2.66732,1.99873,South Carolina
-80.5354,32.918,2.685,2.08089,South Carolina
-80.4929,32.913,2.74406,2.15746,South Carolina
-80.4504,32.907,2.80467,2.23456,South Carolina
-80.4079,32.902,2.86021,2.29023,South Carolina
-80.3654,32.896,2.91317,2.34844,South Carolina
-80.3229,32.891,2.95871,2.40157,South Carolina
-80.2804,32.885,3.04201,2.47682,South Carolina
-80.2379,32.88,3.1003,2.5424,South Carolina
-80.1954,32.874,3.13998,2.58182,South Carolina
-80.1529,32.869,3.14281,2.57047,South Carolina
-80.1104,32.863,3.15862,2.59828,South Carolina
-80.068,32.857,3.12871,2.54426,South Carolina
-80.0255,32.852,3.10402,2.51228,South Carolina
-79.9831,32.846,3.03183,2.42881,South Carolina
-79.9406,32.84,2.9774,2.36874,South Carolina
-79.8982,32.835,2.89401,2.27615,South Carolina
-79.8557,32.829,2.84264,2.20861,South Carolina
-79.8133,32.823,2.76405,2.12429,South Carolina
-79.7709,32.818,2.68451,2.0308,South Carolina
-80.5289,32.954,2.68554,2.06814,South Carolina
-80.4864,32.948,2.75099,2.14755,South Carolina
-80.4438,32.943,2.80971,2.22185,South Carolina
-80.4013,32.937,2.86167,2.28725,South Carolina
-80.3588,32.932,2.91693,2.34783,South Carolina
-80.3162,32.926,2.9876,2.42499,South Carolina
-80.2737,32.921,3.04104,2.47774,South Carolina
-80.2312,32.915,3.11227,2.55403,South Carolina
-80.1887,32.91,3.15646,2.59526,South Carolina
-80.1462,32.904,3.17711,2.61657,South Carolina
-80.1037,32.898,3.20176,2.63288,South Carolina
-80.0612,32.893,3.15978,2.59104,South Carolina
-80.0188,32.887,3.13598,2.55204,South Carolina
-79.9763,32.882,3.07288,2.48298,South Carolina
-79.9338,32.876,2.98328,2.38687,South Carolina
-79.8914,32.87,2.92993,2.31494,South Carolina
-79.8489,32.865,2.85649,2.22993,South Carolina
-79.8065,32.859,2.78811,2.15693,South Carolina
-79.764,32.853,2.7001,2.05759,South Carolina
-80.5224,32.989,2.68097,2.0525,South Carolina
-80.4798,32.984,2.74704,2.14014,South Carolina
-80.4373,32.978,2.80925,2.2176,South Carolina
-80.3947,32.973,2.87794,2.29429,South Carolina
-80.3522,32.967,2.93902,2.35732,South Carolina
-80.3096,32.962,2.98708,2.41819,South Carolina
-80.2671,32.956,3.06008,2.48993,South Carolina
-80.2246,32.951,3.10724,2.53637,South Carolina
-80.182,32.945,3.17478,2.60469,South Carolina
-80.1395,32.939,3.18767,2.61552,South Carolina
-80.097,32.934,3.20018,2.63553,South Carolina
-80.0545,32.928,3.17842,2.59357,South Carolina
-80.012,32.923,3.13697,2.55738,South Carolina
-79.9695,32.917,3.07075,2.48714,South Carolina
-79.927,32.911,2.99644,2.40085,South Carolina
-79.8846,32.906,2.92288,2.32127,South Carolina
-79.8421,32.9,2.86318,2.25064,South Carolina
-79.7996,32.894,2.79996,2.1821,South Carolina
-79.7572,32.888,2.7204,2.0887,South Carolina
-79.7147,32.883,2.64578,2.00064,South Carolina
-80.5158,33.024,2.68157,2.0374,South Carolina
-80.4733,33.019,2.74062,2.11976,South Carolina
-80.4307,33.013,2.80303,2.2,South Carolina
-80.3881,33.008,2.86211,2.2714,South Carolina
-80.3455,33.003,2.92757,2.34833,South Carolina
-80.303,32.997,3.02098,2.44017,South Carolina
-80.2604,32.991,3.06368,2.48524,South Carolina
-80.2179,32.986,3.12667,2.56011,South Carolina
-80.1754,32.98,3.16366,2.60279,South Carolina
-80.1328,32.975,3.19412,2.63149,South Carolina
-80.0903,32.969,3.98032,2.69424,South Carolina
-80.0478,32.964,3.16574,2.58609,South Carolina
-80.0053,32.958,3.13013,2.5507,South Carolina
-79.9627,32.952,3.06785,2.4764,South Carolina
-79.9202,32.947,3.00926,2.41602,South Carolina
-79.8777,32.941,2.92016,2.32488,South Carolina
-79.8352,32.935,2.84593,2.24701,South Carolina
-79.7928,32.93,2.79826,2.18721,South Carolina
-79.7503,32.924,2.73095,2.10977,South Carolina
-79.7078,32.918,2.64948,2.02242,South Carolina
-80.5093,33.06,2.67422,2.01308,South Carolina
-80.4667,33.054,2.72639,2.0888,South Carolina
-80.4241,33.049,2.78539,2.16818,South Carolina
-80.3815,33.043,2.85159,2.2494,South Carolina
-80.3389,33.038,2.91696,2.32611,South Carolina
-80.2964,33.032,2.99866,2.41906,South Carolina
-80.2538,33.027,3.04612,2.46923,South Carolina
-80.2112,33.021,3.10137,2.53612,South Carolina
-80.1687,33.016,4.05374,2.65485,South Carolina
-80.1261,33.01,3.15727,2.59849,South Carolina
-80.0836,33.005,3.14643,2.58572,South Carolina
-80.041,32.999,3.1353,2.56232,South Carolina
-79.9985,32.993,3.1093,2.53425,South Carolina
-79.956,32.988,3.04721,2.46874,South Carolina
-79.9134,32.982,2.98949,2.4053,South Carolina
-79.8709,32.976,2.92045,2.33517,South Carolina
-79.8284,32.971,2.84283,2.25597,South Carolina
-79.7859,32.965,2.78013,2.1895,South Carolina
-79.7434,32.959,2.72521,2.11378,South Carolina
-79.7009,32.954,2.65299,2.02372,South Carolina
-80.5027,33.095,2.65752,1.98289,South Carolina
-80.4601,33.09,2.71275,2.06229,South Carolina
-80.4175,33.084,2.77329,2.14703,South Carolina
-80.3749,33.079,2.82537,2.22018,South Carolina
-80.3323,33.073,2.90815,2.31294,South Carolina
-80.2897,33.068,2.96071,2.37801,South Carolina
-80.2471,33.062,3.02487,2.44659,South Carolina
-80.2045,33.057,3.05308,2.48719,South Carolina
-80.162,33.051,3.10485,2.53634,South Carolina
-80.1194,33.046,3.12152,2.55163,South Carolina
-80.0768,33.04,3.13298,2.5787,South Carolina
-80.0343,33.034,3.08859,2.5232,South Carolina
-79.9917,33.029,3.06812,2.49935,South Carolina
-79.9492,33.023,3.03571,2.452,South Carolina
-79.9066,33.017,2.95251,2.38396,South Carolina
-79.8641,33.012,2.88954,2.31502,South Carolina
-79.8216,33.006,2.82848,2.25066,South Carolina
-79.779,33.001,2.76742,2.18548,South Carolina
-79.7365,32.995,2.70743,2.11116,South Carolina
-79.694,32.989,2.65543,2.05001,South Carolina
-80.4536,33.125,2.69677,2.03064,South Carolina
-80.4109,33.12,2.75135,2.11344,South Carolina
-80.3683,33.114,2.80654,2.19342,South Carolina
-80.3257,33.109,2.86071,2.26312,South Carolina
-80.2831,33.103,2.92873,2.34226,South Carolina
-80.2405,33.098,2.97888,2.40892,South Carolina
-80.1979,33.092,3.03433,2.46587,South Carolina
-80.1553,33.087,3.04668,2.4875,South Carolina
-80.1127,33.081,3.08334,2.52829,South Carolina
-80.0701,33.075,3.08933,2.52982,South Carolina
-80.0275,33.07,3.05009,2.49268,South Carolina
-79.9849,33.064,3.01837,2.46018,South Carolina
-79.9424,33.059,2.98191,2.41534,South Carolina
-79.8998,33.053,2.92741,2.35113,South Carolina
-79.8573,33.047,2.87269,2.30244,South Carolina
-79.8147,33.041,2.81511,2.2464,South Carolina
-79.7722,33.036,2.75606,2.18539,South Carolina
-79.7296,33.03,2.69891,2.11784,South Carolina
-79.6871,33.024,2.64054,2.04479,South Carolina
-80.447,33.161,2.66679,1.98658,South Carolina
-80.4043,33.155,2.71799,2.06578,South Carolina
-80.3617,33.15,2.77567,2.14489,South Carolina
-80.319,33.144,2.83534,2.22154,South Carolina
-80.2764,33.139,2.88823,2.30363,South Carolina
-80.2338,33.133,2.94534,2.3718,South Carolina
-80.1912,33.128,2.98477,2.42321,South Carolina
-80.1485,33.122,3.01904,2.45058,South Carolina
-80.1059,33.116,3.02077,2.47038,South Carolina
-80.0633,33.111,3.03135,2.47845,South Carolina
-80.0207,33.105,3.00895,2.45408,South Carolina
-79.9781,33.1,2.96781,2.41734,South Carolina
-79.9356,33.094,2.9283,2.37485,South Carolina
-79.893,33.088,2.89266,2.33584,South Carolina
-79.8504,33.083,2.83813,2.28,South Carolina
-79.8078,33.077,2.79583,2.23467,South Carolina
-79.7653,33.071,2.74197,2.17566,South Carolina
-79.7227,33.065,2.68182,2.10929,South Carolina
-79.6802,33.06,2.63153,2.04565,South Carolina
-80.4404,33.196,2.63552,1.94462,South Carolina
-80.3977,33.191,2.69357,2.03001,South Carolina
-80.3551,33.185,2.73999,2.10068,South Carolina
-80.3124,33.18,2.79618,2.18129,South Carolina
-80.2697,33.174,2.83543,2.2403,South Carolina
-80.2271,33.169,2.89433,2.31236,South Carolina
-80.1845,33.163,2.92504,2.35343,South Carolina
-80.1418,33.157,2.96168,2.39719,South Carolina
-80.0992,33.152,2.96471,2.40381,South Carolina
-80.0566,33.146,2.9602,2.41242,South Carolina
-80.014,33.141,2.95556,2.41388,South Carolina
-79.9714,33.135,2.92857,2.38522,South Carolina
-79.9288,33.129,2.87954,2.33771,South Carolina
-79.8862,33.124,2.85,2.30523,South Carolina
-79.8436,33.118,2.82209,2.26664,South Carolina
-79.801,33.112,2.76227,2.21373,South Carolina
-79.7584,33.107,2.71378,2.15514,South Carolina
-79.7158,33.101,2.66298,2.09539,South Carolina
-79.6733,33.095,2.6118,2.03431,South Carolina
-80.3911,33.226,2.65016,1.97805,South Carolina
-80.3484,33.22,2.7121,2.05527,South Carolina
-80.3057,33.215,2.75155,2.13001,South Carolina
-80.2631,33.209,2.80515,2.19647,South Carolina
-80.2204,33.204,2.82725,2.24403,South Carolina
-80.1778,33.198,2.87233,2.29832,South Carolina
-80.1351,33.193,2.88588,2.32454,South Carolina
-80.0925,33.187,2.91065,2.36172,South Carolina
-80.0498,33.182,2.88967,2.34244,South Carolina
-80.0072,33.176,2.89484,2.35522,South Carolina
-79.9646,33.17,2.88948,2.34851,South Carolina
-79.9219,33.165,2.85013,2.30787,South Carolina
-79.8793,33.159,2.80907,2.27159,South Carolina
-79.8367,33.153,2.77298,2.22835,South Carolina
