Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-114.084,36.779,1.41514,0.399684,Utah
-113.918,36.806,1.38337,0.392095,Utah
-113.751,36.832,1.4917,0.434833,Utah
-113.585,36.858,1.80279,0.608657,Utah
-114.284,36.883,1.73174,0.510509,Utah
-113.418,36.884,1.97353,0.794311,Utah
-113.251,36.91,1.85729,0.646982,Utah
-114.118,36.91,1.59134,0.454902,Utah
-113.951,36.937,1.53666,0.439103,Utah
-113.785,36.963,1.63035,0.485602,Utah
-113.618,36.989,1.9008,0.672739,Utah
-114.319,37.014,1.8902,0.58865,Utah
-113.451,37.015,2.0805,0.914728,Utah
-113.284,37.041,2.07352,0.863369,Utah
-114.152,37.041,1.75524,0.521449,Utah
-113.117,37.066,1.8762,0.626379,Utah
-113.985,37.068,1.69232,0.497502,Utah
-112.949,37.092,1.77236,0.556859,Utah
-113.818,37.094,1.74058,0.529281,Utah
-113.651,37.121,1.88168,0.620613,Utah
-113.484,37.147,2.07116,0.807452,Utah
-113.316,37.172,2.16336,0.929419,Utah
-114.186,37.172,1.87938,0.583007,Utah
-113.149,37.198,2.07644,0.788109,Utah
-114.019,37.199,1.7995,0.547848,Utah
-112.981,37.223,1.95075,0.662163,Utah
-113.852,37.226,1.79175,0.546108,Utah
-112.814,37.248,1.88158,0.615322,Utah
-113.684,37.252,1.9084,0.623073,Utah
-113.517,37.278,2.12032,0.831032,Utah
-113.26,37.295,2.30193,1.16362,Utah
-114.22,37.304,1.95107,0.62959,Utah
-113.181,37.329,2.26796,1.0252,Utah
-114.053,37.33,1.83384,0.56019,Utah
-113.014,37.355,2.11568,0.77548,Utah
-113.885,37.357,1.83072,0.566062,Utah
-113.394,37.365,2.29784,1.13085,Utah
-112.846,37.38,2.04397,0.709141,Utah
-113.282,37.382,2.35958,1.26738,Utah
-113.718,37.383,1.93473,0.638964,Utah
-113.17,37.399,2.32182,1.10728,Utah
-112.678,37.405,2.02571,0.709813,Utah
-113.55,37.409,2.11889,0.807695,Utah
-112.509,37.429,1.98214,0.681767,Utah
-114.255,37.435,1.92575,0.610854,Utah
-112.341,37.454,1.87357,0.590862,Utah
-114.087,37.462,1.81131,0.550332,Utah
-113.303,37.47,2.36983,1.24231,Utah
-113.046,37.486,2.29297,0.95897,Utah
-113.191,37.487,2.39269,1.24368,Utah
-113.919,37.488,1.7761,0.538944,Utah
-112.878,37.511,2.24382,0.867482,Utah
-113.751,37.514,1.86998,0.591596,Utah
-112.709,37.536,2.2153,0.83443,Utah
-113.583,37.541,2.04048,0.712296,Utah
-113.325,37.557,2.35236,1.15079,Utah
-112.541,37.561,2.21197,0.852884,Utah
-114.289,37.566,1.83718,0.561309,Utah
-113.415,37.566,2.26013,0.972682,Utah
-113.213,37.574,2.41618,1.27493,Utah
-112.372,37.585,2.18594,0.837418,Utah
-113.101,37.591,2.44779,1.27724,Utah
-114.121,37.593,1.71821,0.505438,Utah
-112.989,37.608,2.43619,1.14448,Utah
-112.204,37.61,2.08195,0.725385,Utah
-113.953,37.619,1.66807,0.483518,Utah
-112.876,37.625,2.43506,1.08966,Utah
-113.785,37.646,1.7362,0.516249,Utah
-113.235,37.662,2.39103,1.14339,Utah
-113.616,37.672,1.92205,0.619376,Utah
-112.539,37.675,2.40427,1.03187,Utah
-113.123,37.679,2.47126,1.27057,Utah
-112.426,37.691,2.39225,1.04205,Utah
-113.01,37.696,2.53635,1.32228,Utah
-114.324,37.697,1.70215,0.501026,Utah
-113.448,37.698,2.11985,0.772395,Utah
-112.314,37.707,2.3633,1.01125,Utah
-112.898,37.713,2.59904,1.43629,Utah
-113.279,37.724,2.31898,0.991109,Utah
-114.155,37.724,1.55792,0.440072,Utah
-112.785,37.729,2.59167,1.36267,Utah
-112.235,37.741,2.34211,0.952996,Utah
-112.673,37.746,2.55026,1.21742,Utah
-113.987,37.75,1.49813,0.419266,Utah
-112.56,37.762,2.53314,1.16891,Utah
-112.065,37.765,2.22936,0.837229,Utah
-113.144,37.767,2.44806,1.1531,Utah
-113.819,37.777,1.5826,0.449439,Utah
-112.447,37.779,2.51978,1.1699,Utah
-113.032,37.784,2.5789,1.40624,Utah
-112.335,37.795,2.49173,1.14478,Utah
-112.919,37.8,4.0661,1.8191,Utah
-113.65,37.803,1.75672,0.524214,Utah
-112.222,37.811,2.43505,1.05803,Utah
-112.807,37.817,2.73334,1.7944,Utah
-113.481,37.829,1.97386,0.648705,Utah
-112.694,37.834,2.68935,1.51714,Utah
-112.581,37.85,2.64347,1.3317,Utah
-113.312,37.855,2.17174,0.7948,Utah
-114.19,37.855,1.33062,0.369837,Utah
