Longitude,Latitude,B&I Strain (%),Ku Strain (%),State 
-73.847,40.92,0,0,Connecticut
-73.4552,40.915,0,0,Connecticut
-73.0635,40.909,0,0,Connecticut
-72.672,40.902,0,0,Connecticut
-72.2806,40.893,0,0,Connecticut
-71.8894,40.884,0,0,Connecticut
-71.4984,40.872,0,0,Connecticut
-73.8418,41.217,0,0,Connecticut
-73.4483,41.212,0,0,Connecticut
-73.0548,41.206,0,0,Connecticut
-72.6615,41.199,0,0,Connecticut
-72.2683,41.19,0,0,Connecticut
-71.8754,41.18,0,0,Connecticut
-71.4826,41.169,0,0,Connecticut
-73.8365,41.514,0,0,Connecticut
-73.4412,41.51,0,0,Connecticut
-73.0459,41.503,0,0,Connecticut
-72.6508,41.496,0,0,Connecticut
-72.2559,41.487,0,0,Connecticut
-71.8611,41.477,0,0,Connecticut
-71.4666,41.466,0,0,Connecticut
-73.8312,41.811,0,0,Connecticut
-73.434,41.807,0,0,Connecticut
-73.0369,41.801,0,0,Connecticut
-72.64,41.793,0,0,Connecticut
-72.2433,41.784,0,0,Connecticut
-71.8467,41.774,0,0,Connecticut
-71.4503,41.762,0,0,Connecticut
-73.8257,42.109,0,0,Connecticut
-73.4267,42.104,0,0,Connecticut
-73.0278,42.098,0,0,Connecticut
-72.629,42.09,0,0,Connecticut
-72.2304,42.081,0,0,Connecticut
-71.832,42.071,0,0,Connecticut
-71.4338,42.059,0,0,Connecticut
-73.8202,42.406,0,0,Connecticut
-73.4193,42.401,0,0,Connecticut
-73.0185,42.395,0,0,Connecticut
-72.6179,42.387,0,0,Connecticut
-72.2174,42.378,0,0,Connecticut
-71.8171,42.368,0,0,Connecticut
-71.4171,42.356,0,0,Connecticut
