Longitude,Latitude,B&I Strain (%),Ku Strain (%),State
-123.674,41.772,1.97254,1.22669,Oregon
-123.827,41.774,2.05954,1.36365,Oregon
-123.981,41.776,2.13715,1.48615,Oregon
-124.134,41.778,2.201,1.598,Oregon
-123.398,41.779,1.77312,0.938384,Oregon
-121.642,41.783,0.780836,0.330844,Oregon
-119.474,41.783,0.0324361,0.022423,Oregon
-123.781,41.785,2.02942,1.32337,Oregon
-123.934,41.787,2.10718,1.4433,Oregon
-122.907,41.787,1.13688,0.491916,Oregon
-124.088,41.789,2.18023,1.56627,Oregon
-120.26,41.79,0.61397,0.259663,Oregon
-124.241,41.791,2.21924,1.64569,Oregon
-123.29,41.794,1.66601,0.818794,Oregon
-123.735,41.796,1.9943,1.27286,Oregon
-122.121,41.796,0.589879,0.294461,Oregon
-120.797,41.796,0.116789,0.0631214,Oregon
-120.175,41.797,0.615669,0.256365,Oregon
-123.888,41.798,2.08059,1.41157,Oregon
-124.041,41.8,2.15572,1.52583,Oregon
-123.305,41.8,1.67669,0.835627,Oregon
-124.195,41.801,2.20972,1.63091,Oregon
-124.348,41.803,2.22309,1.65398,Oregon
-123.612,41.805,1.91253,1.15209,Oregon
-123.689,41.806,1.9611,1.2289,Oregon
-121.525,41.807,0.846915,0.354293,Oregon
-123.842,41.808,2.04737,1.36105,Oregon
-123.995,41.81,2.1302,1.48818,Oregon
-122.695,41.81,0.707088,0.370534,Oregon
-124.148,41.812,2.1901,1.59246,Oregon
-122.791,41.813,0.867168,0.417946,Oregon
-124.302,41.814,2.22025,1.65457,Oregon
-120.082,41.816,0.435997,0.201168,Oregon
-121.371,41.817,0.400653,0.208728,Oregon
-119.298,41.817,0.0255172,0.0202835,Oregon
-123.796,41.819,2.01562,1.31778,Oregon
-121.908,41.819,0.80904,0.354027,Oregon
-123.174,41.82,1.52124,0.694227,Oregon
-123.949,41.821,2.1012,1.44712,Oregon
-123.213,41.821,1.56288,0.728519,Oregon
-124.102,41.823,2.17086,1.56251,Oregon
-124.256,41.825,2.21336,1.64452,Oregon
-123.519,41.826,1.83189,1.04033,Oregon
-120.388,41.829,0.476307,0.227642,Oregon
-123.749,41.83,1.97951,1.26358,Oregon
-123.903,41.832,2.07218,1.40617,Oregon
-120.622,41.832,0.149307,0.0845171,Oregon
-124.056,41.834,2.14635,1.52181,Oregon
-124.209,41.835,2.20267,1.62413,Oregon
-120.026,41.836,0.293217,0.148277,Oregon
-124.363,41.837,2.21825,1.65238,Oregon
-123.703,41.84,1.94749,1.22073,Oregon
-123.12,41.842,1.42905,0.634032,Oregon
-123.856,41.843,2.03878,1.35617,Oregon
-124.01,41.844,2.11915,1.48014,Oregon
-119.872,41.844,0.11823,0.056093,Oregon
-124.163,41.846,2.18726,1.59465,Oregon
-123.058,41.846,1.33237,0.579522,Oregon
-123.427,41.847,1.74742,0.932555,Oregon
-124.317,41.848,2.21774,1.65278,Oregon
-122.521,41.849,0.54331,0.309837,Oregon
-120.409,41.852,0.392524,0.199162,Oregon
-123.81,41.853,2.00599,1.312,Oregon
-121.196,41.853,0.193652,0.111946,Oregon
-123.963,41.855,2.09277,1.44416,Oregon
-124.117,41.857,2.16858,1.56516,Oregon
-124.27,41.859,2.21405,1.6482,Oregon
-124.424,41.86,2.21933,1.65383,Oregon
-123.764,41.864,1.97314,1.26643,Oregon
-123.917,41.866,2.06279,1.40205,Oregon
-124.071,41.868,2.14386,1.52534,Oregon
-123.334,41.868,1.65092,0.827352,Oregon
-124.224,41.87,2.20401,1.63469,Oregon
-124.378,41.871,2.22092,1.65828,Oregon
-121.771,41.871,0.777543,0.327617,Oregon
-122.942,41.872,1.09415,0.490707,Oregon
-123.641,41.873,1.88816,1.14541,Oregon
-123.717,41.875,1.93866,1.22182,Oregon
-120.292,41.876,0.444133,0.212686,Oregon
-123.871,41.877,2.03164,1.3595,Oregon
-119.696,41.878,0.0618381,0.029628,Oregon
-124.024,41.879,2.11682,1.48539,Oregon
-124.178,41.88,2.18856,1.60869,Oregon
-123.326,41.88,1.63521,0.816975,Oregon
-124.331,41.882,2.22082,1.66425,Oregon
-124.485,41.883,2.22001,1.64489,Oregon
-120.107,41.885,0.421384,0.199963,Oregon
-123.825,41.887,2.00006,1.3202,Oregon
-122.347,41.887,0.520596,0.289868,Oregon
-123.978,41.889,2.08905,1.44976,Oregon
-123.241,41.889,1.53571,0.726864,Oregon
-121.021,41.889,0.117575,0.0673946,Oregon
-124.132,41.891,2.16946,1.57434,Oregon
-124.285,41.893,2.21922,1.66544,Oregon
-121.559,41.893,0.920745,0.376371,Oregon
-124.439,41.894,2.2274,1.66825,Oregon
-123.548,41.895,1.80779,1.04102,Oregon
-123.778,41.898,1.96513,1.27377,Oregon
-122.826,41.898,0.82108,0.416371,Oregon
-123.932,41.9,2.05936,1.41025,Oregon
-124.085,41.902,2.14427,1.53654,Oregon
-124.239,41.904,2.20987,1.6489,Oregon
-124.392,41.905,2.23091,1.68066,Oregon
-121.942,41.905,0.910475,0.386161,Oregon
-123.21,41.906,1.48896,0.695541,Oregon
-123.732,41.909,1.93145,1.22968,Oregon
-123.148,41.91,1.40458,0.637669,Oregon
-123.885,41.911,2.02731,1.37053,Oregon
-124.039,41.913,2.11773,1.49783,Oregon
-119.52,41.913,0.0357286,0.02342,Oregon
-124.192,41.914,2.19819,1.62595,Oregon
-124.346,41.916,2.23245,1.68166,Oregon
-123.455,41.916,1.724,0.93781,Oregon
-124.5,41.917,2.23182,1.66663,Oregon
-121.442,41.918,0.575855,0.276129,Oregon
-123.839,41.921,1.99266,1.31959,Oregon
-123.993,41.923,2.0884,1.45543,Oregon
-120.058,41.923,0.326638,0.16593,Oregon
-124.146,41.925,2.17533,1.58566,Oregon
-122.172,41.925,0.649222,0.320165,Oregon
-120.846,41.926,0.0901159,0.0499761,Oregon
-124.3,41.927,2.2295,1.67994,Oregon
-124.453,41.928,2.23955,1.69031,Oregon
-121.826,41.93,0.922954,0.371588,Oregon
-123.793,41.932,1.95774,1.27316,Oregon
-123.094,41.932,1.3028,0.586449,Oregon
-123.946,41.934,2.05648,1.41027,Oregon
-124.1,41.936,2.1457,1.53881,Oregon
-123.362,41.937,1.62489,0.82772,Oregon
-124.253,41.938,2.22184,1.66806,Oregon
-124.407,41.939,2.24662,1.70148,Oregon
-122.748,41.939,0.664849,0.373163,Oregon
-124.561,41.94,2.2298,1.65638,Oregon
-123.67,41.942,1.86937,1.14909,Oregon
-123.746,41.943,1.92173,1.22479,Oregon
-123.9,41.945,2.02239,1.36657,Oregon
-121.421,41.945,0.501604,0.249809,Oregon
-124.054,41.947,2.12142,1.50576,Oregon
-124.207,41.948,2.20886,1.64299,Oregon
-124.361,41.95,2.24735,1.70401,Oregon
-124.514,41.951,2.24198,1.68726,Oregon
-121.709,41.954,0.960833,0.375309,Oregon
-123.854,41.956,1.98927,1.32158,Oregon
-124.007,41.958,2.08923,1.46241,Oregon
-123.269,41.958,1.50821,0.723861,Oregon
-122.977,41.958,1.0446,0.489924,Oregon
-124.161,41.959,2.18545,1.60435,Oregon
-124.315,41.961,2.24945,1.70878,Oregon
-124.468,41.962,2.25402,1.71094,Oregon
-120.67,41.962,0.0969415,0.0548,Oregon
-123.577,41.963,1.78948,1.04579,Oregon
-123.361,41.965,1.60519,0.818785,Oregon
-122.093,41.965,0.850596,0.376407,Oregon
-123.807,41.966,1.95615,1.28235,Oregon
-123.961,41.968,2.05528,1.41736,Oregon
-124.115,41.97,2.15839,1.56216,Oregon
-124.268,41.972,2.24151,1.69795,Oregon
-124.422,41.973,2.26569,1.73104,Oregon
-119.919,41.973,0.144683,0.0729936,Oregon
-124.576,41.974,2.24193,1.68574,Oregon
-123.761,41.977,1.91766,1.23073,Oregon
-122.573,41.977,0.529287,0.317689,Oregon
-123.914,41.979,2.02429,1.3809,Oregon
-123.177,41.979,1.37419,0.638975,Oregon
-121.592,41.979,1.00835,0.394128,Oregon
-124.068,41.981,2.12849,1.52109,Oregon
-121.246,41.982,0.217107,0.128677,Oregon
-124.222,41.983,2.22826,1.67521,Oregon
-124.376,41.984,2.2737,1.74583,Oregon
-123.484,41.984,1.70329,0.944246,Oregon
-122.861,41.984,0.774362,0.417356,Oregon
-124.529,41.985,2.25853,1.71933,Oregon
-123.868,41.99,1.98776,1.33423,Oregon
-121.976,41.99,1.12831,0.451555,Oregon
-123.245,41.991,1.45344,0.695901,Oregon
-124.022,41.992,2.0968,1.47744,Oregon
-124.176,41.993,2.20433,1.63402,Oregon
-124.329,41.995,2.27783,1.75373,Oregon
-124.483,41.996,2.27538,1.74704,Oregon
-120.495,41.997,0.136791,0.080868,Oregon
-123.822,42.001,1.95207,1.29199,Oregon
-123.975,42.002,2.0615,1.43115,Oregon
-124.129,42.004,2.17618,1.59203,Oregon
-121.476,42.004,0.650719,0.298462,Oregon
-123.391,42.005,1.60352,0.837821,Oregon
-124.283,42.006,2.27255,1.74678,Oregon
-124.437,42.007,2.29077,1.77105,Oregon
-119.743,42.008,0.0744027,0.0345155,Oregon
-124.59,42.009,2.25645,1.70931,Oregon
-123.698,42.01,1.85632,1.16127,Oregon
-123.775,42.011,1.91186,1.23867,Oregon
-123.929,42.013,2.02734,1.39093,Oregon
-124.083,42.015,2.1423,1.54128,Oregon
-121.86,42.015,1.16035,0.442328,Oregon
-122.398,42.016,0.554345,0.312036,Oregon
-124.237,42.017,2.25363,1.71025,Oregon
-123.129,42.017,1.25403,0.581659,Oregon
-124.39,42.018,2.30294,1.79378,Oregon
-124.544,42.019,2.27343,1.74068,Oregon
-121.975,42.019,1.21989,0.482884,Oregon
-121.071,42.019,0.119024,0.0723826,Oregon
-123.729,42.022,1.87328,1.18943,Oregon
-123.883,42.024,1.9878,1.33807,Oregon
-124.036,42.026,2.10618,1.49237,Oregon
-123.298,42.026,1.48543,0.733051,Oregon
-124.19,42.027,2.22551,1.66323,Oregon
-124.344,42.029,2.30824,1.80681,Oregon
-124.498,42.03,2.29412,1.77365,Oregon
-123.606,42.031,1.77137,1.05083,Oregon
-120.319,42.033,0.177932,0.101767,Oregon
-123.836,42.035,1.95079,1.2935,Oregon
-123.99,42.036,2.0677,1.44441,Oregon
-124.144,42.038,2.19439,1.61458,Oregon
-124.298,42.04,2.30471,1.79577,Oregon
-124.452,42.041,2.31453,1.80965,Oregon
-124.605,42.043,2.269,1.73483,Oregon
-123.013,42.043,0.986643,0.48782,Oregon
-123.79,42.045,1.90599,1.23495,Oregon
-123.944,42.047,2.02889,1.39483,Oregon
-123.205,42.047,1.334,0.628483,Oregon
-124.097,42.049,2.15589,1.55957,Oregon
-123.397,42.05,1.57019,0.812298,Oregon
-124.251,42.051,2.28437,1.75877,Oregon
-122.127,42.051,1.04739,0.43628,Oregon
-124.405,42.052,2.33333,1.84703,Oregon
-123.513,42.052,1.67826,0.936304,Oregon
-124.559,42.054,2.28792,1.76483,Oregon
-122.223,42.054,0.801156,0.372122,Oregon
-120.895,42.055,0.0818859,0.0486658,Oregon
-123.743,42.056,1.86772,1.18722,Oregon
-123.897,42.058,1.98843,1.34365,Oregon
-121.788,42.059,1.25744,0.475258,Oregon
-124.051,42.06,2.11649,1.50745,Oregon
-124.205,42.062,2.25299,1.70587,Oregon
-124.359,42.063,2.34408,1.86967,Oregon
-124.513,42.064,2.31011,1.80178,Oregon
-121.626,42.065,1.02158,0.390656,Oregon
-122.8,42.067,0.60458,0.370737,Oregon
-120.143,42.068,0.156343,0.0870917,Oregon
-123.851,42.069,1.94839,1.29585,Oregon
-122.896,42.069,0.721417,0.413411,Oregon
-124.005,42.071,2.07787,1.45996,Oregon
-124.159,42.072,2.21791,1.64966,Oregon
