Lon,Lat,D__m_,State
-131.552,55.013,0.02489,Alaska
-131.365,55.013,0.02137,Alaska
-131.552,55.106,0.02319,Alaska
-132.863,55.2,0.2448,Alaska
-132.675,55.2,0.16122,Alaska
-131.739,55.2,0.02419,Alaska
-131.552,55.2,0.02136,Alaska
-132.863,55.294,0.2011,Alaska
-132.675,55.294,0.13439,Alaska
-131.739,55.294,0.02225,Alaska
-131.552,55.294,0.01905,Alaska
-131.365,55.294,0.0133,Alaska
-133.05,55.387,0.24979,Alaska
-132.863,55.387,0.16512,Alaska
-132.675,55.387,0.113,Alaska
-131.926,55.387,0.02307,Alaska
-131.739,55.387,0.0203,Alaska
-131.552,55.387,0.01623,Alaska
-131.365,55.387,0.01006,Alaska
-133.237,55.481,0.30092,Alaska
-133.05,55.481,0.20203,Alaska
-132.863,55.481,0.13649,Alaska
-132.675,55.481,0.09597,Alaska
-132.488,55.481,0.06352,Alaska
-132.301,55.481,0.04171,Alaska
-132.114,55.481,0.02539,Alaska
-131.926,55.481,0.02104,Alaska
-131.739,55.481,0.01816,Alaska
-131.552,55.481,0.01311,Alaska
-133.237,55.575,0.24469,Alaska
-133.05,55.575,0.16556,Alaska
-132.863,55.575,0.11421,Alaska
-132.675,55.575,0.07595,Alaska
-132.488,55.575,0.05506,Alaska
-132.301,55.575,0.03126,Alaska
-132.114,55.575,0.02214,Alaska
-131.926,55.575,0.0192,Alaska
-131.739,55.575,0.01569,Alaska
-131.552,55.575,0.00997,Alaska
-133.05,55.668,0.13624,Alaska
-132.863,55.668,0.09757,Alaska
-132.675,55.668,0.0647,Alaska
-132.488,55.668,0.0436,Alaska
-132.301,55.668,0.02525,Alaska
-132.114,55.668,0.0201,Alaska
-131.926,55.668,0.01733,Alaska
-131.739,55.668,0.01295,Alaska
-132.863,55.762,0.07819,Alaska
-132.675,55.762,0.05604,Alaska
-132.488,55.762,0.0329,Alaska
-132.301,55.762,0.02213,Alaska
-132.114,55.762,0.01837,Alaska
-132.863,55.855,0.06747,Alaska
-132.675,55.855,0.04664,Alaska
-132.488,55.855,0.02708,Alaska
-132.301,55.855,0.02038,Alaska
-132.863,55.949,0.05894,Alaska
-132.675,55.949,0.03597,Alaska
-132.488,55.949,0.02471,Alaska
-132.863,56.043,0.04902,Alaska
-132.675,56.043,0.03075,Alaska
-132.301,56.324,0.0109,Alaska
-132.301,56.417,0.00903,Alaska
-132.675,56.511,0.02161,Alaska
-132.488,56.511,0.01242,Alaska
-132.863,56.605,0.02611,Alaska
-132.675,56.605,0.01934,Alaska
-132.863,56.698,0.0245,Alaska
-132.675,56.698,0.01636,Alaska
-133.05,56.792,0.02728,Alaska
-132.863,56.792,0.02197,Alaska
-135.297,56.979,1.72345,Alaska
-135.485,57.073,2.33315,Alaska
-135.297,57.073,1.51081,Alaska
-135.485,57.167,1.82858,Alaska
-135.297,57.167,1.21228,Alaska
-134.548,58.29,0.13195,Alaska
-134.361,58.29,0.08879,Alaska
-134.736,58.384,0.18187,Alaska
-134.548,58.384,0.12628,Alaska
-134.736,58.478,0.174,Alaska
-134.923,58.571,0.23889,Alaska
-134.736,58.571,0.16647,Alaska
-134.923,58.665,0.22193,Alaska
-135.11,58.759,0.28345,Alaska
-134.923,58.759,0.19979,Alaska
-135.11,58.852,0.24577,Alaska
-134.923,58.852,0.17993,Alaska
-135.11,58.946,0.21168,Alaska
-134.923,58.946,0.15804,Alaska
-135.11,59.04,0.18174,Alaska
-134.923,59.04,0.13656,Alaska
-135.11,59.133,0.15141,Alaska
-134.923,59.133,0.11837,Alaska
-135.297,59.227,0.16235,Alaska
-135.11,59.227,0.13013,Alaska
-134.923,59.227,0.09902,Alaska
-135.485,59.321,0.16314,Alaska
-135.297,59.321,0.13554,Alaska
-135.11,59.321,0.10841,Alaska
