Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-146.676,61.116,30.614,45.638
-145.186,61.038,32.975,54.08
-145.131,61.034,33.18,54.872
-145.076,61.031,33.329,55.482
-145.021,61.028,33.49,56.149
-144.966,61.025,33.649,56.822
-144.911,61.021,33.78,57.379
-144.856,61.018,33.92,57.97
-144.801,61.015,34.036,58.461
-144.746,61.011,34.175,59.014
-144.691,61.008,34.274,59.407
-144.637,61.004,34.351,59.699
-144.582,61.001,34.471,60.182
-144.527,60.997,34.521,60.364
-144.472,60.994,34.61,60.714
-144.417,60.99,34.681,60.983
-144.362,60.987,34.709,61.067
-144.307,60.983,34.801,61.433
-144.253,60.98,34.824,61.493
-144.198,60.976,34.91,61.845
-144.143,60.973,35.001,62.218
-144.088,60.969,35.064,62.446
-144.034,60.965,35.195,62.959
-143.979,60.962,35.267,63.227
-143.924,60.958,35.568,64.652
-143.87,60.954,35.669,65.12
-143.815,60.95,35.703,65.271
-143.76,60.947,35.829,65.881
-143.706,60.943,35.867,66.054
-143.651,60.939,35.922,66.306
-143.596,60.935,35.991,66.647
-143.542,60.931,35.998,66.666
-143.487,60.928,36.147,67.358
-143.433,60.924,36.207,67.628
-143.378,60.92,36.298,68.061
-143.323,60.916,36.379,68.438
-143.269,60.912,36.371,68.397
-143.214,60.908,36.479,68.911
-143.16,60.904,36.488,68.942
-143.105,60.9,36.52,69.098
-143.051,60.896,36.551,69.243
-142.997,60.892,36.495,68.963
-142.942,60.888,36.544,69.191
-142.888,60.883,36.563,69.275
-142.833,60.879,36.618,69.547
-142.779,60.875,36.662,69.747
-142.725,60.871,36.626,69.568
-142.67,60.867,36.706,69.958
-142.616,60.862,36.675,69.8
-142.562,60.858,36.681,69.821
-142.507,60.854,36.669,69.757
-142.453,60.85,36.584,69.327
-142.399,60.845,36.592,69.358
-142.344,60.841,36.544,69.118
-142.29,60.837,36.561,69.191
-142.236,60.832,36.59,69.348
-142.182,60.828,36.519,68.983
-142.128,60.823,36.572,69.254
-142.073,60.819,36.498,68.88
-142.019,60.815,36.478,68.787
-141.965,60.81,36.423,68.51
-141.911,60.806,36.315,67.99
-141.857,60.801,36.276,67.799
-141.803,60.796,36.159,67.238
-141.749,60.792,36.15,67.199
-141.695,60.787,36.123,67.07
-141.641,60.783,36.024,66.608
-141.587,60.778,36.004,66.51
-141.533,60.773,35.881,65.89
-141.479,60.769,35.822,65.594
-141.425,60.764,35.712,65.054
-141.371,60.759,35.564,64.337
-141.317,60.754,35.466,63.86
-141.263,60.75,35.31,63.137
-141.209,60.745,35.27,62.968
-141.155,60.74,35.167,62.525
-141.102,60.735,35.049,62.044
-141.048,60.73,34.96,61.656
-151.238,61.279,28.452,39.089
-151.183,61.279,28.719,39.848
-151.127,61.278,29.002,40.709
-151.071,61.277,29.309,41.581
-151.015,61.276,29.563,42.326
-150.959,61.275,29.76,42.916
-150.903,61.275,29.93,43.444
-150.847,61.274,30.072,43.876
-150.791,61.273,30.236,44.393
-150.735,61.272,30.381,44.858
-150.679,61.271,30.492,45.212
-150.456,61.267,30.677,45.876
-150.4,61.266,30.778,46.225
-150.344,61.265,30.859,46.495
-150.288,61.264,30.926,46.71
-150.232,61.262,31.013,47.007
-150.176,61.261,31.093,47.264
-150.121,61.26,31.147,47.426
-150.065,61.259,31.199,47.589
-150.009,61.258,31.237,47.703
-149.897,61.255,31.281,47.83
-149.841,61.254,31.313,47.945
-149.786,61.253,31.35,48.067
-149.73,61.251,31.386,48.184
-149.674,61.25,31.415,48.268
-149.618,61.249,31.433,48.301
-149.562,61.247,31.457,48.363
-149.506,61.246,31.502,48.493
-149.451,61.244,31.55,48.651
-149.395,61.243,31.597,48.793
-149.339,61.241,31.64,48.93
-149.283,61.24,31.67,49.028
-149.228,61.238,31.709,49.161
-149.172,61.237,31.743,49.282
-149.116,61.235,31.778,49.411
-149.06,61.233,31.796,49.463
-149.005,61.232,31.796,49.457
-148.949,61.23,31.804,49.475
-148.893,61.228,31.803,49.475
-148.837,61.227,31.782,49.405
-148.782,61.225,31.764,49.335
-148.726,61.223,31.724,49.19
-148.67,61.222,31.658,48.936
-148.615,61.22,31.642,48.867
-148.559,61.218,31.642,48.879
-148.503,61.216,31.609,48.77
-148.448,61.214,31.56,48.594
-148.392,61.212,31.53,48.509
-148.336,61.21,31.459,48.273
-148.281,61.209,31.444,48.223
-148.225,61.207,31.44,48.218
-148.169,61.205,31.415,48.14
-148.114,61.203,31.398,48.095
-148.058,61.201,31.334,47.879
-148.002,61.199,31.302,47.786
-147.947,61.196,31.248,47.627
-147.891,61.194,31.264,47.687
-147.669,61.186,31.087,47.108
-147.613,61.184,31.047,47.012
-147.558,61.181,31.055,47.023
-147.502,61.179,31.042,46.991
-147.447,61.177,31.016,46.916
-147.391,61.175,30.965,46.747
-147.336,61.172,30.913,46.568
-147.28,61.17,30.858,46.38
-147.225,61.168,30.868,46.411
-147.169,61.165,30.836,46.297
-147.114,61.163,30.788,46.132
-147.058,61.16,30.775,46.111
-147.003,61.158,30.704,45.881
-146.948,61.155,30.709,45.896
-146.892,61.153,30.703,45.881
-146.837,61.15,30.68,45.81
-146.781,61.148,30.63,45.643
-146.726,61.145,30.556,45.397
-146.671,61.143,30.551,45.382
-146.615,61.14,30.457,45.118
-146.56,61.137,30.438,45.064
-146.504,61.135,30.387,44.912
-146.449,61.132,30.328,44.721
-145.014,61.054,33.159,54.816
-144.959,61.051,33.311,55.411
-144.904,61.048,33.441,55.945
-144.849,61.045,33.606,56.621
-144.794,61.041,33.738,57.16
-144.739,61.038,33.874,57.723
-144.684,61.034,34.026,58.351
-144.629,61.031,34.105,58.649
-144.575,61.028,34.252,59.222
-144.52,61.024,34.355,59.626
-144.465,61.021,34.447,59.969
-144.41,61.017,34.57,60.472
-144.355,61.014,34.62,60.647
-144.3,61.01,34.756,61.211
-144.245,61.006,34.829,61.493
-144.19,61.003,34.916,61.854
-144.136,60.999,35.009,62.236
-144.081,60.996,35.035,62.306
-144.026,60.992,35.177,62.861
-143.971,60.988,35.432,64.015
-143.917,60.985,35.506,64.355
-143.862,60.981,35.601,64.801
-143.807,60.977,35.62,64.866
-143.752,60.973,35.771,65.584
-143.698,60.97,35.853,65.977
-143.643,60.966,35.932,66.354
-143.588,60.962,36.044,66.892
-143.534,60.958,36.068,66.991
-143.479,60.954,36.183,67.518
-143.424,60.95,36.237,67.768
-143.37,60.946,36.254,67.839
-143.315,60.942,36.334,68.213
-143.261,60.938,36.304,68.051
-143.206,60.934,36.367,68.356
-143.152,60.93,36.404,68.52
-143.097,60.926,36.451,68.746
-143.043,60.922,36.544,69.202
-142.988,60.918,36.533,69.139
-142.934,60.914,36.62,69.568
-142.879,60.91,36.64,69.662
-142.825,60.906,36.631,69.61
-142.77,60.902,36.676,69.831
-142.716,60.897,36.618,69.536
-142.662,60.893,36.638,69.62
-142.607,60.889,36.599,69.421
-142.553,60.885,36.58,69.316
-142.498,60.88,36.655,69.694
-142.444,60.876,36.607,69.442
-142.39,60.872,36.655,69.684
-142.336,60.867,36.633,69.557
-142.281,60.863,36.589,69.337
-142.227,60.859,36.601,69.39
-142.173,60.854,36.492,68.839
-142.119,60.85,36.491,68.839
-142.064,60.845,36.408,68.428
-142.01,60.841,36.332,68.061
-141.956,60.836,36.363,68.203
-141.902,60.832,36.277,67.788
-141.848,60.827,36.31,67.96
-141.794,60.823,36.245,67.648
-141.739,60.818,36.179,67.338
-141.685,60.814,36.133,67.119
-141.631,60.809,35.978,66.383
-141.577,60.804,35.934,66.16
-141.523,60.8,35.811,65.546
-141.469,60.795,35.721,65.111
-141.415,60.79,35.685,64.932
-141.361,60.786,35.545,64.254
-141.307,60.781,35.52,64.134
-141.253,60.776,35.404,63.587
-141.199,60.771,35.282,63.021
-141.146,60.766,35.171,62.552
-141.092,60.762,34.972,61.707
-141.038,60.757,34.877,61.288
-151.237,61.306,28.475,39.157
-151.181,61.305,28.773,40.012
-151.125,61.305,29.118,41.033
-151.069,61.304,29.487,42.104
-151.013,61.303,29.791,43.025
-150.957,61.302,30.01,43.704
-150.901,61.301,30.188,44.255
-150.845,61.301,30.386,44.887
-150.789,61.3,30.526,45.337
-150.733,61.299,30.629,45.673
-150.677,61.298,30.71,45.937
-150.621,61.297,30.786,46.194
-150.51,61.295,30.933,46.694
-150.454,61.294,30.782,46.24
-150.398,61.293,30.854,46.479
-150.342,61.292,30.924,46.715
-150.286,61.291,30.985,46.927
-150.23,61.289,31.036,47.087
-150.174,61.288,31.107,47.312
-150.118,61.287,31.166,47.502
-150.062,61.286,31.217,47.66
-150.006,61.285,31.245,47.747
-149.839,61.281,31.341,48.067
-149.783,61.28,31.358,48.117
-149.727,61.278,31.374,48.156
-149.671,61.277,31.397,48.229
-149.615,61.275,31.415,48.268
-149.559,61.274,31.426,48.29
