Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-146.676,61.116,0.025,0.0304,162.8021642,45.93594826
-145.186,61.038,0.0274,0.0317,201.6427691,53.58871371
-145.131,61.034,0.0273,0.0316,202.13248,54.37045444
-145.076,61.031,0.0272,0.0315,200.6582469,54.77207027
-145.021,61.028,0.0271,0.0314,200.2330708,55.41036431
-144.966,61.025,0.027,0.0313,200.1507485,56.23558652
-144.911,61.021,0.0289,0.0312,199.4601015,56.92572399
-144.856,61.018,0.0288,0.0311,199.5045029,57.86582219
-144.801,61.015,0.0287,0.0311,199.1030545,58.71194737
-144.746,61.011,0.0286,0.031,199.851413,59.77623112
-144.691,61.008,0.0285,0.0329,199.3454082,60.57273495
-144.637,61.004,0.0284,0.0328,198.9091271,61.12575804
-144.582,61.001,0.0283,0.0328,200.1345321,62.38506162
-144.527,60.997,0.0283,0.032742638,199.2387403,62.86799173
-144.472,60.994,0.0282,0.0327,197.3781311,63.17289542
-144.417,60.99,0.0282,0.0327,198.1807181,63.99392369
-144.362,60.987,0.0281,0.0326,197.6305291,64.38585495
-144.307,60.983,0.0281,0.0326,202.1236755,66.18080785
-144.253,60.98,0.028,0.032555733,201.8204759,66.49694268
-144.198,60.976,0.028,0.0325,203.7872671,67.6220308
-144.143,60.973,0.028,0.0325,206.1780143,68.83966067
-144.088,60.969,0.0299,0.0325,207.2528157,69.57136365
-144.034,60.965,0.0299,0.0324,211.2542141,71.11112377
-143.979,60.962,0.0298,0.0324,212.7013622,71.91986721
-143.924,60.958,0.0297,0.03232184,224.3641477,74.1185247
-143.87,60.954,0.0297,0.0323,227.5167374,75.13646
-143.815,60.95,0.0296,0.0323,228.166613,75.34797503
-143.76,60.947,0.0296,0.0322,232.5629361,76.79830095
-143.706,60.943,0.0295,0.0322,233.421467,77.1117224
-143.651,60.939,0.0295,0.0322,236.1292962,77.86059005
-143.596,60.935,0.0295,0.0322,239.069708,78.8965377
-143.542,60.931,0.0295,0.032175943,238.9161885,78.79738582
-143.487,60.928,0.0294,0.0322,244.0990444,80.59551715
-143.433,60.924,0.029389202,0.0322,243.7130281,80.69361945
-143.378,60.92,0.0294,0.0321,246.7219801,81.80178296
-143.323,60.916,0.0293,0.0321,249.5355014,82.72680734
-143.269,60.912,0.0293,0.0321,248.9539397,82.57098747
-143.214,60.908,0.0293,0.0321,252.9530784,83.95756926
-143.16,60.904,0.0293,0.0321,252.9501371,84.00102518
-143.105,60.9,0.0293,0.0321,254.0412919,84.44020449
-143.051,60.896,0.0293,0.0321,255.096508,84.83407522
-142.997,60.892,0.0293,0.032075303,253.2224192,84.1703849
-142.942,60.888,0.0292,0.0321,255.0992511,84.82311303
-142.888,60.883,0.0292,0.0321,255.5708763,85.02338119
-142.833,60.879,0.0292,0.0321,257.4169187,85.74692857
-142.779,60.875,0.0292,0.032053882,256.9836458,85.9817262
-142.725,60.871,0.0292,0.032057226,255.3790566,85.52029082
-142.67,60.867,0.0292,0.032,258.5018004,86.66981868
-142.616,60.862,0.0292,0.0321,257.2129789,86.29504446
-142.562,60.858,0.0292,0.032,257.6774147,86.50966047
-142.507,60.854,0.0292,0.0321,257.3579362,86.4453796
-142.453,60.85,0.0292,0.0321,253.8287629,85.38477579
-142.399,60.845,0.0292,0.03206718,254.4134283,85.6427292
-142.344,60.841,0.0292,0.0321,252.305504,85.10967995
-142.29,60.837,0.0292,0.0321,253.0881921,85.4537492
-142.236,60.832,0.029245441,0.0321,254.3576542,86.04600439
-142.182,60.828,0.0293,0.0321,251.5587809,85.21624298
-142.128,60.823,0.0293,0.0321,253.4611998,86.14856039
-142.073,60.819,0.0293,0.0321,250.6380535,85.34919245
-142.019,60.815,0.0293,0.0321,249.825766,85.3495288
-141.965,60.81,0.0293,0.0321,247.9754219,84.82364899
-141.911,60.806,0.0293,0.0321,243.8275438,83.70214088
-141.857,60.801,0.0294,0.0321,242.9276969,83.49641776
-141.803,60.796,0.0294,0.0322,238.6864445,82.32064858
-141.749,60.792,0.0294,0.0322,238.4910044,82.43040967
-141.695,60.787,0.0294,0.0322,237.4386168,82.32000565
-141.641,60.783,0.0295,0.0322,233.9953141,81.38270367
-141.587,60.778,0.0295,0.0322,233.495183,81.43373995
-141.533,60.773,0.0295,0.0322,228.9879128,80.13009376
-141.479,60.769,0.0296,0.0322,227.0404037,79.69458352
-141.425,60.764,0.029622848,0.0323,223.4842407,78.6834477
-141.371,60.759,0.0297,0.0323,218.2499895,77.15321357
-141.317,60.754,0.0297,0.0323,215.1361684,76.30902323
-141.263,60.75,0.0298,0.0324,209.8103416,74.80169343
-141.209,60.745,0.0298,0.0324,208.9139525,74.77026114
-141.155,60.74,0.0299,0.0324,205.8004395,74.00550273
-141.102,60.735,0.0279,0.0325,202.0939182,73.14084629
-141.048,60.73,0.028,0.0325,197.7117017,72.38915362
-151.238,61.279,0.0257,0.0306,57.86907841,28.90002364
-151.183,61.279,0.0255,0.0304,61.18971282,29.97684881
-151.127,61.278,0.0253,0.0303,65.06906306,31.2262086
-151.071,61.277,0.0251,0.0301,69.20514369,32.52340936
-151.015,61.276,0.0269,0.03,72.80705244,33.50356328
