Longitude,Latitude,D__m_,State
-116.523,43.319,0.00501,Oregon
-116.648,43.406,0.0054,Oregon
-116.523,43.406,0.0055,Oregon
-116.773,43.493,0.00585,Oregon
-116.648,43.493,0.00594,Oregon
-116.523,43.493,0.00613,Oregon
-116.773,43.579,0.00639,Oregon
-116.648,43.579,0.00658,Oregon
-116.523,43.579,0.00688,Oregon
-116.898,43.666,0.00676,Oregon
-116.773,43.666,0.007,Oregon
-116.648,43.666,0.00729,Oregon
-116.523,43.666,0.00768,Oregon
-117.023,43.753,0.00693,Oregon
-116.898,43.753,0.00729,Oregon
-116.773,43.753,0.00765,Oregon
-116.648,43.753,0.008,Oregon
-116.523,43.753,0.00847,Oregon
-116.398,43.753,0.00919,Oregon
-117.023,43.84,0.00737,Oregon
-116.331,44.014,0.01327,Oregon
-116.331,44.144,0.01504,Oregon
-116.518,44.274,0.01505,Oregon
-116.331,44.274,0.01691,Oregon
-116.706,44.404,0.01565,Oregon
-116.518,44.404,0.01701,Oregon
-117.081,44.534,0.01413,Oregon
-116.893,44.534,0.0157,Oregon
-116.706,44.534,0.01689,Oregon
-116.518,44.534,0.01786,Oregon
-117.081,44.664,0.01525,Oregon
-116.893,44.664,0.0166,Oregon
-116.706,44.664,0.01747,Oregon
-116.518,44.664,0.01776,Oregon
-116.331,44.664,0.01805,Oregon
-116.893,44.794,0.01711,Oregon
-116.706,44.794,0.01726,Oregon
-116.518,44.794,0.01712,Oregon
-116.331,44.794,0.01667,Oregon
-116.706,44.924,0.01644,Oregon
-116.518,44.924,0.01546,Oregon
-116.331,44.924,0.01471,Oregon
-116.706,45.054,0.01525,Oregon
-116.518,45.054,0.01377,Oregon
-116.331,45.054,0.0127,Oregon
-116.143,45.054,0.01221,Oregon
-116.706,45.184,0.01409,Oregon
-116.862,42.081,0.00671,Oregon
-116.612,42.081,0.00609,Oregon
-116.862,42.255,0.00577,Oregon
-116.612,42.255,0.00517,Oregon
-116.862,42.428,0.00528,Oregon
-116.612,42.428,0.00463,Oregon
-116.862,42.601,0.00502,Oregon
-116.612,42.601,0.00437,Oregon
-116.862,42.774,0.00485,Oregon
-116.612,42.774,0.00423,Oregon
-116.862,42.948,0.00472,Oregon
-116.612,42.948,0.0042,Oregon
-116.862,43.121,0.00473,Oregon
-116.612,43.121,0.00438,Oregon
-116.862,43.294,0.00504,Oregon
-116.612,43.294,0.00488,Oregon
-116.862,43.468,0.00569,Oregon
-116.612,43.468,0.0058,Oregon
-116.862,43.641,0.00665,Oregon
-116.612,43.641,0.00717,Oregon
-116.862,43.814,0.00784,Oregon
-116.612,43.814,0.00867,Oregon
-116.361,43.814,0.01021,Oregon
-116.862,43.987,0.00926,Oregon
-116.612,43.987,0.01045,Oregon
-116.862,44.161,0.0112,Oregon
-116.612,44.161,0.01272,Oregon
-117.112,44.334,0.01153,Oregon
-116.862,44.334,0.01341,Oregon
-116.361,45.201,0.01088,Oregon
-116.111,45.201,0.00994,Oregon
-116.612,45.374,0.01088,Oregon
-116.361,45.374,0.00869,Oregon
-116.111,45.374,0.00738,Oregon
-116.361,45.547,0.00676,Oregon
-116.111,45.547,0.00575,Oregon
-115.861,45.547,0.00547,Oregon
-116.361,45.721,0.00538,Oregon
-116.111,45.721,0.00473,Oregon
-115.861,45.721,0.0045,Oregon
-116.612,45.894,0.00518,Oregon
-116.361,45.894,0.00448,Oregon
-116.111,45.894,0.00411,Oregon
-116.862,46.067,0.00515,Oregon
-116.612,46.067,0.00438,Oregon
-116.361,46.067,0.00394,Oregon
-116.111,46.067,0.00374,Oregon
-116.862,46.24,0.00436,Oregon
-116.612,46.24,0.00395,Oregon
-116.862,46.414,0.00393,Oregon
-117.039,46.428,0.0041,Oregon
-117.043,46.24,0.00476,Oregon
-117.043,46.083,0.00577,Oregon
-116.856,45.904,0.00636,Oregon
-117.038,45.902,0.00757,Oregon
-117.029,45.769,0.00866,Oregon
-116.843,45.769,0.0077,Oregon
-116.61,45.765,0.0062,Oregon
-116.582,45.541,0.00862,Oregon
-116.729,45.645,0.00846,Oregon
-116.758,45.374,0.01199,Oregon
-116.796,45.246,0.01396,Oregon
-116.834,45.136,0.0157,Oregon
-116.855,45.017,0.01682,Oregon
-116.915,44.917,0.01735,Oregon
-117.019,44.827,0.01686,Oregon
-117.148,46.345,0.00452,Oregon
-116.606,41.927,0.00734,Oregon
-116.847,41.934,0.00786,Oregon
-117.075,41.923,0.00924,Oregon
-117.077,42.066,0.00794,Oregon
-117.074,42.243,0.00687,Oregon
-117.063,42.414,0.00622,Oregon
-117.065,42.593,0.00586,Oregon
-117.063,42.776,0.00557,Oregon
-117.063,42.942,0.00536,Oregon
-117.065,43.114,0.00525,Oregon
-117.07,43.289,0.0054,Oregon
-117.065,43.453,0.00574,Oregon
-116.986,43.574,0.00618,Oregon
-117.066,43.638,0.00637,Oregon
-117.077,43.797,0.007,Oregon
-117.082,43.903,0.0075,Oregon
-117.002,43.981,0.00845,Oregon
-116.999,44.149,0.01021,Oregon
-117.116,44.197,0.00992,Oregon
-117.263,44.218,0.00888,Oregon
-117.261,44.35,0.01045,Oregon
-117.293,44.493,0.01178,Oregon
-117.207,44.57,0.01325,Oregon
-117.181,44.675,0.01439,Oregon
-117.104,44.777,0.01601,Oregon
