Longitude,Latitude,D__m_,State
-83.351,34.71,0.0004,South_Carolina
-81.911,34.71,0.00031,South_Carolina
-82.631,34.71,0.00038,South_Carolina
-81.191,34.71,0.00024,South_Carolina
-82.271,33.99,0.00034,South_Carolina
-82.991,34.71,0.0004,South_Carolina
-82.271,34.71,0.00035,South_Carolina
-81.551,34.71,0.00028,South_Carolina
-80.831,34.71,0.00019,South_Carolina
-82.631,34.35,0.00033,South_Carolina
-82.271,34.35,0.00036,South_Carolina
-82.631,35.07,0.00047,South_Carolina
-82.271,35.07,0.00036,South_Carolina
-81.911,35.07,0.00028,South_Carolina
-81.551,35.07,0.00021,South_Carolina
-81.191,35.07,0.00016,South_Carolina
-82.091,33.63,0.00027,South_Carolina
-82.451,33.99,0.00032,South_Carolina
-82.811,34.35,0.00031,South_Carolina
-82.451,34.35,0.00035,South_Carolina
-82.091,34.35,0.00036,South_Carolina
-83.171,34.71,0.0004,South_Carolina
-82.811,34.71,0.00039,South_Carolina
-82.451,34.71,0.00037,South_Carolina
-82.091,34.71,0.00033,South_Carolina
-81.731,34.71,0.0003,South_Carolina
-81.371,34.71,0.00026,South_Carolina
-81.011,34.71,0.00021,South_Carolina
-82.811,35.07,0.00052,South_Carolina
-82.451,35.07,0.00041,South_Carolina
-82.091,35.07,0.00031,South_Carolina
-81.731,35.07,0.00024,South_Carolina
-81.371,35.07,0.00018,South_Carolina
-81.011,35.07,0.00014,South_Carolina
-81.911,33.45,0.00025,South_Carolina
-82.271,33.81,0.0003,South_Carolina
-82.091,33.81,0.00033,South_Carolina
-82.631,34.17,0.00031,South_Carolina
-82.451,34.17,0.00034,South_Carolina
-82.271,34.17,0.00036,South_Carolina
-82.991,34.53,0.00033,South_Carolina
-82.811,34.53,0.00034,South_Carolina
-82.631,34.53,0.00035,South_Carolina
-82.451,34.53,0.00035,South_Carolina
-82.271,34.53,0.00035,South_Carolina
-82.091,34.53,0.00035,South_Carolina
-81.911,34.53,0.00034,South_Carolina
-81.731,34.53,0.00034,South_Carolina
-83.171,34.89,0.0005,South_Carolina
-82.991,34.89,0.00048,South_Carolina
-82.811,34.89,0.00045,South_Carolina
-82.631,34.89,0.00042,South_Carolina
-82.451,34.89,0.00039,South_Carolina
-82.271,34.89,0.00035,South_Carolina
-82.091,34.89,0.00032,South_Carolina
-81.911,34.89,0.00029,South_Carolina
-81.731,34.89,0.00027,South_Carolina
-81.551,34.89,0.00024,South_Carolina
-81.371,34.89,0.00022,South_Carolina
-81.191,34.89,0.00019,South_Carolina
-81.011,34.89,0.00017,South_Carolina
-80.831,34.89,0.00015,South_Carolina
-80.651,34.89,0.00013,South_Carolina
-79.667,34.801,0.00006,South_Carolina
-80.867,32.401,0.00025,South_Carolina
-80.867,33.601,0.00068,South_Carolina
-81.467,33.601,0.00042,South_Carolina
-79.067,33.601,0.0001,South_Carolina
-81.467,33.001,0.00025,South_Carolina
-82.067,34.201,0.00037,South_Carolina
-81.467,34.201,0.00041,South_Carolina
-80.867,34.201,0.00037,South_Carolina
-80.267,34.201,0.00026,South_Carolina
-79.667,34.201,0.00013,South_Carolina
-79.067,34.201,0.00005,South_Carolina
-81.167,32.401,0.00015,South_Carolina
-81.167,33.001,0.00042,South_Carolina
-81.767,33.601,0.00033,South_Carolina
-81.167,33.601,0.00055,South_Carolina
-81.767,34.201,0.00039,South_Carolina
-81.167,34.201,0.0004,South_Carolina
-80.567,34.201,0.00032,South_Carolina
-79.967,34.201,0.00019,South_Carolina
-79.367,34.201,0.00008,South_Carolina
-79.967,34.801,0.00008,South_Carolina
-81.167,32.701,0.00027,South_Carolina
-80.867,32.701,0.00047,South_Carolina
-81.767,33.301,0.00024,South_Carolina
-81.467,33.301,0.00035,South_Carolina
-81.167,33.301,0.00052,South_Carolina
-80.867,33.301,0.00076,South_Carolina
-82.067,33.901,0.00035,South_Carolina
-81.767,33.901,0.00039,South_Carolina
-81.467,33.901,0.00044,South_Carolina
-81.167,33.901,0.00049,South_Carolina
-80.867,33.901,0.00052,South_Carolina
-80.567,33.901,0.0005,South_Carolina
-79.067,33.901,0.00007,South_Carolina
-78.767,33.901,0.00004,South_Carolina
-81.467,34.501,0.00033,South_Carolina
-81.167,34.501,0.0003,South_Carolina
-80.867,34.501,0.00026,South_Carolina
-80.567,34.501,0.00021,South_Carolina
-80.267,34.501,0.00017,South_Carolina
-79.967,34.501,0.00012,South_Carolina
-79.667,34.501,0.00008,South_Carolina
-79.367,34.501,0.00006,South_Carolina
-81.017,32.401,0.0002,South_Carolina
-80.717,32.401,0.00032,South_Carolina
-81.317,32.701,0.00021,South_Carolina
-81.017,32.701,0.00036,South_Carolina
-81.317,33.001,0.00032,South_Carolina
-81.017,33.001,0.00054,South_Carolina
-81.617,33.301,0.00029,South_Carolina
-81.317,33.301,0.00043,South_Carolina
-81.017,33.301,0.00063,South_Carolina
-81.917,33.601,0.0003,South_Carolina
-81.617,33.601,0.00037,South_Carolina
-81.317,33.601,0.00048,South_Carolina
-81.017,33.601,0.00061,South_Carolina
-80.717,33.601,0.00073,South_Carolina
-81.917,33.901,0.00036,South_Carolina
-81.617,33.901,0.00041,South_Carolina
-81.317,33.901,0.00047,South_Carolina
-81.017,33.901,0.00051,South_Carolina
-80.717,33.901,0.00052,South_Carolina
-80.417,33.901,0.00047,South_Carolina
-78.917,33.901,0.00005,South_Carolina
-78.617,33.901,0.00003,South_Carolina
-81.917,34.201,0.00038,South_Carolina
-81.617,34.201,0.0004,South_Carolina
-81.317,34.201,0.00041,South_Carolina
-81.017,34.201,0.00039,South_Carolina
-80.717,34.201,0.00035,South_Carolina
-80.417,34.201,0.00029,South_Carolina
-80.117,34.201,0.00022,South_Carolina
-79.817,34.201,0.00016,South_Carolina
-79.517,34.201,0.0001,South_Carolina
-79.217,34.201,0.00006,South_Carolina
-81.617,34.501,0.00034,South_Carolina
-81.317,34.501,0.00032,South_Carolina
-81.017,34.501,0.00028,South_Carolina
-80.717,34.501,0.00023,South_Carolina
-80.417,34.501,0.00019,South_Carolina
-80.117,34.501,0.00014,South_Carolina
-79.817,34.501,0.0001,South_Carolina
-79.517,34.501,0.00007,South_Carolina
-80.117,34.801,0.00009,South_Carolina
-79.817,34.801,0.00007,South_Carolina
-81.017,32.251,0.00014,South_Carolina
-80.867,32.251,0.00017,South_Carolina
