Longitude,Latitude,D__m_,State
-111.903,40.41,0.60344,Utah
-111.857,40.41,0.73147,Utah
-111.811,40.41,0.81132,Utah
-111.994,40.445,0.46868,Utah
-111.949,40.445,0.58241,Utah
-111.903,40.445,0.76334,Utah
-111.857,40.445,1.00968,Utah
-111.811,40.445,1.10948,Utah
-111.765,40.445,0.97091,Utah
-111.994,40.48,0.51768,Utah
-111.949,40.48,0.66248,Utah
-111.903,40.48,0.95509,Utah
-111.857,40.48,1.36473,Utah
-111.811,40.48,1.7699,Utah
-111.765,40.48,1.18075,Utah
-111.994,40.516,0.55114,Utah
-111.949,40.516,0.70753,Utah
-111.903,40.516,1.02924,Utah
-111.857,40.516,1.95136,Utah
-111.811,40.516,1.85813,Utah
-111.765,40.516,1.1779,Utah
-111.719,40.516,0.79775,Utah
-111.994,40.551,0.5573,Utah
-111.949,40.551,0.69279,Utah
-111.903,40.551,0.97505,Utah
-111.857,40.551,1.31748,Utah
-111.811,40.551,2.25403,Utah
-111.765,40.551,1.35207,Utah
-111.719,40.551,0.86694,Utah
-111.994,40.586,0.56116,Utah
-111.949,40.586,0.67421,Utah
-111.903,40.586,0.834,Utah
-111.857,40.586,1.14045,Utah
-111.811,40.586,2.07095,Utah
-111.765,40.586,1.43163,Utah
-111.719,40.586,0.88924,Utah
-112.04,40.622,0.53178,Utah
-111.994,40.622,0.64451,Utah
-111.949,40.622,0.81738,Utah
-111.903,40.622,0.96251,Utah
-111.857,40.622,1.15098,Utah
-111.811,40.622,1.97551,Utah
-111.765,40.622,1.36216,Utah
-111.719,40.622,0.86008,Utah
-112.04,40.657,0.59113,Utah
-111.994,40.657,0.7673,Utah
-111.949,40.657,1.19114,Utah
-111.903,40.657,1.28903,Utah
-111.857,40.657,1.44308,Utah
-111.811,40.657,1.90293,Utah
-111.765,40.657,1.05654,Utah
-111.719,40.657,0.72126,Utah
-112.04,40.692,0.65085,Utah
-111.994,40.692,0.87325,Utah
-111.949,40.692,1.57239,Utah
-111.903,40.692,1.41484,Utah
-111.857,40.692,1.89611,Utah
-111.811,40.692,1.31772,Utah
-111.765,40.692,1.00511,Utah
-112.086,40.728,0.64284,Utah
-112.04,40.728,0.72466,Utah
-111.994,40.728,1.00129,Utah
-111.949,40.728,1.81016,Utah
-111.903,40.728,1.47733,Utah
-111.857,40.728,1.89716,Utah
-111.811,40.728,1.11015,Utah
-111.765,40.728,0.80414,Utah
-112.086,40.763,0.69904,Utah
-112.04,40.763,0.77753,Utah
-111.994,40.763,1.04218,Utah
-111.949,40.763,2.08232,Utah
-111.903,40.763,2.24193,Utah
-111.857,40.763,2.06495,Utah
-111.811,40.763,1.13781,Utah
-112.132,40.798,0.79263,Utah
-112.086,40.798,0.76344,Utah
-112.04,40.798,0.86023,Utah
-111.994,40.798,1.18844,Utah
-111.949,40.798,2.34381,Utah
-111.903,40.798,2.47978,Utah
-111.857,40.798,1.51496,Utah
-111.811,40.798,1.05157,Utah
-112.086,40.834,0.81024,Utah
-112.04,40.834,0.88017,Utah
-111.994,40.834,1.1826,Utah
-111.949,40.834,1.91403,Utah
-111.903,40.834,2.93318,Utah
-111.857,40.834,1.7388,Utah
-111.811,40.834,1.06507,Utah
-111.765,40.834,0.70979,Utah
-110.894,40.834,0.2818,Utah
-110.848,40.834,0.36048,Utah
-112.407,40.869,0.41314,Utah
-112.361,40.869,0.50119,Utah
-112.315,40.869,0.63757,Utah
-112.269,40.869,0.84667,Utah
-112.086,40.869,0.73409,Utah
-112.04,40.869,0.83263,Utah
-111.994,40.869,1.065,Utah
-111.949,40.869,1.49408,Utah
-111.903,40.869,2.27262,Utah
-111.857,40.869,2.03052,Utah
-111.811,40.869,1.10568,Utah
-111.765,40.869,0.71189,Utah
-110.94,40.869,0.25328,Utah
-110.894,40.869,0.36552,Utah
-110.848,40.869,0.54823,Utah
-110.802,40.869,0.70288,Utah
-110.757,40.869,0.50476,Utah
-112.453,40.904,0.41502,Utah
-112.407,40.904,0.47819,Utah
-112.361,40.904,0.60665,Utah
-112.315,40.904,0.76757,Utah
-112.269,40.904,0.92598,Utah
-112.224,40.904,0.80254,Utah
-112.086,40.904,0.67459,Utah
-112.04,40.904,0.74714,Utah
-111.994,40.904,0.93245,Utah
-111.949,40.904,1.19895,Utah
-111.903,40.904,1.49258,Utah
-111.857,40.904,1.48999,Utah
-111.811,40.904,0.99769,Utah
-110.94,40.904,0.29194,Utah
-110.894,40.904,0.45067,Utah
-110.848,40.904,0.78575,Utah
-110.802,40.904,1.19067,Utah
-110.757,40.904,0.62505,Utah
-112.499,40.939,0.35771,Utah
-112.453,40.939,0.47389,Utah
-112.407,40.939,0.56228,Utah
-112.361,40.939,0.78452,Utah
-112.315,40.939,1.05284,Utah
-112.269,40.939,1.21114,Utah
-112.224,40.939,0.84528,Utah
-112.04,40.939,0.66326,Utah
-111.994,40.939,0.79691,Utah
-111.949,40.939,0.99974,Utah
-111.903,40.939,1.1847,Utah
-111.857,40.939,1.14017,Utah
-111.811,40.939,0.78923,Utah
-110.986,40.939,0.21298,Utah
-110.94,40.939,0.30639,Utah
-110.894,40.939,0.47916,Utah
-110.848,40.939,0.83335,Utah
-110.802,40.939,1.63918,Utah
-110.757,40.939,0.75446,Utah
-110.711,40.939,0.36851,Utah
-112.499,40.975,0.40272,Utah
-112.453,40.975,0.51282,Utah
-112.407,40.975,0.69314,Utah
-112.361,40.975,1.01387,Utah
-112.315,40.975,1.4207,Utah
-112.269,40.975,1.5172,Utah
-112.224,40.975,0.94121,Utah
-112.178,40.975,0.66306,Utah
-111.949,40.975,0.81641,Utah
-111.903,40.975,0.95867,Utah
-111.857,40.975,0.88278,Utah
-110.986,40.975,0.2209,Utah
-110.94,40.975,0.3224,Utah
-110.894,40.975,0.51924,Utah
-110.848,40.975,0.97421,Utah
-110.802,40.975,1.89606,Utah
-110.757,40.975,0.75134,Utah
-110.711,40.975,0.36851,Utah
-112.544,41.01,0.37011,Utah
-112.499,41.01,0.45906,Utah
-112.453,41.01,0.59943,Utah
-112.407,41.01,0.85182,Utah
-112.361,41.01,1.24545,Utah
-112.315,41.01,2.48162,Utah
-112.269,41.01,1.31053,Utah
-112.224,41.01,0.86131,Utah
-112.178,41.01,0.65505,Utah
-110.986,41.01,0.21844,Utah
-110.94,41.01,0.31682,Utah
-110.894,41.01,0.50236,Utah
-110.848,41.01,0.88616,Utah
-110.802,41.01,2.02663,Utah
-110.757,41.01,0.85554,Utah
-110.711,41.01,0.40167,Utah
-112.499,41.045,0.50364,Utah
-112.453,41.045,0.68483,Utah
-112.407,41.045,0.99354,Utah
-112.361,41.045,1.75872,Utah
-112.315,41.045,1.6863,Utah
-112.269,41.045,0.95358,Utah
-112.224,41.045,0.68403,Utah
-112.636,41.081,0.31011,Utah
-112.59,41.081,0.3885,Utah
-112.544,41.081,0.47946,Utah
-112.499,41.081,0.57741,Utah
-112.453,41.081,0.77819,Utah
