Longitude,Latitude,D__m_,State
-73.54,41.323,0.00131,Connecticut
-72.74,41.323,0.00063,Connecticut
-71.939,41.323,0.0004,Connecticut
-73.139,41.323,0.00091,Connecticut
-72.34,41.323,0.00047,Connecticut
-73.939,41.723,0.00073,Connecticut
-73.54,41.723,0.00074,Connecticut
-73.139,41.723,0.00067,Connecticut
-72.74,41.723,0.00061,Connecticut
-72.34,41.723,0.00054,Connecticut
-71.939,41.723,0.00051,Connecticut
-73.74,41.323,0.00145,Connecticut
-73.34,41.323,0.00111,Connecticut
-72.939,41.323,0.00075,Connecticut
-72.54,41.323,0.00054,Connecticut
-72.139,41.323,0.00043,Connecticut
-71.74,41.323,0.00038,Connecticut
-73.74,41.723,0.00075,Connecticut
-73.34,41.723,0.0007,Connecticut
-72.939,41.723,0.00064,Connecticut
-72.54,41.723,0.00057,Connecticut
-72.139,41.723,0.00052,Connecticut
-71.74,41.723,0.00051,Connecticut
-73.74,41.123,0.0018,Connecticut
-73.54,41.123,0.00156,Connecticut
-73.34,41.123,0.00126,Connecticut
-73.139,41.123,0.00097,Connecticut
-72.939,41.123,0.00073,Connecticut
-73.939,41.523,0.00107,Connecticut
-73.74,41.523,0.00107,Connecticut
-73.54,41.523,0.001,Connecticut
-73.34,41.523,0.0009,Connecticut
-73.139,41.523,0.0008,Connecticut
-72.939,41.523,0.00071,Connecticut
-72.74,41.523,0.00064,Connecticut
-72.54,41.523,0.00058,Connecticut
-72.34,41.523,0.00053,Connecticut
-72.139,41.523,0.00049,Connecticut
-71.939,41.523,0.00047,Connecticut
-71.74,41.523,0.00046,Connecticut
-73.939,41.923,0.00054,Connecticut
-73.74,41.923,0.00056,Connecticut
-73.54,41.923,0.00056,Connecticut
-73.34,41.923,0.00056,Connecticut
-73.139,41.923,0.00055,Connecticut
-72.939,41.923,0.00055,Connecticut
-72.74,41.923,0.00054,Connecticut
-72.54,41.923,0.00053,Connecticut
-72.34,41.923,0.00052,Connecticut
-72.139,41.923,0.00052,Connecticut
-71.939,41.923,0.00052,Connecticut
-71.74,41.923,0.00055,Connecticut
-73.639,40.923,0.00181,Connecticut
-73.84,41.123,0.00187,Connecticut
-73.639,41.123,0.0017,Connecticut
-73.439,41.123,0.00141,Connecticut
-73.24,41.123,0.00111,Connecticut
-73.04,41.123,0.00084,Connecticut
-72.84,41.123,0.00065,Connecticut
-73.639,41.323,0.00139,Connecticut
-73.439,41.323,0.00121,Connecticut
-73.24,41.323,0.00101,Connecticut
-73.04,41.323,0.00083,Connecticut
-72.84,41.323,0.00069,Connecticut
-72.639,41.323,0.00058,Connecticut
-72.439,41.323,0.0005,Connecticut
-72.24,41.323,0.00045,Connecticut
-72.04,41.323,0.00041,Connecticut
-71.84,41.323,0.00039,Connecticut
-74.04,41.523,0.00104,Connecticut
-73.84,41.523,0.00107,Connecticut
-73.639,41.523,0.00104,Connecticut
-73.439,41.523,0.00096,Connecticut
-73.24,41.523,0.00085,Connecticut
-73.04,41.523,0.00075,Connecticut
-72.84,41.523,0.00068,Connecticut
-72.639,41.523,0.00061,Connecticut
-72.439,41.523,0.00055,Connecticut
-72.24,41.523,0.00051,Connecticut
-72.04,41.523,0.00048,Connecticut
-71.84,41.523,0.00047,Connecticut
-74.04,41.723,0.00071,Connecticut
-73.84,41.723,0.00075,Connecticut
-73.639,41.723,0.00075,Connecticut
-73.439,41.723,0.00072,Connecticut
-73.24,41.723,0.00069,Connecticut
-73.04,41.723,0.00065,Connecticut
-72.84,41.723,0.00062,Connecticut
-72.639,41.723,0.00059,Connecticut
-72.439,41.723,0.00056,Connecticut
-72.24,41.723,0.00053,Connecticut
-72.04,41.723,0.00051,Connecticut
-71.84,41.723,0.00051,Connecticut
-74.04,41.923,0.00052,Connecticut
-73.84,41.923,0.00055,Connecticut
-73.639,41.923,0.00056,Connecticut
-73.439,41.923,0.00056,Connecticut
-73.24,41.923,0.00056,Connecticut
-73.04,41.923,0.00055,Connecticut
-72.84,41.923,0.00055,Connecticut
-72.639,41.923,0.00054,Connecticut
-72.439,41.923,0.00053,Connecticut
-72.24,41.923,0.00052,Connecticut
-72.04,41.923,0.00052,Connecticut
-71.84,41.923,0.00053,Connecticut
-73.74,41.023,0.00191,Connecticut
-73.639,41.023,0.00178,Connecticut
-73.54,41.023,0.00163,Connecticut
-73.439,41.023,0.00145,Connecticut
-73.34,41.023,0.00128,Connecticut
-73.24,41.023,0.00111,Connecticut
-73.639,41.223,0.00156,Connecticut
-73.54,41.223,0.00145,Connecticut
-73.439,41.223,0.00133,Connecticut
-73.34,41.223,0.0012,Connecticut
-73.24,41.223,0.00107,Connecticut
-73.139,41.223,0.00095,Connecticut
-73.04,41.223,0.00084,Connecticut
-72.939,41.223,0.00075,Connecticut
-72.84,41.223,0.00067,Connecticut
-72.74,41.223,0.00061,Connecticut
-72.639,41.223,0.00055,Connecticut
-72.54,41.223,0.00051,Connecticut
-72.439,41.223,0.00047,Connecticut
-72.34,41.223,0.00043,Connecticut
-72.24,41.223,0.00041,Connecticut
-72.139,41.223,0.00038,Connecticut
-72.04,41.223,0.00036,Connecticut
-71.939,41.223,0.00035,Connecticut
-73.939,41.423,0.00127,Connecticut
-73.84,41.423,0.00127,Connecticut
-73.74,41.423,0.00125,Connecticut
-73.639,41.423,0.00121,Connecticut
-73.54,41.423,0.00115,Connecticut
-73.439,41.423,0.00109,Connecticut
-73.34,41.423,0.00101,Connecticut
-73.24,41.423,0.00094,Connecticut
-73.139,41.423,0.00086,Connecticut
-73.04,41.423,0.0008,Connecticut
-72.939,41.423,0.00074,Connecticut
-72.84,41.423,0.00069,Connecticut
-72.74,41.423,0.00064,Connecticut
-72.639,41.423,0.0006,Connecticut
-72.54,41.423,0.00057,Connecticut
-72.439,41.423,0.00054,Connecticut
-72.34,41.423,0.00051,Connecticut
-72.24,41.423,0.00048,Connecticut
-72.139,41.423,0.00046,Connecticut
-72.04,41.423,0.00045,Connecticut
-71.939,41.423,0.00044,Connecticut
-71.84,41.423,0.00043,Connecticut
-71.74,41.423,0.00042,Connecticut
-74.04,41.623,0.00086,Connecticut
-73.939,41.623,0.00088,Connecticut
-73.84,41.623,0.0009,Connecticut
-73.74,41.623,0.00089,Connecticut
-73.639,41.623,0.00088,Connecticut
-73.54,41.623,0.00086,Connecticut
-73.439,41.623,0.00083,Connecticut
-73.34,41.623,0.0008,Connecticut
-73.24,41.623,0.00077,Connecticut
-73.139,41.623,0.00073,Connecticut
-73.04,41.623,0.0007,Connecticut
-72.939,41.623,0.00068,Connecticut
-72.84,41.623,0.00065,Connecticut
-72.74,41.623,0.00063,Connecticut
-72.639,41.623,0.00061,Connecticut
-72.54,41.623,0.00058,Connecticut
-72.439,41.623,0.00056,Connecticut
-72.34,41.623,0.00054,Connecticut
-72.24,41.623,0.00052,Connecticut
-72.139,41.623,0.00051,Connecticut
-72.04,41.623,0.0005,Connecticut
-71.939,41.623,0.00049,Connecticut
-71.84,41.623,0.00049,Connecticut
-71.74,41.623,0.00049,Connecticut
-74.04,41.823,0.0006,Connecticut
-73.939,41.823,0.00062,Connecticut
-73.84,41.823,0.00063,Connecticut
-73.74,41.823,0.00064,Connecticut
-73.639,41.823,0.00064,Connecticut
-73.54,41.823,0.00064,Connecticut
-73.439,41.823,0.00063,Connecticut
-73.34,41.823,0.00062,Connecticut
-73.24,41.823,0.00062,Connecticut
-73.139,41.823,0.00061,Connecticut
-73.04,41.823,0.0006,Connecticut
-72.939,41.823,0.00059,Connecticut
-72.84,41.823,0.00058,Connecticut
-72.74,41.823,0.00058,Connecticut
-72.639,41.823,0.00057,Connecticut
-72.54,41.823,0.00056,Connecticut
-72.439,41.823,0.00055,Connecticut
-72.34,41.823,0.00053,Connecticut
-72.24,41.823,0.00053,Connecticut
-72.139,41.823,0.00052,Connecticut
-72.04,41.823,0.00052,Connecticut
-71.939,41.823,0.00052,Connecticut
-71.84,41.823,0.00052,Connecticut
-71.74,41.823,0.00053,Connecticut
-74.04,42.023,0.00047,Connecticut
-73.939,42.023,0.00048,Connecticut
-73.84,42.023,0.00049,Connecticut
-73.74,42.023,0.0005,Connecticut
-73.639,42.023,0.00051,Connecticut
-73.54,42.023,0.00051,Connecticut
-73.439,42.023,0.00051,Connecticut
-73.34,42.023,0.00051,Connecticut
-73.24,42.023,0.00051,Connecticut
-73.139,42.023,0.00051,Connecticut
