Longitude,Latitude,D__m_,State
-131.552,55.013,0.01685,Alaska
-131.365,55.013,0.01341,Alaska
-131.552,55.106,0.01565,Alaska
-132.863,55.2,0.18915,Alaska
-132.675,55.2,0.12268,Alaska
-131.739,55.2,0.01689,Alaska
-131.552,55.2,0.01432,Alaska
-132.863,55.294,0.15548,Alaska
-132.675,55.294,0.10474,Alaska
-131.739,55.294,0.01563,Alaska
-131.552,55.294,0.01254,Alaska
-131.365,55.294,0.00819,Alaska
-133.05,55.387,0.19336,Alaska
-132.863,55.387,0.12613,Alaska
-132.675,55.387,0.08427,Alaska
-131.926,55.387,0.01652,Alaska
-131.739,55.387,0.01424,Alaska
-131.552,55.387,0.01037,Alaska
-131.365,55.387,0.00711,Alaska
-133.237,55.481,0.23298,Alaska
-133.05,55.481,0.15641,Alaska
-132.863,55.481,0.10624,Alaska
-132.675,55.481,0.07007,Alaska
-132.488,55.481,0.05083,Alaska
-132.301,55.481,0.02489,Alaska
-132.114,55.481,0.01787,Alaska
-131.926,55.481,0.01527,Alaska
-131.739,55.481,0.01263,Alaska
-131.552,55.481,0.00841,Alaska
-133.237,55.575,0.18994,Alaska
-133.05,55.575,0.12698,Alaska
-132.863,55.575,0.08606,Alaska
-132.675,55.575,0.05902,Alaska
-132.488,55.575,0.03437,Alaska
-132.301,55.575,0.02059,Alaska
-132.114,55.575,0.01618,Alaska
-131.926,55.575,0.01401,Alaska
-131.739,55.575,0.01073,Alaska
-131.552,55.575,0.00716,Alaska
-133.05,55.668,0.10607,Alaska
-132.863,55.668,0.07097,Alaska
-132.675,55.668,0.05182,Alaska
-132.488,55.668,0.02561,Alaska
-132.301,55.668,0.01783,Alaska
-132.114,55.668,0.01496,Alaska
-131.926,55.668,0.01262,Alaska
-131.739,55.668,0.00865,Alaska
-132.863,55.762,0.05981,Alaska
-132.675,55.762,0.03602,Alaska
-132.488,55.762,0.02129,Alaska
-132.301,55.762,0.01619,Alaska
-132.114,55.762,0.01376,Alaska
-132.863,55.855,0.05197,Alaska
-132.675,55.855,0.02731,Alaska
-132.488,55.855,0.01863,Alaska
-132.301,55.855,0.01507,Alaska
-132.863,55.949,0.03821,Alaska
-132.675,55.949,0.02298,Alaska
-132.488,55.949,0.01732,Alaska
-132.863,56.043,0.02973,Alaska
-132.675,56.043,0.02059,Alaska
-132.301,56.324,0.0076,Alaska
-132.301,56.417,0.00665,Alaska
-132.675,56.511,0.01343,Alaska
-132.488,56.511,0.00807,Alaska
-132.863,56.605,0.01727,Alaska
-132.675,56.605,0.01141,Alaska
-132.863,56.698,0.0157,Alaska
-132.675,56.698,0.00934,Alaska
-133.05,56.792,0.01832,Alaska
-132.863,56.792,0.01326,Alaska
-135.297,56.979,1.3292,Alaska
-135.485,57.073,1.83286,Alaska
-135.297,57.073,1.14752,Alaska
-135.485,57.167,1.44832,Alaska
-135.297,57.167,0.93677,Alaska
-134.548,58.29,0.08736,Alaska
-134.361,58.29,0.05992,Alaska
-134.736,58.384,0.12252,Alaska
-134.548,58.384,0.08197,Alaska
-134.736,58.478,0.11675,Alaska
-134.923,58.571,0.16183,Alaska
-134.736,58.571,0.11152,Alaska
-134.923,58.665,0.14984,Alaska
-135.11,58.759,0.19029,Alaska
-134.923,58.759,0.13286,Alaska
-135.11,58.852,0.16332,Alaska
-134.923,58.852,0.11747,Alaska
-135.11,58.946,0.13682,Alaska
-134.923,58.946,0.10257,Alaska
-135.11,59.04,0.11475,Alaska
-134.923,59.04,0.08303,Alaska
-135.11,59.133,0.09256,Alaska
-134.923,59.133,0.0701,Alaska
-135.297,59.227,0.09602,Alaska
-135.11,59.227,0.07451,Alaska
-134.923,59.227,0.05903,Alaska
-135.485,59.321,0.0929,Alaska
-135.297,59.321,0.07536,Alaska
-135.11,59.321,0.06146,Alaska
-136.421,59.414,0.168,Alaska
-136.234,59.414,0.13139,Alaska
-135.672,59.414,0.08573,Alaska
-135.297,59.414,0.06098,Alaska
-135.11,59.414,0.0474,Alaska
-135.297,59.508,0.0455,Alaska
-135.11,59.508,0.03653,Alaska
-135.297,59.602,0.03607,Alaska
-135.11,59.602,0.03112,Alaska
-130.626,55.979,0.00062,Alaska
-131.382,56.352,0.00149,Alaska
-134.619,56.719,0.3687,Alaska
-134.9,57.14,0.39607,Alaska
-135.744,57.281,2.39465,Alaska
-135.744,57.421,2.03076,Alaska
-135.744,57.562,1.97937,Alaska
-134.9,57.562,0.2853,Alaska
-136.026,57.702,3.78681,Alaska
-135.744,57.702,1.78057,Alaska
-134.9,57.702,0.2714,Alaska
-136.026,57.842,3.21951,Alaska
-135.744,57.842,1.57138,Alaska
-136.026,57.983,2.76571,Alaska
-135.182,57.983,0.40984,Alaska
-136.026,58.123,2.40994,Alaska
-135.744,58.123,1.22329,Alaska
-135.182,58.264,0.33831,Alaska
-134.9,58.264,0.1867,Alaska
-136.307,58.404,3.52069,Alaska
-135.182,58.404,0.31033,Alaska
-136.307,58.544,2.66896,Alaska
-135.744,58.544,0.88781,Alaska
-135.463,58.544,0.49931,Alaska
-136.588,58.685,2.68165,Alaska
-135.744,58.685,0.70124,Alaska
-135.463,58.685,0.41338,Alaska
-136.87,58.825,1.95629,Alaska
-136.588,58.825,1.49154,Alaska
-136.307,58.825,1.02737,Alaska
-136.026,58.825,0.75843,Alaska
-135.744,58.825,0.50338,Alaska
-135.463,58.825,0.31754,Alaska
-137.151,58.966,1.88499,Alaska
-136.588,58.966,0.84428,Alaska
-136.307,58.966,0.63137,Alaska
-136.026,58.966,0.48472,Alaska
-135.744,58.966,0.34066,Alaska
-135.463,58.966,0.23107,Alaska
-136.87,59.106,0.7395,Alaska
-136.588,59.106,0.51376,Alaska
-136.307,59.106,0.38086,Alaska
-136.026,59.106,0.30472,Alaska
-135.744,59.106,0.22761,Alaska
-136.307,59.247,0.23346,Alaska
-136.026,59.247,0.19031,Alaska
-136.026,59.387,0.12432,Alaska
-135.463,59.387,0.07621,Alaska
-135.744,59.527,0.06811,Alaska
-136.026,59.668,0.05629,Alaska
-132.998,54.962,0.40442,Alaska
-134.126,56.084,0.4708,Alaska
-134.126,56.272,0.3494,Alaska
-134.877,56.459,1.16044,Alaska
-134.877,56.646,0.7442,Alaska
-134.126,56.646,0.16594,Alaska
-135.253,56.833,1.34645,Alaska
-134.877,56.833,0.52328,Alaska
-134.126,56.833,0.10982,Alaska
-134.877,57.02,0.4311,Alaska
-135.253,57.207,0.76293,Alaska
-134.501,57.207,0.14793,Alaska
-135.253,57.394,0.65138,Alaska
-134.126,57.394,0.0587,Alaska
-135.253,57.581,0.61972,Alaska
-134.501,57.581,0.11764,Alaska
-134.126,57.581,0.05364,Alaska
-134.501,57.768,0.10945,Alaska
-135.253,57.955,0.48894,Alaska
-134.501,57.955,0.09864,Alaska
-134.126,57.955,0.04231,Alaska
-134.501,58.142,0.08593,Alaska
-134.126,58.33,0.03208,Alaska
-134.501,58.517,0.06937,Alaska
-134.126,58.517,0.02862,Alaska
-134.501,58.704,0.06295,Alaska
-134.126,58.704,0.02596,Alaska
-134.501,58.891,0.05279,Alaska
-134.501,59.078,0.03591,Alaska
-134.877,59.265,0.05024,Alaska
-135.629,59.639,0.04356,Alaska
-132.004,54.817,0.0557,Alaska
-130.873,54.817,0.0071,Alaska
-130.308,55.098,0.00271,Alaska
-130.308,55.378,0.00173,Alaska
-131.439,55.658,0.00537,Alaska
-130.873,55.658,0.00211,Alaska
-130.308,55.658,0.00074,Alaska
-133.135,55.938,0.07334,Alaska
-132.004,55.938,0.00882,Alaska
-130.873,55.938,0.00141,Alaska
-133.135,56.219,0.04345,Alaska
-132.569,56.219,0.01587,Alaska
-132.004,56.219,0.00544,Alaska
-133.135,56.499,0.02562,Alaska
-132.004,56.499,0.00278,Alaska
-133.135,56.779,0.02015,Alaska
-132.569,56.779,0.00675,Alaska
-132.004,56.779,0.00214,Alaska
-132.569,57.06,0.00378,Alaska
-132.569,57.34,0.00255,Alaska
-133.135,57.62,0.00712,Alaska
-133.7,57.901,0.01909,Alaska
-133.135,57.901,0.00632,Alaska
-133.7,58.181,0.01732,Alaska
-133.7,58.461,0.01627,Alaska
-136.234,57.822,5.94276,Alaska
-136.047,57.822,3.50263,Alaska
-136.234,57.916,5.25366,Alaska
-136.234,58.009,4.70053,Alaska
-136.421,58.103,6.74811,Alaska
-136.234,58.103,4.18803,Alaska
-136.608,58.384,7.49019,Alaska
-136.608,58.478,6.21651,Alaska
-136.421,58.478,3.9947,Alaska
-136.796,58.571,5.28838,Alaska
-136.608,58.571,4.45247,Alaska
-136.983,58.665,4.56028,Alaska
-136.796,58.665,3.52049,Alaska
