Longitude,Latitude,D__m_,State
-112.301,44.341,0.03538,Montana
-112.203,44.341,0.036,Montana
-112.105,44.341,0.03762,Montana
-112.006,44.341,0.03986,Montana
-111.908,44.341,0.04254,Montana
-111.81,44.341,0.04561,Montana
-111.712,44.341,0.05058,Montana
-111.614,44.341,0.05505,Montana
-111.516,44.341,0.05889,Montana
-111.417,44.341,0.06289,Montana
-111.319,44.341,0.06712,Montana
-112.89,44.415,0.03527,Montana
-112.792,44.415,0.04034,Montana
-112.694,44.415,0.04506,Montana
-112.595,44.415,0.04797,Montana
-112.497,44.415,0.0491,Montana
-112.399,44.415,0.04874,Montana
-112.301,44.415,0.04816,Montana
-112.203,44.415,0.04861,Montana
-112.105,44.415,0.05057,Montana
-112.006,44.415,0.05413,Montana
-111.908,44.415,0.0589,Montana
-111.81,44.415,0.06378,Montana
-111.712,44.415,0.07056,Montana
-111.614,44.415,0.07595,Montana
-111.516,44.415,0.07892,Montana
-111.417,44.415,0.08072,Montana
-111.319,44.415,0.08153,Montana
-111.221,44.415,0.08271,Montana
-112.988,44.488,0.03607,Montana
-112.89,44.488,0.04241,Montana
-112.792,44.488,0.0499,Montana
-112.694,44.488,0.05456,Montana
-112.595,44.488,0.05916,Montana
-112.497,44.488,0.0623,Montana
-112.399,44.488,0.06218,Montana
-112.301,44.488,0.06079,Montana
-112.203,44.488,0.06084,Montana
-112.105,44.488,0.06389,Montana
-112.006,44.488,0.07032,Montana
-111.908,44.488,0.0791,Montana
-111.81,44.488,0.08822,Montana
-111.712,44.488,0.09697,Montana
-111.614,44.488,0.10291,Montana
-111.516,44.488,0.10503,Montana
-111.417,44.488,0.10384,Montana
-111.319,44.488,0.10026,Montana
-111.221,44.488,0.09605,Montana
-111.123,44.488,0.09334,Montana
-113.086,44.562,0.03454,Montana
-112.988,44.562,0.04074,Montana
-112.89,44.562,0.04892,Montana
-112.792,44.562,0.05469,Montana
-112.694,44.562,0.05994,Montana
-112.595,44.562,0.06685,Montana
-112.497,44.562,0.07476,Montana
-112.399,44.562,0.07583,Montana
-112.301,44.562,0.07221,Montana
-112.203,44.562,0.0709,Montana
-112.105,44.562,0.07449,Montana
-112.006,44.562,0.08362,Montana
-111.908,44.562,0.09575,Montana
-111.81,44.562,0.11081,Montana
-111.712,44.562,0.12128,Montana
-111.614,44.562,0.12833,Montana
-111.516,44.562,0.13068,Montana
-111.417,44.562,0.12734,Montana
-111.319,44.562,0.11962,Montana
-111.221,44.562,0.1107,Montana
-111.123,44.562,0.10323,Montana
-111.025,44.562,0.09738,Montana
-113.086,44.636,0.03776,Montana
-112.988,44.636,0.04585,Montana
-112.89,44.636,0.0527,Montana
-112.792,44.636,0.05925,Montana
-112.694,44.636,0.06389,Montana
-112.595,44.636,0.07126,Montana
-112.497,44.636,0.08176,Montana
-112.399,44.636,0.0834,Montana
-112.301,44.636,0.07893,Montana
-112.203,44.636,0.07719,Montana
-112.105,44.636,0.08192,Montana
-112.006,44.636,0.09319,Montana
-111.908,44.636,0.11072,Montana
-111.81,44.636,0.12639,Montana
-111.712,44.636,0.14362,Montana
-111.614,44.636,0.14967,Montana
-111.516,44.636,0.15053,Montana
-111.417,44.636,0.14427,Montana
-111.319,44.636,0.13461,Montana
-111.221,44.636,0.12502,Montana
-111.123,44.636,0.11332,Montana
-111.025,44.636,0.10345,Montana
-113.185,44.709,0.03321,Montana
-113.086,44.709,0.04054,Montana
-112.988,44.709,0.05378,Montana
-112.89,44.709,0.05629,Montana
-112.792,44.709,0.06281,Montana
-112.694,44.709,0.06855,Montana
