Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-109.64238,36.85858,1.00000,7.43400
-109.08184,36.85858,1.00000,7.43400
-109.64238,37.31172,1.00000,7.43400
-109.08184,37.31172,1.00000,7.43400
-109.64238,37.76485,1.00000,7.43400
-109.08184,37.76485,1.00000,7.43400
-109.64238,38.21799,1.86200,7.43400
-112.22612,36.76812,11.05800,11.62800
-111.89060,36.76812,9.87300,10.72100
-111.55508,36.76812,8.93400,10.08900
-111.21956,36.76812,7.98600,9.53100
-110.88404,36.76812,5.64100,8.14700
-110.54852,36.76812,3.17500,7.43400
-110.21300,36.76812,1.82100,7.43400
-112.22612,37.04031,11.73800,12.16600
-111.89060,37.04031,9.81500,10.66000
-111.55508,37.04031,8.83500,10.02700
-111.21956,37.04031,8.31300,9.78600
-110.88404,37.04031,6.84400,8.98000
-110.54852,37.04031,5.38200,8.21600
-110.21300,37.04031,3.74400,7.43400
-112.22612,37.31251,13.63700,13.88100
-111.89060,37.31251,11.07900,11.66500
-111.55508,37.31251,9.61700,10.61500
-111.21956,37.31251,7.89300,9.52100
-110.88404,37.31251,6.88500,9.07600
-110.54852,37.31251,6.94900,9.31000
-110.21300,37.31251,5.09100,8.14700
-111.89060,37.58471,13.17500,13.53400
-111.55508,37.58471,11.08900,11.83600
-111.21956,37.58471,8.81600,10.22800
-110.88404,37.58471,8.36100,10.16400
-110.54852,37.58471,7.83700,9.93300
-110.21300,37.58471,5.34900,8.24200
-113.90372,37.85691,12.11700,12.54000
-111.21956,37.85691,10.63100,11.63800
-110.88404,37.85691,9.30200,10.83500
-110.54852,37.85691,7.63900,9.67100
-110.21300,37.85691,4.81600,7.83200
-114.23924,38.12911,10.53200,11.17500
-113.90372,38.12911,10.58300,11.20400
-113.56820,38.12911,12.70300,13.06300
-110.88404,38.12911,10.19600,11.37600
-110.54852,38.12911,7.65300,9.52400
-110.21300,38.12911,4.68300,7.65100
-109.20644,38.12911,1.91500,7.43400
-108.87091,38.12911,3.68100,7.43400
-114.23924,38.40130,9.56500,10.45000
-113.90372,38.40130,9.58300,10.46600
-113.56820,38.40130,11.17000,11.73700
-110.88404,38.40130,11.88800,12.74800
-110.54852,38.40130,8.67700,10.17600
-110.21300,38.40130,5.67900,8.19100
-109.87700,38.40100,3.53900,7.43400
-109.54200,38.40100,2.43900,7.43400
-109.20600,38.40100,2.78900,7.43400
-108.87100,38.40100,4.54200,7.61000
-114.23900,38.67400,9.83000,10.72100
-113.90400,38.67400,9.00700,10.09400
-113.56800,38.67400,9.87900,10.71200
-113.23300,38.67400,11.97300,12.42700
-110.54900,38.67400,10.88200,11.96300
-110.21300,38.67400,7.55100,9.40000
-109.87700,38.67400,5.00400,7.81200
-109.54200,38.67400,3.70600,7.43400
-109.20600,38.67400,3.63500,7.43400
-108.87100,38.67400,5.09300,7.91400
-114.23900,38.94600,9.88100,10.80500
-113.90400,38.94600,8.72600,9.89700
-113.56800,38.94600,8.77500,9.89500
-113.23300,38.94600,10.33500,11.04000
-110.21300,38.94600,9.62800,11.02100
-109.87700,38.94600,7.01000,9.06300
-109.54200,38.94600,5.29700,8.01700
-109.20600,38.94600,4.71900,7.66400
-108.87100,38.94600,5.56200,8.17100
-114.23900,39.21800,9.32200,10.35900
-113.90400,39.21800,8.29800,9.62600
-113.56800,39.21800,8.06300,9.41300
-113.23300,39.21800,9.08300,10.08700
-112.89700,39.21800,11.33800,11.81500
-110.21300,39.21800,10.74700,11.97400
-109.87700,39.21800,8.33300,10.02300
-109.54200,39.21800,6.69000,8.87200
-109.20600,39.21800,5.93300,8.39500
-108.87100,39.21800,6.25900,8.62800
-114.23900,39.49000,8.35400,9.65200
-113.90400,39.49000,7.97300,9.37800
-113.56800,39.49000,7.70900,9.14900
-113.23300,39.49000,8.71900,9.78400
-112.89700,39.49000,10.64500,11.18400
-112.56200,39.49000,13.71600,13.92400
-110.21300,39.49000,10.94200,12.10600
-109.87700,39.49000,8.96100,10.48600
-109.54200,39.49000,7.64800,9.51700
-109.20600,39.49000,7.15100,9.23200
-108.87100,39.49000,7.09300,9.21200
-114.23900,39.76200,7.79500,9.24600
-113.90400,39.76200,7.38500,8.96900
-113.56800,39.76200,7.67800,9.11300
-113.23300,39.76200,8.90800,9.89000
-112.89700,39.76200,11.04200,11.47700
-112.56200,39.76200,13.92900,14.05900
-109.87700,39.76200,9.50800,10.89800
-109.54200,39.76200,8.34700,10.01300
-109.20600,39.76200,7.64200,9.54600
-108.87100,39.76200,7.53600,9.46400
-114.23900,40.03400,8.01200,9.37800
-113.90400,40.03400,7.63100,9.09100
-113.56800,40.03400,8.20600,9.44600
-113.23300,40.03400,9.89900,10.57900
-112.89700,40.03400,12.72500,12.88400
-109.54200,40.03400,9.66400,11.06800
-109.20600,40.03400,8.93100,10.52600
-108.87100,40.03400,8.47300,10.20100
-114.23900,40.30700,9.04500,10.07800
-113.90400,40.30700,8.42000,9.60300
-113.56800,40.30700,8.85400,9.84200
-113.23300,40.30700,11.40400,11.74200
-109.20600,40.30700,9.81900,11.27900
-108.87100,40.30700,8.92000,10.53500
-114.23900,40.57900,10.42500,11.10200
-113.90400,40.57900,9.06300,10.05100
-113.56800,40.57900,9.76700,10.49000
-113.23300,40.57900,12.32100,12.50900
-109.20600,40.57900,9.77000,11.19500
-108.87100,40.57900,9.08400,10.66100
-114.23900,40.85100,11.39600,11.89900
-113.90400,40.85100,10.23500,10.94600
-113.56800,40.85100,10.97600,11.48300
-113.23300,40.85100,13.23500,13.35900
-109.54200,40.85100,10.43100,11.73600
-109.20600,40.85100,9.48300,10.94900
-108.87100,40.85100,8.64100,10.27000
-114.23900,41.12300,11.95000,12.42400
-113.90400,41.12300,11.63200,12.13200
-113.56800,41.12300,12.78700,13.10800
-109.54200,41.12300,10.66000,11.84800
-109.20600,41.12300,9.72700,11.11400
-108.87100,41.12300,8.98300,10.53100
-114.23900,41.39500,11.88000,12.38800
-113.90400,41.39500,12.75500,13.16900
-114.23900,41.66800,11.42400,12.00800
-113.90400,41.66800,12.65900,13.12600
-114.23900,41.94000,10.45900,11.23200
-113.90400,41.94000,11.74100,12.31400
-113.90400,42.21200,10.08400,10.95300
-113.56800,42.21200,11.04400,11.66000
-113.23300,42.21200,13.14000,13.45600
-114.07200,36.90400,13.25900,13.56800
-113.84800,36.90400,13.12800,13.42200
-113.62500,36.90400,15.59900,15.98800
