Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_,State
-145.3,62.903,17.125,17.618,Alaska
-141.932,62.903,14.131,14.128,Alaska
-141.764,62.903,13.214,13.251,Alaska
-141.595,62.903,12.408,12.522,Alaska
-141.427,62.903,11.739,11.945,Alaska
-141.258,62.903,11.155,11.48,Alaska
-145.973,62.972,17.462,18.154,Alaska
-145.805,62.972,17.542,18.219,Alaska
-145.636,62.972,17.667,18.346,Alaska
-145.468,62.972,17.821,18.523,Alaska
-145.3,62.972,18.134,18.915,Alaska
-143.111,62.972,23.041,26.514,Alaska
-142.942,62.972,21.052,23.037,Alaska
-142.1,62.972,14.185,14.176,Alaska
-141.932,62.972,13.229,13.255,Alaska
-141.764,62.972,12.388,12.494,Alaska
-141.595,62.972,11.725,11.922,Alaska
-141.427,62.972,11.042,11.379,Alaska
-145.973,63.041,18.202,19.098,Alaska
-145.805,63.041,18.539,19.509,Alaska
-145.636,63.041,18.801,19.847,Alaska
-145.468,63.041,19.199,20.399,Alaska
-145.3,63.041,19.493,20.788,Alaska
-143.279,63.041,22.02,24.68,Alaska
-143.111,63.041,20.689,22.458,Alaska
-142.942,63.041,19.306,20.376,Alaska
-142.774,63.041,17.895,18.446,Alaska
-142.269,63.041,14.246,14.23,Alaska
-142.1,63.041,13.299,13.314,Alaska
-141.932,63.041,12.445,12.537,Alaska
-141.764,63.041,11.66,11.861,Alaska
-141.595,63.041,11.023,11.356,Alaska
-143.447,63.109,20.584,22.299,Alaska
-143.279,63.109,19.745,21.021,Alaska
-143.111,63.109,18.766,19.622,Alaska
-142.942,63.109,17.729,18.236,Alaska
-142.774,63.109,16.663,16.905,Alaska
-142.606,63.109,15.54,15.614,Alaska
-142.437,63.109,14.417,14.412,Alaska
-142.269,63.109,13.339,13.35,Alaska
-142.1,63.109,12.451,12.538,Alaska
-141.932,63.109,11.677,11.873,Alaska
-141.764,63.109,10.942,11.281,Alaska
-143.279,63.178,17.89,18.457,Alaska
-143.111,63.178,17.142,17.507,Alaska
-142.942,63.178,16.339,16.536,Alaska
-142.774,63.178,15.415,15.487,Alaska
-142.606,63.178,14.455,14.46,Alaska
-142.437,63.178,13.444,13.449,Alaska
-142.269,63.178,12.508,12.587,Alaska
-142.1,63.178,11.656,11.852,Alaska
-143.447,63.247,16.968,17.306,Alaska
-143.279,63.247,16.373,16.581,Alaska
-143.111,63.247,15.763,15.878,Alaska
-142.942,63.247,15.055,15.102,Alaska
-142.774,63.247,14.246,14.25,Alaska
-142.606,63.247,13.4,13.415,Alaska
-142.437,63.247,12.532,12.612,Alaska
-142.269,63.247,11.732,11.915,Alaska
