Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_,State
-73.759,41.023,1,7.434,Connecticut
-73.641,41.022,1,7.434,Connecticut
-73.522,41.02,1,7.434,Connecticut
-73.403,41.019,1,7.434,Connecticut
-73.758,41.113,1,7.434,Connecticut
-73.639,41.112,1,7.434,Connecticut
-73.52,41.11,1,7.434,Connecticut
-73.401,41.109,1,7.434,Connecticut
-73.282,41.107,1,7.434,Connecticut
-73.162,41.105,1,7.434,Connecticut
-73.043,41.103,1,7.434,Connecticut
-73.637,41.202,1,7.434,Connecticut
-73.518,41.2,1,7.434,Connecticut
-73.398,41.199,1,7.434,Connecticut
-73.279,41.197,1,7.434,Connecticut
-73.16,41.195,1,7.434,Connecticut
-73.041,41.193,1,7.434,Connecticut
-72.922,41.191,1,7.434,Connecticut
-72.802,41.189,1,7.434,Connecticut
-72.683,41.187,1,7.434,Connecticut
-72.564,41.184,1,7.434,Connecticut
-72.445,41.182,1,7.434,Connecticut
-73.635,41.292,1,7.434,Connecticut
-73.516,41.29,1,7.434,Connecticut
-73.396,41.289,1,7.434,Connecticut
-73.277,41.287,1,7.434,Connecticut
-73.157,41.285,1,7.434,Connecticut
-73.038,41.283,1,7.434,Connecticut
-72.919,41.281,1,7.434,Connecticut
-72.799,41.279,1,7.434,Connecticut
-72.68,41.277,1,7.434,Connecticut
-72.561,41.274,1,7.434,Connecticut
-72.442,41.272,1,7.434,Connecticut
-72.322,41.269,1,7.434,Connecticut
-72.203,41.266,1,7.434,Connecticut
-72.084,41.263,1,7.434,Connecticut
-71.965,41.26,1,7.434,Connecticut
-71.845,41.257,1,7.434,Connecticut
-73.633,41.382,1,7.434,Connecticut
-73.514,41.381,1,7.434,Connecticut
-73.394,41.379,1,7.434,Connecticut
-73.274,41.377,1,7.434,Connecticut
-73.155,41.375,1,7.434,Connecticut
-73.035,41.373,1,7.434,Connecticut
-72.916,41.371,1,7.434,Connecticut
-72.796,41.369,1,7.434,Connecticut
-72.677,41.367,1,7.434,Connecticut
-72.557,41.364,1,7.434,Connecticut
-72.438,41.362,1,7.434,Connecticut
-72.319,41.359,1,7.434,Connecticut
-72.199,41.356,1,7.434,Connecticut
-72.08,41.353,1,7.434,Connecticut
-71.96,41.35,1,7.434,Connecticut
-71.841,41.347,1,7.434,Connecticut
-73.631,41.472,1,7.434,Connecticut
-73.511,41.471,1,7.434,Connecticut
-73.392,41.469,1,7.434,Connecticut
-73.272,41.467,1,7.434,Connecticut
-73.152,41.465,1,7.434,Connecticut
-73.033,41.463,1,7.434,Connecticut
-72.913,41.461,1,7.434,Connecticut
-72.793,41.459,1,7.434,Connecticut
-72.674,41.457,1,7.434,Connecticut
-72.554,41.454,1,7.434,Connecticut
-72.434,41.452,1,7.434,Connecticut
-72.315,41.449,1,7.434,Connecticut
-72.195,41.446,1,7.434,Connecticut
-72.076,41.443,1,7.434,Connecticut
-71.956,41.44,1,7.434,Connecticut
-71.837,41.437,1,7.434,Connecticut
-71.717,41.433,1,7.434,Connecticut
-73.629,41.562,1,7.434,Connecticut
-73.509,41.561,1,7.434,Connecticut
-73.39,41.559,1,7.434,Connecticut
-73.27,41.557,1,7.434,Connecticut
-73.15,41.555,1,7.434,Connecticut
-73.03,41.553,1,7.434,Connecticut
-72.91,41.551,1,7.434,Connecticut
-72.79,41.549,1,7.434,Connecticut
-72.67,41.547,1,7.434,Connecticut
-72.551,41.544,1,7.434,Connecticut
-72.431,41.542,1,7.434,Connecticut
-72.311,41.539,1,7.434,Connecticut
-72.191,41.536,1,7.434,Connecticut
-72.072,41.533,1,7.434,Connecticut
-71.952,41.53,1,7.434,Connecticut
-71.832,41.527,1,7.434,Connecticut
-71.713,41.523,1,7.434,Connecticut
-73.627,41.652,1,7.434,Connecticut
-73.507,41.651,1,7.434,Connecticut
-73.387,41.649,1,7.434,Connecticut
-73.267,41.647,1,7.434,Connecticut
-73.147,41.645,1,7.434,Connecticut
-73.027,41.643,1,7.434,Connecticut
-72.907,41.641,1,7.434,Connecticut
-72.787,41.639,1,7.434,Connecticut
-72.667,41.637,1,7.434,Connecticut
-72.547,41.634,1,7.434,Connecticut
-72.427,41.631,1,7.434,Connecticut
-72.307,41.629,1,7.434,Connecticut
-72.188,41.626,1,7.434,Connecticut
-72.068,41.623,1,7.434,Connecticut
-71.948,41.62,1,7.434,Connecticut
-71.828,41.616,1,7.434,Connecticut
-71.708,41.613,1,7.434,Connecticut
-73.625,41.742,1,7.434,Connecticut
-73.505,41.741,1,7.434,Connecticut
-73.385,41.739,1,7.434,Connecticut
-73.265,41.737,1,7.434,Connecticut
-73.145,41.735,1,7.434,Connecticut
-73.024,41.733,1,7.434,Connecticut
-72.904,41.731,1,7.434,Connecticut
-72.784,41.729,1,7.434,Connecticut
-72.664,41.727,1,7.434,Connecticut
-72.544,41.724,1,7.434,Connecticut
-72.424,41.721,1,7.434,Connecticut
-72.304,41.719,1,7.434,Connecticut
-72.184,41.716,1,7.434,Connecticut
-72.064,41.713,1,7.434,Connecticut
-71.943,41.71,1,7.434,Connecticut
-71.823,41.706,1,7.434,Connecticut
-71.703,41.703,1,7.434,Connecticut
-73.624,41.832,1,7.434,Connecticut
-73.503,41.831,1,7.434,Connecticut
-73.383,41.829,1,7.434,Connecticut
-73.262,41.827,1,7.434,Connecticut
-73.142,41.825,1,7.434,Connecticut
-73.022,41.823,1,7.434,Connecticut
-72.901,41.821,1,7.434,Connecticut
-72.781,41.819,1,7.434,Connecticut
-72.661,41.817,1,7.434,Connecticut
-72.54,41.814,1,7.434,Connecticut
-72.42,41.811,1,7.434,Connecticut
-72.3,41.809,1,7.434,Connecticut
-72.18,41.806,1,7.434,Connecticut
-72.059,41.803,1,7.434,Connecticut
-71.939,41.8,1,7.434,Connecticut
