Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_,State
-114.239,41.668,1,7.434,Idaho
-113.904,41.668,1.748,7.434,Idaho
-114.239,41.94,1,7.434,Idaho
-113.904,41.94,1,7.434,Idaho
-113.904,42.212,1,7.434,Idaho
-113.568,42.212,1,7.434,Idaho
-113.233,42.212,3.247,7.434,Idaho
-113.848,41.625,2.186,7.434,Idaho
-113.625,41.625,3.326,7.434,Idaho
-113.402,41.625,4.828,7.497,Idaho
-113.178,41.625,6.7,8.522,Idaho
-112.955,41.625,9.14,10.135,Idaho
-112.731,41.625,11.388,11.845,Idaho
-112.508,41.625,12.519,12.809,Idaho
-111.614,41.625,13.162,13.423,Idaho
-111.391,41.625,12.663,12.963,Idaho
-111.168,41.625,12.876,13.149,Idaho
-110.944,41.625,12.663,12.921,Idaho
-113.848,41.807,1.653,7.434,Idaho
-113.625,41.807,2.918,7.434,Idaho
-113.402,41.807,4.068,7.434,Idaho
-113.178,41.807,5.973,8.127,Idaho
-112.955,41.807,8.429,9.647,Idaho
-112.285,41.807,13.189,13.481,Idaho
-111.391,41.807,14.198,14.462,Idaho
-113.625,41.988,1.853,7.434,Idaho
-113.402,41.988,3.299,7.434,Idaho
-113.178,41.988,5.255,7.723,Idaho
-112.955,41.988,7.774,9.254,Idaho
-112.731,41.988,10.257,11.05,Idaho
-112.508,41.988,11.334,11.897,Idaho
-112.285,41.988,12.376,12.783,Idaho
-111.614,41.988,13.909,14.206,Idaho
-112.955,42.17,6.994,8.8,Idaho
-112.731,42.17,8.645,9.869,Idaho
-112.508,42.17,10.006,10.859,Idaho
-112.285,42.17,11.115,11.711,Idaho
-112.867,41.591,10.45,11.102,Idaho
-112.331,41.591,14.066,14.299,Idaho
-111.929,41.591,16.378,16.853,Idaho
-111.796,41.591,14.548,14.798,Idaho
-112.733,41.7,11.33,11.819,Idaho
-112.599,41.7,12.251,12.61,Idaho
-112.331,41.7,13.466,13.747,Idaho
-112.197,41.7,14.722,15.008,Idaho
-112.063,41.7,15.791,16.198,Idaho
-111.929,41.7,15.638,15.997,Idaho
-111.796,41.7,14.535,14.791,Idaho
-111.662,41.7,13.626,13.879,Idaho
-111.394,41.7,13.209,13.465,Idaho
-111.26,41.7,13.649,13.887,Idaho
-111.126,41.7,14.516,14.756,Idaho
-110.992,41.7,15.491,15.813,Idaho
-112.733,41.809,11.016,11.634,Idaho
-112.599,41.809,12.194,12.606,Idaho
-112.465,41.809,12.53,12.886,Idaho
-112.197,41.809,13.753,14.04,Idaho
-112.063,41.809,14.775,15.076,Idaho
-111.929,41.809,15.15,15.486,Idaho
-111.796,41.809,14.503,14.773,Idaho
-111.662,41.809,13.744,14.014,Idaho
-111.528,41.809,13.752,14.027,Idaho
-111.394,41.809,14.174,14.44,Idaho
-111.26,41.809,14.791,15.047,Idaho
-111.126,41.809,16.232,16.66,Idaho
-110.992,41.809,20.063,21.853,Idaho
-112.733,41.918,10.638,11.354,Idaho
-112.599,41.918,11.675,12.191,Idaho
-112.465,41.918,11.971,12.437,Idaho
-112.197,41.918,13.464,13.773,Idaho
-112.063,41.918,15.442,15.844,Idaho
-111.929,41.918,15.563,15.974,Idaho
-111.796,41.918,14.463,14.765,Idaho
-111.662,41.918,13.839,14.127,Idaho
-111.528,41.918,14.073,14.36,Idaho
-111.394,41.918,14.849,15.147,Idaho
-111.26,41.918,15.692,16.046,Idaho
-111.126,41.918,17.089,17.691,Idaho
-112.197,42.027,12.847,13.221,Idaho
-112.063,42.027,14.94,15.301,Idaho
-111.929,42.027,14.638,14.996,Idaho
-111.796,42.027,13.864,14.17,Idaho
-111.662,42.027,13.791,14.093,Idaho
-111.528,42.027,14.206,14.507,Idaho
-111.394,42.027,15.314,15.675,Idaho
-111.126,42.027,17.196,17.801,Idaho
-112.221,41.61,15.728,16.108,Idaho
-112.131,41.61,16.918,17.517,Idaho
-112.042,41.61,17.344,18.06,Idaho
-112.131,41.683,15.484,15.835,Idaho
-112.042,41.683,16.243,16.72,Idaho
-111.061,41.829,18.12,19.019,Idaho
-110.971,41.901,22.79,26.497,Idaho
-111.061,41.974,18.917,20.13,Idaho
-110.971,41.974,23.077,27.011,Idaho
-111.328,42.047,15.896,16.317,Idaho
-111.239,42.047,16.533,17.028,Idaho
-111.061,42.047,18.729,19.838,Idaho
-110.971,42.047,22.17,25.305,Idaho
-112.066,41.557,17.868,18.712,Idaho
-114.793,45.387,1.967,7.434,Idaho
-114.793,45.656,1,7.434,Idaho
