Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_,State
-107.886,45.025,1,7.434,Montana
-107.247,45.025,1,7.434,Montana
-106.608,45.025,1,7.434,Montana
-105.969,45.025,1,7.434,Montana
-105.33,45.025,1,7.434,Montana
-104.691,45.025,1,7.434,Montana
-104.052,45.025,1,7.434,Montana
-109.164,45.474,1,7.434,Montana
-108.525,45.474,1,7.434,Montana
-107.886,45.474,1,7.434,Montana
-107.247,45.474,1,7.434,Montana
-106.608,45.474,1,7.434,Montana
-105.969,45.474,1,7.434,Montana
-105.33,45.474,1,7.434,Montana
-104.691,45.474,1,7.434,Montana
-109.803,45.923,1,7.434,Montana
-109.164,45.923,1,7.434,Montana
-108.525,45.923,1,7.434,Montana
-107.886,45.923,1,7.434,Montana
-107.247,45.923,1,7.434,Montana
-106.608,45.923,1,7.434,Montana
-105.969,45.923,1,7.434,Montana
-105.33,45.923,1,7.434,Montana
-109.803,46.371,1,7.434,Montana
-109.164,46.371,1,7.434,Montana
-108.525,46.371,1,7.434,Montana
-107.247,46.371,1,7.434,Montana
-110.442,46.82,1,7.434,Montana
-109.803,46.82,1,7.434,Montana
-109.164,46.82,1,7.434,Montana
-111.081,47.268,1,7.434,Montana
-110.442,47.268,1,7.434,Montana
-109.803,47.268,1,7.434,Montana
-111.72,47.717,1,7.434,Montana
-111.081,47.717,1,7.434,Montana
-110.442,47.717,1,7.434,Montana
-105.33,47.717,1,7.434,Montana
-104.691,47.717,1,7.434,Montana
-104.052,47.717,1,7.434,Montana
-111.72,48.166,1,7.434,Montana
-111.081,48.166,1,7.434,Montana
-110.442,48.166,1,7.434,Montana
-105.969,48.166,1,7.434,Montana
-105.33,48.166,1,7.434,Montana
-104.691,48.166,1,7.434,Montana
-104.052,48.166,1,7.434,Montana
-111.081,48.614,1,7.434,Montana
-110.442,48.614,1,7.434,Montana
-105.969,48.614,1,7.434,Montana
-105.33,48.614,1,7.434,Montana
-104.052,48.614,1,7.434,Montana
-111.72,49,1,7.434,Montana
-111.081,49,1,7.434,Montana
-110.442,49,1,7.434,Montana
-106.608,49,1,7.434,Montana
-105.969,49,1,7.434,Montana
-105.33,49,1,7.434,Montana
-104.052,45.025,1,7.434,Montana
-104.691,45.474,1,7.434,Montana
-104.052,45.474,1,7.434,Montana
-107.886,45.923,1,7.434,Montana
-106.608,45.923,1,7.434,Montana
-105.969,45.923,1,7.434,Montana
-105.33,45.923,1,7.434,Montana
-104.691,45.923,1,7.434,Montana
-104.052,45.923,1,7.434,Montana
-109.164,46.371,1,7.434,Montana
-108.525,46.371,1,7.434,Montana
-107.886,46.371,1,7.434,Montana
-107.247,46.371,1,7.434,Montana
-106.608,46.371,1,7.434,Montana
-105.969,46.371,1,7.434,Montana
-105.33,46.371,1,7.434,Montana
-104.691,46.371,1,7.434,Montana
-104.052,46.371,1,7.434,Montana
-109.164,46.82,1,7.434,Montana
-108.525,46.82,1,7.434,Montana
-107.886,46.82,1,7.434,Montana
-107.247,46.82,1,7.434,Montana
-106.608,46.82,1,7.434,Montana
-105.969,46.82,1,7.434,Montana
-105.33,46.82,1,7.434,Montana
-104.691,46.82,1,7.434,Montana
-104.052,46.82,1,7.434,Montana
-109.803,47.268,1,7.434,Montana
-109.164,47.268,1,7.434,Montana
-108.525,47.268,1,7.434,Montana
-107.886,47.268,1,7.434,Montana
-107.247,47.268,1,7.434,Montana
-106.608,47.268,1,7.434,Montana
-105.969,47.268,1,7.434,Montana
-105.33,47.268,1,7.434,Montana
-104.691,47.268,1,7.434,Montana
-104.052,47.268,1,7.434,Montana
-110.442,47.717,1,7.434,Montana
-109.803,47.717,1,7.434,Montana
-109.164,47.717,1,7.434,Montana
-108.525,47.717,1,7.434,Montana
-107.886,47.717,1,7.434,Montana
-107.247,47.717,1,7.434,Montana
-106.608,47.717,1,7.434,Montana
-105.969,47.717,1,7.434,Montana
-105.33,47.717,1,7.434,Montana
-104.691,47.717,1,7.434,Montana
-104.052,47.717,1,7.434,Montana
-110.442,48.166,1,7.434,Montana
-109.803,48.166,1,7.434,Montana
-109.164,48.166,1,7.434,Montana
-108.525,48.166,1,7.434,Montana
-107.886,48.166,1,7.434,Montana
-107.247,48.166,1,7.434,Montana
-106.608,48.166,1,7.434,Montana
-105.969,48.166,1,7.434,Montana
-110.442,48.614,1,7.434,Montana
-109.803,48.614,1,7.434,Montana
-109.164,48.614,1,7.434,Montana
-108.525,48.614,1,7.434,Montana
