Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_,State
-80.248,32.574,8.735,10.325,South_Carolina
-80.205,32.574,8.856,10.402,South_Carolina
-80.333,32.61,8.705,10.304,South_Carolina
-80.29,32.61,8.929,10.462,South_Carolina
-80.248,32.61,9.149,10.644,South_Carolina
-80.205,32.61,9.474,10.883,South_Carolina
-80.163,32.61,9.473,10.893,South_Carolina
-80.12,32.61,9.578,10.977,South_Carolina
-80.078,32.61,9.393,10.84,South_Carolina
-80.036,32.61,9.298,10.769,South_Carolina
-80.375,32.646,9.231,10.684,South_Carolina
-80.333,32.646,9.43,10.844,South_Carolina
-80.29,32.646,9.652,11.03,South_Carolina
-80.248,32.646,9.96,11.272,South_Carolina
-80.205,32.646,10.063,11.379,South_Carolina
-80.163,32.646,10.265,11.528,South_Carolina
-80.12,32.646,10.311,11.576,South_Carolina
-80.078,32.646,10.285,11.555,South_Carolina
-80.036,32.646,10.183,11.467,South_Carolina
-79.993,32.646,9.975,11.321,South_Carolina
-80.375,32.682,9.773,11.105,South_Carolina
-80.333,32.682,10.359,11.576,South_Carolina
-80.29,32.682,10.501,11.704,South_Carolina
-80.248,32.682,10.646,11.84,South_Carolina
-80.205,32.682,10.697,11.878,South_Carolina
-80.163,32.682,10.843,12.018,South_Carolina
-80.12,32.682,11.036,12.18,South_Carolina
-80.078,32.682,10.892,12.058,South_Carolina
-80.036,32.682,10.847,12.03,South_Carolina
-79.993,32.682,10.594,11.806,South_Carolina
-79.951,32.682,10.347,11.614,South_Carolina
-80.417,32.718,9.94,11.242,South_Carolina
-80.375,32.718,10.373,11.599,South_Carolina
-80.333,32.718,10.611,11.793,South_Carolina
-80.29,32.718,10.486,11.705,South_Carolina
-80.248,32.718,10.985,12.15,South_Carolina
-80.205,32.718,11.058,12.209,South_Carolina
-80.163,32.718,11.111,12.263,South_Carolina
-80.12,32.718,11.19,12.335,South_Carolina
-80.078,32.718,11.2,12.342,South_Carolina
-80.036,32.718,11.048,12.218,South_Carolina
-79.993,32.718,10.982,12.149,South_Carolina
-79.951,32.718,10.701,11.921,South_Carolina
-79.908,32.718,10.396,11.643,South_Carolina
-80.417,32.754,10.245,11.506,South_Carolina
-80.375,32.754,10.369,11.62,South_Carolina
-80.333,32.754,10.794,11.965,South_Carolina
-80.29,32.754,11.034,12.204,South_Carolina
-80.248,32.754,11.415,12.526,South_Carolina
-80.205,32.754,11.591,12.701,South_Carolina
-80.163,32.754,11.893,12.966,South_Carolina
-80.12,32.754,11.844,12.928,South_Carolina
-80.078,32.754,11.842,12.925,South_Carolina
-80.036,32.754,11.751,12.835,South_Carolina
-79.993,32.754,11.553,12.669,South_Carolina
-79.951,32.754,11.308,12.447,South_Carolina
-79.908,32.754,10.975,12.168,South_Carolina
-79.866,32.754,10.558,11.785,South_Carolina
-80.46,32.79,10.298,11.535,South_Carolina
-80.417,32.79,10.654,11.839,South_Carolina
-80.375,32.79,10.883,12.054,South_Carolina
-80.333,32.79,12.009,13.058,South_Carolina
-80.29,32.79,11.723,12.804,South_Carolina
-80.248,32.79,12.129,13.172,South_Carolina
-80.205,32.79,12.244,13.28,South_Carolina
-80.163,32.79,12.51,13.53,South_Carolina
-80.12,32.79,12.425,13.449,South_Carolina
-80.078,32.79,12.433,13.456,South_Carolina
-80.036,32.79,12.337,13.381,South_Carolina
-79.993,32.79,12.117,13.18,South_Carolina
-79.951,32.79,12.055,13.116,South_Carolina
-79.908,32.79,11.681,12.775,South_Carolina
-79.866,32.79,11.176,12.326,South_Carolina
-79.823,32.79,10.699,11.9,South_Carolina
-80.46,32.826,12.477,13.388,South_Carolina
-80.417,32.826,11.095,12.278,South_Carolina
-80.375,32.826,11.308,12.416,South_Carolina
-80.333,32.826,12.072,13.195,South_Carolina
-80.29,32.826,12.047,13.103,South_Carolina
-80.248,32.826,12.565,13.607,South_Carolina
-80.205,32.826,12.673,13.697,South_Carolina
-80.163,32.826,12.865,13.881,South_Carolina
-80.12,32.826,13.018,14.027,South_Carolina
-80.078,32.826,12.938,13.958,South_Carolina
-80.036,32.826,12.863,13.888,South_Carolina
-79.993,32.826,12.678,13.716,South_Carolina
-79.951,32.826,12.521,13.576,South_Carolina
-79.908,32.826,12.144,13.194,South_Carolina
-79.866,32.826,11.705,12.792,South_Carolina
-79.823,32.826,11.228,12.359,South_Carolina
-80.46,32.862,11.528,12.569,South_Carolina
-80.417,32.862,11.123,12.251,South_Carolina
-80.375,32.862,11.672,12.741,South_Carolina
-80.333,32.862,11.968,13.037,South_Carolina
-80.29,32.862,12.222,13.265,South_Carolina
-80.248,32.862,12.555,13.591,South_Carolina
-80.205,32.862,13.074,14.096,South_Carolina
-80.163,32.862,13.041,14.075,South_Carolina
-80.12,32.862,13.219,14.234,South_Carolina
-80.078,32.862,13.324,14.33,South_Carolina
-80.036,32.862,13.033,14.071,South_Carolina
-79.993,32.862,12.919,13.952,South_Carolina
-79.951,32.862,12.653,13.703,South_Carolina
-79.908,32.862,12.34,13.391,South_Carolina
-79.866,32.862,11.956,13.027,South_Carolina
-79.823,32.862,11.527,12.613,South_Carolina
-79.781,32.862,11.157,12.282,South_Carolina
-80.46,32.898,11.956,12.963,South_Carolina
-80.417,32.898,11.523,12.602,South_Carolina
-80.375,32.898,11.764,12.834,South_Carolina
-80.333,32.898,12.295,13.318,South_Carolina
-80.29,32.898,12.636,13.671,South_Carolina
-80.248,32.898,13.147,14.158,South_Carolina
-80.205,32.898,13.652,14.688,South_Carolina
-80.163,32.898,13.589,14.599,South_Carolina
-80.12,32.898,13.632,14.645,South_Carolina
-80.078,32.898,13.687,14.699,South_Carolina
-80.036,32.898,13.695,14.724,South_Carolina
-79.993,32.898,13.517,14.56,South_Carolina
-79.951,32.898,13.165,14.191,South_Carolina
-79.908,32.898,12.741,13.784,South_Carolina
-79.866,32.898,12.244,13.288,South_Carolina
-79.823,32.898,11.685,12.765,South_Carolina
-79.781,32.898,11.439,12.529,South_Carolina
-80.46,32.934,11.609,12.65,South_Carolina
-80.417,32.934,11.578,12.649,South_Carolina
-80.375,32.934,12.214,13.237,South_Carolina
-80.333,32.934,12.56,13.565,South_Carolina
-80.29,32.934,13.002,14.019,South_Carolina
-80.248,32.934,13.338,14.363,South_Carolina
-80.205,32.934,13.746,14.769,South_Carolina
-80.163,32.934,14.045,15.087,South_Carolina
-80.12,32.934,14.116,15.139,South_Carolina
-80.078,32.934,14.133,15.159,South_Carolina
-80.036,32.934,14.053,15.105,South_Carolina
-79.993,32.934,13.93,14.981,South_Carolina
-79.951,32.934,13.488,14.532,South_Carolina
-79.908,32.934,13.153,14.174,South_Carolina
-79.866,32.934,12.614,13.636,South_Carolina
-79.823,32.934,12.06,13.115,South_Carolina
-79.781,32.934,11.748,12.798,South_Carolina
-79.739,32.934,11.252,12.358,South_Carolina
-80.46,32.97,11.156,12.284,South_Carolina
-80.417,32.97,11.785,12.918,South_Carolina
-80.375,32.97,12.493,13.493,South_Carolina
-80.333,32.97,14.596,15.644,South_Carolina
-80.29,32.97,12.972,13.99,South_Carolina
-80.248,32.97,13.331,14.357,South_Carolina
-80.205,32.97,13.902,14.924,South_Carolina
-80.163,32.97,14.201,15.26,South_Carolina
-80.12,32.97,14.376,15.415,South_Carolina
-80.078,32.97,14.335,15.365,South_Carolina
-80.036,32.97,14.302,15.372,South_Carolina
-79.993,32.97,14.016,15.049,South_Carolina
-79.951,32.97,13.702,14.741,South_Carolina
-79.908,32.97,13.338,14.35,South_Carolina
-79.866,32.97,12.997,14.012,South_Carolina
-79.823,32.97,12.294,13.319,South_Carolina
-79.781,32.97,12.125,13.144,South_Carolina
-79.739,32.97,11.469,12.541,South_Carolina
-80.46,33.006,11.221,12.333,South_Carolina
-80.417,33.006,12.726,13.695,South_Carolina
-80.375,33.006,12.549,13.56,South_Carolina
-80.333,33.006,12.685,13.7,South_Carolina
-80.29,33.006,13.184,14.196,South_Carolina
-80.248,33.006,13.764,14.775,South_Carolina
-80.205,33.006,14.159,15.211,South_Carolina
-80.163,33.006,14.324,15.353,South_Carolina
-80.12,33.006,14.524,15.574,South_Carolina
-80.078,33.006,14.717,15.778,South_Carolina
-80.036,33.006,14.62,15.68,South_Carolina
-79.993,33.006,14.456,15.518,South_Carolina
-79.951,33.006,14.078,15.1,South_Carolina
-79.908,33.006,13.604,14.62,South_Carolina
-79.866,33.006,13.046,14.054,South_Carolina
-79.823,33.006,12.479,13.481,South_Carolina
-79.781,33.006,12.224,13.237,South_Carolina
-79.739,33.006,11.678,12.708,South_Carolina
-79.696,33.006,11.412,12.48,South_Carolina
-80.46,33.042,11.407,12.49,South_Carolina
-80.417,33.042,12.508,13.489,South_Carolina
-80.375,33.042,12.397,13.416,South_Carolina
-80.333,33.042,14.256,15.255,South_Carolina
-80.29,33.042,13.22,14.225,South_Carolina
-80.248,33.042,13.694,14.712,South_Carolina
-80.205,33.042,14.217,15.261,South_Carolina
-80.163,33.042,14.481,15.539,South_Carolina
-80.12,33.042,14.799,15.88,South_Carolina
-80.078,33.042,14.852,15.922,South_Carolina
-80.036,33.042,14.786,15.848,South_Carolina
-79.993,33.042,14.626,15.7,South_Carolina
-79.951,33.042,14.203,15.233,South_Carolina
-79.908,33.042,13.774,14.791,South_Carolina
-79.866,33.042,13.186,14.177,South_Carolina
-79.823,33.042,12.705,13.715,South_Carolina
-79.781,33.042,12.51,13.486,South_Carolina
-79.739,33.042,11.935,12.956,South_Carolina
-79.696,33.042,11.449,12.507,South_Carolina
-80.417,33.078,11.903,12.942,South_Carolina
-80.375,33.078,14.76,15.84,South_Carolina
-80.333,33.078,13.398,14.384,South_Carolina
-80.29,33.078,13.282,14.273,South_Carolina
-80.248,33.078,13.747,14.768,South_Carolina
-80.205,33.078,14.364,15.396,South_Carolina
-80.163,33.078,14.657,15.714,South_Carolina
-80.12,33.078,14.936,16.018,South_Carolina
-80.078,33.078,15.019,16.093,South_Carolina
-80.036,33.078,14.916,15.983,South_Carolina
-79.993,33.078,14.842,15.907,South_Carolina
-79.951,33.078,14.406,15.456,South_Carolina
-79.908,33.078,14.095,15.1,South_Carolina
-79.866,33.078,13.405,14.388,South_Carolina
-79.823,33.078,12.841,13.822,South_Carolina
-79.781,33.078,12.663,13.628,South_Carolina
-79.739,33.078,12.001,13.007,South_Carolina
-79.696,33.078,11.659,12.678,South_Carolina
-79.654,33.078,10.952,12.061,South_Carolina
-80.417,33.115,12.013,13.035,South_Carolina
-80.375,33.115,13.436,14.412,South_Carolina
-80.333,33.115,13.144,14.13,South_Carolina
-80.29,33.115,13.429,14.415,South_Carolina
-80.248,33.115,13.907,14.92,South_Carolina
-80.205,33.115,14.728,15.789,South_Carolina
-80.163,33.115,14.707,15.738,South_Carolina
-80.12,33.115,15.335,16.451,South_Carolina
-80.078,33.115,15.336,16.425,South_Carolina
-80.036,33.115,15.255,16.334,South_Carolina
-79.993,33.115,15,16.035,South_Carolina
-79.951,33.115,14.889,15.923,South_Carolina
-79.908,33.115,14.358,15.348,South_Carolina
-79.866,33.115,13.847,14.818,South_Carolina
-79.823,33.115,13.314,14.269,South_Carolina
-79.781,33.115,12.966,13.914,South_Carolina
-79.739,33.115,12.838,13.768,South_Carolina
-79.696,33.115,11.796,12.782,South_Carolina
-79.654,33.115,10.985,12.072,South_Carolina
-80.417,33.151,11.765,12.808,South_Carolina
-80.375,33.151,12.645,13.628,South_Carolina
-80.333,33.151,13.259,14.216,South_Carolina
-80.29,33.151,13.185,14.178,South_Carolina
-80.248,33.151,13.738,14.734,South_Carolina
-80.205,33.151,14.173,15.211,South_Carolina
-80.163,33.151,14.601,15.635,South_Carolina
-80.12,33.151,14.953,16.016,South_Carolina
-80.078,33.151,15.638,16.756,South_Carolina
-80.036,33.151,15.228,16.28,South_Carolina
-79.993,33.151,14.967,16.012,South_Carolina
-79.951,33.151,14.909,15.916,South_Carolina
-79.908,33.151,14.32,15.305,South_Carolina
-79.866,33.151,13.747,14.688,South_Carolina
-79.823,33.151,13.263,14.2,South_Carolina
-79.781,33.151,13.42,14.333,South_Carolina
-79.739,33.151,13.634,14.539,South_Carolina
-79.696,33.151,11.65,12.661,South_Carolina
-79.654,33.151,10.864,11.955,South_Carolina
-80.417,33.187,11.797,12.837,South_Carolina
-80.375,33.187,12.289,13.29,South_Carolina
-80.333,33.187,12.979,13.956,South_Carolina
-80.29,33.187,13.087,14.057,South_Carolina
-80.248,33.187,13.547,14.536,South_Carolina
-80.205,33.187,14.121,15.117,South_Carolina
-80.163,33.187,14.487,15.489,South_Carolina
-80.12,33.187,15.336,16.421,South_Carolina
-80.078,33.187,15.425,16.495,South_Carolina
-80.036,33.187,14.997,15.996,South_Carolina
-79.951,33.187,14.744,15.785,South_Carolina
-79.908,33.187,14.353,15.309,South_Carolina
-79.866,33.187,13.645,14.575,South_Carolina
-79.823,33.187,13.342,14.261,South_Carolina
-79.781,33.187,13.135,14.05,South_Carolina
-79.739,33.187,15.073,16.033,South_Carolina
-79.696,33.187,11.854,12.818,South_Carolina
-79.654,33.187,10.981,12.054,South_Carolina
-79.611,33.187,10.017,11.267,South_Carolina
-80.417,33.223,11.524,12.572,South_Carolina
-80.375,33.223,12.009,13.016,South_Carolina
-80.333,33.223,13.064,14.092,South_Carolina
-80.29,33.223,14.734,15.743,South_Carolina
-80.248,33.223,13.567,14.547,South_Carolina
-80.205,33.223,14.037,15.003,South_Carolina
-80.163,33.223,14.324,15.303,South_Carolina
-80.12,33.223,15.144,16.255,South_Carolina
-80.036,33.223,15.544,16.605,South_Carolina
-79.908,33.223,14.431,15.428,South_Carolina
-79.866,33.223,14.593,15.532,South_Carolina
-79.823,33.223,13.259,14.143,South_Carolina
-79.781,33.223,13.023,13.919,South_Carolina
-79.739,33.223,13.491,14.172,South_Carolina
-79.696,33.223,12.518,13.46,South_Carolina
-79.654,33.223,11.086,12.12,South_Carolina
-79.611,33.223,10.21,11.368,South_Carolina
-80.375,33.259,11.594,12.626,South_Carolina
-80.333,33.259,12.254,13.235,South_Carolina
-80.29,33.259,12.886,13.841,South_Carolina
-80.248,33.259,13.262,14.193,South_Carolina
-80.205,33.259,13.779,14.73,South_Carolina
-80.163,33.259,14.137,15.089,South_Carolina
-80.12,33.259,14.548,15.511,South_Carolina
-80.036,33.259,15.347,16.337,South_Carolina
-79.951,33.259,14.634,15.55,South_Carolina
-79.908,33.259,14.232,15.116,South_Carolina
-79.866,33.259,13.774,14.646,South_Carolina
-79.823,33.259,13.033,13.917,South_Carolina
-79.781,33.259,12.88,13.761,South_Carolina
-79.739,33.259,13.033,13.897,South_Carolina
-79.696,33.259,13.02,13.863,South_Carolina
-79.654,33.259,10.753,11.818,South_Carolina
-79.611,33.259,9.982,11.184,South_Carolina
-80.375,33.295,11.335,12.398,South_Carolina
-80.333,33.295,11.872,12.879,South_Carolina
-80.29,33.295,13.371,14.308,South_Carolina
-80.248,33.295,14.202,15.14,South_Carolina
-80.205,33.295,13.353,14.295,South_Carolina
-80.163,33.295,13.656,14.584,South_Carolina
-80.12,33.295,14.075,14.994,South_Carolina
-80.036,33.295,14.441,15.333,South_Carolina
-79.951,33.295,14.275,15.175,South_Carolina
-79.908,33.295,14.573,15.47,South_Carolina
-79.866,33.295,14.112,14.977,South_Carolina
-79.823,33.295,12.858,13.729,South_Carolina
-79.781,33.295,12.747,13.599,South_Carolina
-79.739,33.295,12.379,13.253,South_Carolina
-79.696,33.295,13.148,13.988,South_Carolina
-79.654,33.295,10.585,11.664,South_Carolina
-79.611,33.295,9.775,11.012,South_Carolina
-80.333,33.331,11.559,12.585,South_Carolina
-80.29,33.331,12.68,13.608,South_Carolina
-80.248,33.331,13.312,14.067,South_Carolina
-80.205,33.331,12.836,13.763,South_Carolina
-80.163,33.331,13.273,14.187,South_Carolina
-80.12,33.331,14.048,14.946,South_Carolina
-80.036,33.331,14.529,15.409,South_Carolina
-79.951,33.331,14.183,15.08,South_Carolina
-79.908,33.331,14.109,14.948,South_Carolina
-79.866,33.331,13.309,14.136,South_Carolina
-79.823,33.331,12.636,13.472,South_Carolina
-79.781,33.331,12.431,13.28,South_Carolina
-79.739,33.331,12.7,13.381,South_Carolina
-79.696,33.331,13.203,14.014,South_Carolina
-79.654,33.331,10.951,11.963,South_Carolina
-79.611,33.331,9.611,10.872,South_Carolina
-80.333,33.367,11.517,12.524,South_Carolina
-80.29,33.367,11.906,12.884,South_Carolina
-80.248,33.367,13.651,14.562,South_Carolina
-80.205,33.367,13.106,14.006,South_Carolina
-80.163,33.367,13.034,14.011,South_Carolina
-80.12,33.367,13.391,14.243,South_Carolina
-80.036,33.367,14.394,15.254,South_Carolina
-79.951,33.367,14.364,15.192,South_Carolina
-79.908,33.367,13.431,14.207,South_Carolina
-79.866,33.367,13.174,13.978,South_Carolina
-79.823,33.367,12.524,13.351,South_Carolina
-79.781,33.367,12.185,13.039,South_Carolina
-79.739,33.367,11.625,12.532,South_Carolina
-79.696,33.367,10.96,11.947,South_Carolina
-79.654,33.367,11.817,12.673,South_Carolina
-79.611,33.367,9.553,10.805,South_Carolina
-80.333,33.403,10.993,12.064,South_Carolina
-80.29,33.403,11.384,12.423,South_Carolina
-80.248,33.403,13.106,13.979,South_Carolina
-80.205,33.403,12.23,13.176,South_Carolina
-80.163,33.403,12.521,13.413,South_Carolina
-80.12,33.403,12.769,13.65,South_Carolina
-80.078,33.403,13.123,13.961,South_Carolina
-80.036,33.403,13.234,14.047,South_Carolina
-79.951,33.403,13.209,13.986,South_Carolina
-79.908,33.403,12.964,13.759,South_Carolina
-79.866,33.403,12.472,13.289,South_Carolina
-79.823,33.403,12.122,12.971,South_Carolina
-79.781,33.403,11.99,12.832,South_Carolina
-79.739,33.403,11.524,12.421,South_Carolina
-79.696,33.403,10.709,11.73,South_Carolina
-79.654,33.403,11.395,12.285,South_Carolina
-79.611,33.403,9.187,10.516,South_Carolina
-79.569,33.403,8.4,9.938,South_Carolina
-80.29,33.439,10.838,11.921,South_Carolina
-80.248,33.439,11.741,12.695,South_Carolina
-80.205,33.439,13.459,14.319,South_Carolina
-80.163,33.439,11.913,12.85,South_Carolina
-80.12,33.439,12.21,13.108,South_Carolina
-80.078,33.439,12.446,13.283,South_Carolina
-80.036,33.439,12.544,13.359,South_Carolina
-79.993,33.439,12.615,13.411,South_Carolina
-79.951,33.439,12.505,13.292,South_Carolina
-79.908,33.439,12.295,13.102,South_Carolina
-79.866,33.439,11.925,12.756,South_Carolina
-79.823,33.439,11.524,12.398,South_Carolina
-79.781,33.439,11.527,12.393,South_Carolina
-79.739,33.439,10.845,11.815,South_Carolina
-79.696,33.439,10.215,11.304,South_Carolina
-79.654,33.439,10.626,11.62,South_Carolina
-79.611,33.439,8.934,10.316,South_Carolina
-79.569,33.439,8.155,9.755,South_Carolina
-80.29,33.475,10.722,11.804,South_Carolina
-80.248,33.475,11.117,12.156,South_Carolina
-80.205,33.475,12.219,13.101,South_Carolina
-80.163,33.475,11.472,12.436,South_Carolina
-80.12,33.475,11.788,12.693,South_Carolina
-80.078,33.475,11.87,12.765,South_Carolina
-80.036,33.475,12.13,12.967,South_Carolina
-79.993,33.475,12.135,12.964,South_Carolina
-79.951,33.475,12.396,13.192,South_Carolina
-79.908,33.475,11.938,12.741,South_Carolina
-79.866,33.475,11.907,12.721,South_Carolina
-79.823,33.475,11.45,12.314,South_Carolina
-79.781,33.475,11.121,12.031,South_Carolina
-79.739,33.475,10.492,11.502,South_Carolina
-79.696,33.475,9.945,11.057,South_Carolina
-79.654,33.475,10.576,11.565,South_Carolina
-79.611,33.475,9.585,10.767,South_Carolina
-79.569,33.475,8.147,9.727,South_Carolina
-80.248,33.511,10.605,11.694,South_Carolina
-80.205,33.511,11.24,12.226,South_Carolina
-80.163,33.511,11.476,12.425,South_Carolina
-80.12,33.511,11.407,12.36,South_Carolina
-80.078,33.511,12.813,13.627,South_Carolina
-80.036,33.511,11.703,12.581,South_Carolina
-79.993,33.511,11.712,12.603,South_Carolina
-79.951,33.511,11.875,12.698,South_Carolina
-79.908,33.511,11.535,12.383,South_Carolina
-79.866,33.511,11.272,12.161,South_Carolina
-79.823,33.511,10.922,11.861,South_Carolina
-79.781,33.511,10.785,11.726,South_Carolina
-79.739,33.511,10.247,11.292,South_Carolina
-79.696,33.511,9.672,10.842,South_Carolina
-79.654,33.511,10.165,11.215,South_Carolina
-79.611,33.511,10.271,11.327,South_Carolina
-79.569,33.511,8.334,9.841,South_Carolina
-80.205,33.547,10.752,11.808,South_Carolina
-80.163,33.547,10.489,11.581,South_Carolina
-80.12,33.547,12.537,13.362,South_Carolina
-80.078,33.547,10.943,11.928,South_Carolina
-80.036,33.547,10.954,11.916,South_Carolina
-79.993,33.547,11.175,12.114,South_Carolina
-79.951,33.547,11.14,12.052,South_Carolina
-79.908,33.547,10.999,11.922,South_Carolina
-79.866,33.547,10.704,11.663,South_Carolina
-79.823,33.547,10.22,11.26,South_Carolina
-79.781,33.547,10.2,11.239,South_Carolina
-79.739,33.547,10.013,11.124,South_Carolina
-79.696,33.547,9.141,10.429,South_Carolina
-79.654,33.547,8.494,9.979,South_Carolina
-79.611,33.547,7.931,9.567,South_Carolina
-79.569,33.547,7.856,9.505,South_Carolina
-80.205,33.583,9.622,10.883,South_Carolina
-80.163,33.583,9.769,11.007,South_Carolina
-80.12,33.583,9.831,11.087,South_Carolina
-80.078,33.583,10.183,11.292,South_Carolina
-80.036,33.583,10.242,11.334,South_Carolina
-79.993,33.583,10.189,11.272,South_Carolina
-79.951,33.583,10.186,11.262,South_Carolina
-79.908,33.583,10.067,11.136,South_Carolina
-79.866,33.583,9.826,10.954,South_Carolina
-79.823,33.583,9.58,10.751,South_Carolina
-79.781,33.583,9.774,10.889,South_Carolina
-79.739,33.583,8.99,10.31,South_Carolina
-79.696,33.583,8.664,10.065,South_Carolina
-79.654,33.583,8.03,9.631,South_Carolina
-79.611,33.583,9.813,10.923,South_Carolina
-79.569,33.583,6.83,8.84,South_Carolina
-80.163,33.619,10.696,11.735,South_Carolina
-80.12,33.619,9.594,10.829,South_Carolina
-80.078,33.619,9.732,10.977,South_Carolina
-80.036,33.619,9.986,11.118,South_Carolina
-79.993,33.619,9.854,10.991,South_Carolina
-79.951,33.619,9.947,11.077,South_Carolina
-79.908,33.619,9.683,10.83,South_Carolina
-79.866,33.619,9.636,10.811,South_Carolina
-79.823,33.619,9.6,10.755,South_Carolina
-79.781,33.619,8.822,10.207,South_Carolina
-79.739,33.619,8.723,10.09,South_Carolina
-79.696,33.619,8.781,10.142,South_Carolina
-79.654,33.619,7.972,9.582,South_Carolina
-79.611,33.619,7.458,9.214,South_Carolina
-79.569,33.619,6.719,8.752,South_Carolina
-80.12,33.655,9.611,10.841,South_Carolina
-80.078,33.655,11.11,12.032,South_Carolina
-80.036,33.655,9.28,10.573,South_Carolina
-79.993,33.655,9.369,10.625,South_Carolina
-79.951,33.655,9.287,10.571,South_Carolina
-79.908,33.655,9.194,10.463,South_Carolina
-79.866,33.655,8.997,10.31,South_Carolina
-79.823,33.655,8.75,10.121,South_Carolina
-79.781,33.655,8.588,10.002,South_Carolina
-79.739,33.655,8.589,10.011,South_Carolina
-79.696,33.655,7.853,9.495,South_Carolina
-79.654,33.655,8.058,9.628,South_Carolina
-79.611,33.655,6.867,8.837,South_Carolina
-80.078,33.691,8.647,10.11,South_Carolina
-80.036,33.691,10.5,11.51,South_Carolina
-79.993,33.691,8.604,10.057,South_Carolina
-79.951,33.691,8.973,10.306,South_Carolina
-79.908,33.691,8.443,9.912,South_Carolina
-79.866,33.691,8.2,9.737,South_Carolina
-79.823,33.691,7.881,9.542,South_Carolina
-79.781,33.691,8.018,9.599,South_Carolina
-79.739,33.691,7.62,9.321,South_Carolina
-79.696,33.691,7.228,9.082,South_Carolina
-79.654,33.691,7.432,9.183,South_Carolina
-79.611,33.691,6.186,8.427,South_Carolina
-80.036,33.728,9.959,11.057,South_Carolina
-79.993,33.728,7.892,9.55,South_Carolina
-79.951,33.728,8.075,9.68,South_Carolina
-79.908,33.728,7.79,9.461,South_Carolina
-79.866,33.728,7.631,9.342,South_Carolina
-79.823,33.728,7.401,9.175,South_Carolina
-79.781,33.728,7.295,9.1,South_Carolina
-79.739,33.728,7.416,9.169,South_Carolina
-79.696,33.728,7.149,8.998,South_Carolina
-79.654,33.728,6.157,8.394,South_Carolina
-79.611,33.728,5.733,8.135,South_Carolina
-79.993,33.764,7.673,9.4,South_Carolina
-79.951,33.764,7.63,9.362,South_Carolina
-79.908,33.764,7.486,9.251,South_Carolina
-79.866,33.764,7.425,9.2,South_Carolina
-79.823,33.764,7.175,9.039,South_Carolina
-79.781,33.764,6.832,8.808,South_Carolina
-79.739,33.764,7.362,9.128,South_Carolina
-79.696,33.764,6.562,8.627,South_Carolina
-79.654,33.764,6.254,8.438,South_Carolina
