Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-152.476,63.148,1.082293274,0.976737964,4.176441115,6.089192457,Alaska
-152.376,63.147,1.029735335,1.077724131,4.521962631,6.39914107,Alaska
-152.277,63.147,1.170261949,1.155363209,4.943742598,6.786754583,Alaska
-152.178,63.146,1.106045107,1.220519815,5.443959085,7.235507767,Alaska
-152.079,63.146,1.253533877,1.330449826,5.873335873,7.608250679,Alaska
-147.727,63.051,1.553068441,1.70327119,8.636488974,8.891204127,Alaska
-147.628,63.047,1.584812844,1.76370951,8.111377539,8.48524684,Alaska
-147.53,63.043,1.414465453,1.615475476,7.656109897,8.159901025,Alaska
-147.431,63.039,1.441379081,1.657620931,7.190285875,7.80664921,Alaska
-147.333,63.035,1.463565472,1.500229864,6.75546288,7.462455109,Alaska
-147.235,63.031,1.295932662,1.545719289,6.275488181,7.080594661,Alaska
-147.136,63.027,1.320983214,1.584931942,5.818825403,6.693427207,Alaska
-147.038,63.023,1.341306554,1.416713425,5.481668129,6.415719313,Alaska
-146.94,63.019,1.34832087,1.430502358,5.25793892,6.184534924,Alaska
-146.842,63.015,1.371289765,1.464094691,4.906598545,5.881340895,Alaska
-146.743,63.01,1.193183142,1.298041182,4.569404963,5.594996666,Alaska
-146.645,63.006,1.228153677,1.35231687,4.480701044,5.444769265,Alaska
-146.547,63.002,1.254758931,1.201142261,4.16043694,5.184172225,Alaska
-146.449,62.997,1.262583866,1.22233687,4.012075348,5.012564713,Alaska
-146.351,62.992,1.276363539,1.256318931,3.772158737,4.774850646,Alaska
-146.253,62.988,1.290449948,1.093229264,3.53998161,4.570152284,Alaska
-146.155,62.983,1.27086926,1.256549984,3.767224529,4.636902243,Alaska
-146.057,62.978,1.243075254,1.206254342,3.718469406,4.53306292,Alaska
-144.982,62.921,1.336988176,1.466015252,4.616393573,4.568143026,Alaska
-144.885,62.915,1.315382859,1.4390995,4.928745494,4.7119093,Alaska
-144.788,62.91,1.476356852,1.38863174,5.544188243,5.017015475,Alaska
-144.69,62.904,1.447148374,1.547656516,6.073414753,5.263846911,Alaska
-144.593,62.898,1.413631321,1.496318602,6.575138039,5.513416577,Alaska
-144.496,62.892,1.570306583,1.641240044,7.479069138,5.92908837,Alaska
-144.398,62.886,1.507761223,1.756356236,8.752500295,6.506891924,Alaska
-144.301,62.88,1.643957948,1.85169714,10.3796724,7.227453128,Alaska
-144.204,62.874,1.59375625,1.979279594,11.98840555,7.922556695,Alaska
-142.656,62.768,1.980567642,2.26399902,17.40955812,10.42667336,Alaska
-142.56,62.761,1.88940995,2.00637489,12.74408252,8.528261223,Alaska
-142.463,62.754,1.613371417,1.975305327,9.116488452,6.914772575,Alaska
-142.367,62.746,1.521439987,1.750319795,6.838346731,5.833157368,Alaska
-142.271,62.739,1.431848221,1.51827184,5.204875332,5.016734148,Alaska
-153.369,63.193,0.47635579,0.151655472,1.265997233,2.996920311,Alaska
-153.27,63.193,0.407780035,0.106737115,1.509419808,3.304054108,Alaska
-153.17,63.194,0.538200344,0.2426584,1.780664428,3.629423464,Alaska
-153.071,63.194,0.667980748,0.36806674,2.082762575,3.977208091,Alaska
-152.972,63.194,0.601032663,0.4855958,2.404582916,4.329490859,Alaska
-152.872,63.194,0.729280335,0.590546799,2.757494571,4.700411055,Alaska
-152.773,63.193,0.858012837,0.680263209,3.125330864,5.073820412,Alaska
-152.674,63.193,0.795089445,0.773276958,3.506057282,5.456618341,Alaska
-152.574,63.193,0.92733681,0.854012326,3.920483826,5.854636599,Alaska
-152.475,63.193,1.069938627,0.95172793,4.28881515,6.209767136,Alaska
-152.375,63.192,1.005637648,1.021119777,4.768469589,6.648610906,Alaska
-152.276,63.192,1.140443468,1.093887838,5.225188391,7.055943374,Alaska
-152.177,63.191,1.285642486,1.378000656,5.661220411,7.444893578,Alaska
-152.077,63.191,1.22982639,1.295115936,6.134024943,7.850801885,Alaska
-147.817,63.099,1.682782966,1.809169033,9.460231383,9.381580383,Alaska
-147.718,63.095,1.503113277,1.839717228,9.149792963,9.074905867,Alaska
-147.62,63.092,1.538605485,1.690392163,8.526518863,8.613154837,Alaska
-147.521,63.088,1.580755424,1.766069047,7.799904938,8.156551352,Alaska
-147.423,63.084,1.416278787,1.623611255,7.214345588,7.723831432,Alaska
-147.324,63.08,1.439260994,1.66246995,6.777830072,7.38182274,Alaska
-147.226,63.076,1.465936,1.511562205,6.291095674,7.016484994,Alaska
-147.127,63.072,1.481496671,1.535435712,5.970298003,6.734502262,Alaska
-147.029,63.068,1.301768922,1.564827009,5.643577695,6.468081887,Alaska
-146.931,63.064,1.313362279,1.585437656,5.736073556,6.371869963,Alaska
-146.832,63.059,1.333090791,1.414661021,5.381714819,6.071058462,Alaska
-146.734,63.055,1.354740208,1.450007117,5.005593811,5.75483635,Alaska
-146.636,63.051,1.371979202,1.475402287,4.761701136,5.540752696,Alaska
-146.537,63.046,1.196620959,1.314783759,4.432916422,5.266461643,Alaska
-146.439,63.042,1.220121717,1.353033453,4.130793118,5.039713629,Alaska
-146.341,63.037,1.196129326,1.321083513,4.217063831,4.997545433,Alaska
-146.243,63.032,1.210513321,1.347607413,4.029572601,4.799157818,Alaska
-146.145,63.028,1.383488515,1.312427348,4.070870972,4.7551831,Alaska
-146.047,63.023,1.382159848,1.313774891,4.385950671,4.894237323,Alaska
-145.948,63.018,1.355279906,1.473153375,4.595826115,4.952483894,Alaska
-145.85,63.013,1.335412614,1.45011652,4.111916407,4.638924521,Alaska
-145.361,62.987,1.293931286,1.401365695,5.421593694,5.09499779,Alaska
-145.263,62.982,1.475792943,1.577406136,5.588700439,5.153422201,Alaska
-145.166,62.976,1.472150953,1.574088717,5.662584938,5.169996204,Alaska
-145.068,62.971,1.446331638,1.539295307,6.155427464,5.390251533,Alaska
-144.97,62.965,1.427958616,1.513584062,6.413292652,5.507348893,Alaska
-144.873,62.96,1.401088121,1.671619983,7.269837892,5.905963803,Alaska
-144.775,62.954,1.551750696,1.6172531,8.260125874,6.346614323,Alaska
-144.677,62.948,1.517181767,1.769220775,8.937191141,6.671149777,Alaska
-144.58,62.943,1.671927419,1.69878341,10.19853497,7.22245532,Alaska
-144.483,62.937,1.622844633,1.826262532,11.84389148,7.954634856,Alaska
-142.833,62.826,1.924944658,2.208596586,21.73623754,11.88293764,Alaska
-142.737,62.819,1.831465939,2.13584286,15.6423408,9.563111392,Alaska
-142.64,62.812,1.74232493,2.083126322,11.29285768,7.763408409,Alaska
-142.544,62.805,1.647832252,1.832668665,8.393656762,6.492713911,Alaska
-142.447,62.798,1.563353702,1.616465293,6.286713296,5.488365933,Alaska
-153.37,63.238,0.486810002,0.158181519,1.239122501,2.966600008,Alaska
-153.27,63.238,0.419931241,0.114376903,1.471934589,3.266214968,Alaska
-153.171,63.238,0.549502521,0.253382566,1.749618873,3.599603879,Alaska
-153.071,63.239,0.68196958,0.384239031,2.038010694,3.935085636,Alaska
-152.972,63.239,0.614811329,0.305614195,2.352864719,4.28360378,Alaska
