Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-72.544,41.338,0,0,0.5,0.5,Connecticut
-73.495,41.535,0,0,0.5,0.54372859,Connecticut
-73.256,41.531,0,0,0.5,0.5,Connecticut
-73.016,41.528,0,0,0.5,0.5,Connecticut
-72.777,41.523,0,0,0.5,0.5,Connecticut
-72.537,41.518,0,0,0.5,0.5,Connecticut
-72.298,41.513,0,0,0.5,0.5,Connecticut
-72.058,41.507,0,0,0.5,0.5,Connecticut
-71.819,41.501,0,0,0.5,0.5,Connecticut
-73.491,41.715,0,0,0.5,0.5,Connecticut
-73.251,41.712,0,0,0.5,0.5,Connecticut
-73.011,41.708,0,0,0.5,0.5,Connecticut
-72.77,41.703,0,0,0.5,0.5,Connecticut
-72.53,41.698,0,0,0.5,0.5,Connecticut
-72.29,41.693,0,0,0.5,0.5,Connecticut
-72.05,41.687,0,0,0.5,0.5,Connecticut
-71.81,41.681,0,0,0.5,0.5,Connecticut
-73.487,41.895,0,0,0.5,0.5,Connecticut
-73.246,41.892,0,0,0.5,0.5,Connecticut
-73.005,41.888,0,0,0.5,0.5,Connecticut
-72.764,41.883,0,0,0.5,0.5,Connecticut
-72.523,41.878,0,0,0.5,0.5,Connecticut
-72.283,41.873,0,0,0.5,0.5,Connecticut
-72.042,41.867,0,0,0.5,0.5,Connecticut
-71.801,41.86,0,0,0.5,0.5,Connecticut
-72.758,42.063,0,0,0.5,0.5,Connecticut
-72.516,42.058,0,0,0.5,0.5,Connecticut
-72.305,41.333,0,0,0.5,0.5,Connecticut
-72.066,41.327,0,0,0.5,0.5,Connecticut
-71.828,41.321,0,0,0.5,0.5,Connecticut
-73.483,42.075,0,0,0.5,0.5,Connecticut
-73.241,42.072,0,0,0.5,0.5,Connecticut
-72.999,42.068,0,0,0.5,0.5,Connecticut
-72.275,42.053,0,0,0.5,0.5,Connecticut
-72.034,42.047,0,0,0.5,0.5,Connecticut
-71.792,42.04,0,0,0.5,0.5,Connecticut
-73.746,40.997,0,0,0.5,1.421966488,Connecticut
-73.508,40.995,0,0,0.5,1.110203601,Connecticut
-73.742,41.178,0,0,0.5,1.274700965,Connecticut
-73.504,41.175,0,0,0.5,0.976132883,Connecticut
-73.265,41.171,0,0,0.5,0.694656789,Connecticut
-73.027,41.167,0,0,0.5,0.5,Connecticut
-73.5,41.355,0,0,0.5,0.761982698,Connecticut
-73.261,41.351,0,0,0.5,0.569138524,Connecticut
-73.022,41.348,0,0,0.5,0.5,Connecticut
-72.783,41.343,0,0,0.5,0.5,Connecticut
-72.305,41.333,0,0,0.5,0.5,Connecticut
-72.066,41.327,0,0,0.5,0.5,Connecticut
-71.828,41.321,0,0,0.5,0.5,Connecticut
-73.483,42.075,0,0,0.5,0.5,Connecticut
-73.241,42.072,0,0,0.5,0.5,Connecticut
-72.999,42.068,0,0,0.5,0.5,Connecticut
-72.275,42.053,0,0,0.5,0.5,Connecticut
-72.034,42.047,0,0,0.5,0.5,Connecticut
-71.792,42.04,0,0,0.5,0.5,Connecticut
-73.167116,41.051995,0,0,0.5,0.5,Connecticut
-72.372616,41.151197,0,0,0.5,0.5,Connecticut
-71.834482,41.189445,0,0,0.5,0.5,Connecticut
