Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-112.057,41.555,2.349280373,2.621258718,75.86331058,46.75407919,Idaho
-110.954,41.794,2.558212586,2.987273743,86.30449791,50.61364995,Idaho
-110.93,41.794,2.502654131,2.91610386,101.6665177,59.25463363,Idaho
-110.954,41.813,2.539409153,2.957281888,88.97643043,52.12015489,Idaho
-110.93,41.812,2.676836079,3.089972006,104.6521233,60.89661416,Idaho
-110.954,41.831,2.697994238,3.086261789,92.57590091,53.90750494,Idaho
-110.93,41.831,2.652265569,3.070874637,107.9245749,62.90030946,Idaho
-110.954,41.849,2.681482301,3.078593667,97.46033419,56.8172478,Idaho
-110.93,41.849,2.606006591,3.0366678,113.9799024,66.31645287,Idaho
-110.978,41.867,2.502926942,3.08363463,88.18534799,51.51845146,Idaho
-110.954,41.867,2.653525096,3.061745885,102.7247826,59.93664373,Idaho
-110.93,41.867,2.776431554,3.013873435,121.0104255,70.42054293,Idaho
-110.978,41.885,2.68040771,3.064691668,91.99008586,53.74747782,Idaho
-110.954,41.885,2.608240574,3.027196555,106.5510786,61.92008231,Idaho
-110.93,41.885,2.758431702,3.193894965,123.4146703,71.95506672,Idaho
-110.978,41.903,2.663692214,3.053563779,93.47843727,54.65320924,Idaho
-110.954,41.903,2.608776992,3.028319656,107.4712454,62.69349982,Idaho
-110.93,41.903,2.749295479,3.187078521,126.8346677,73.91447052,Idaho
-110.978,41.921,2.651175118,3.044454995,94.29426565,55.10371454,Idaho
-110.954,41.921,2.797059825,3.019029333,108.8853668,63.46404052,Idaho
-110.93,41.921,2.740352211,3.179719394,127.9646289,74.62766678,Idaho
-110.978,41.939,2.646864611,3.04053419,94.51784303,55.09077255,Idaho
-110.954,41.939,2.78782071,3.009567301,109.5139661,63.77400672,Idaho
-110.93,41.939,2.735312924,3.171450621,127.7203851,74.56263413,Idaho
-110.978,41.957,2.650855454,3.042609187,93.5065572,54.57536942,Idaho
-110.954,41.957,2.787447895,3.009026282,109.2258283,63.60342216,Idaho
-110.93,41.957,2.737916378,3.173345761,126.8245895,74.01602931,Idaho
-110.978,41.975,2.677452118,3.05508677,89.21693085,52.26310705,Idaho
-110.954,41.975,2.797847137,3.012780175,106.4840912,62.04314605,Idaho
-110.929,41.975,2.742596684,3.175834237,124.1144638,72.41546458,Idaho
-110.978,41.993,2.500607445,3.065512182,84.33542838,49.60187096,Idaho
-110.954,41.993,2.615845944,3.024054786,102.7104165,60.01345384,Idaho
-110.929,41.993,2.748163969,3.176871956,120.3671277,70.10771751,Idaho
-110.978,42.011,2.525621946,3.084659496,78.26418507,46.2590449,Idaho
-110.954,42.011,2.620339189,3.023927878,99.23315234,57.89027017,Idaho
-110.929,42.011,2.764339291,3.187776471,115.0035609,66.97760594,Idaho
-110.954,42.029,2.644673453,3.037652614,97.00440858,56.73585034,Idaho
-110.929,42.029,2.773473549,3.192438883,112.1000831,65.28543638,Idaho
-110.954,42.047,2.644868342,3.036574845,94.85799275,55.35923065,Idaho
-110.929,42.047,2.782929751,3.00083214,111.1445304,64.73897013,Idaho
