Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-111.783,44.601,2.30334793,2.738746123,80.43918949,47.10022415,Montana
-111.758,44.601,2.484156375,2.719739705,82.54708532,47.98784672,Montana
-111.733,44.602,2.480711517,2.718156667,85.89583693,49.80852465,Montana
-111.708,44.602,2.450712478,2.884454471,88.70305965,51.67774747,Montana
-111.682,44.602,2.442367724,2.875375636,91.38085923,52.76542002,Montana
-111.657,44.602,2.446161606,2.876932973,92.06271405,53.02904254,Montana
-111.632,44.602,2.44884626,2.87797458,91.07522339,52.19740032,Montana
-111.607,44.602,2.440099312,2.863992331,91.01616789,52.45691544,Montana
-111.582,44.603,2.441349848,2.86347719,90.25858146,51.81170183,Montana
-111.556,44.603,2.450660404,2.872484219,88.38408595,50.49984154,Montana
-111.531,44.603,2.459068593,2.879285111,86.19758186,49.16364823,Montana
-111.506,44.603,2.450721935,2.865744978,86.06047835,49.35362609,Montana
-111.481,44.603,2.465137113,2.879332395,84.02739808,48.22196722,Montana
-111.809,44.619,2.476302918,2.722542602,91.56536301,53.14982767,Montana
-111.783,44.619,2.456138542,2.702773086,92.20036134,53.5389536,Montana
-111.758,44.619,2.456755642,2.899620137,94.23037616,54.51876306,Montana
-111.733,44.62,2.430907215,2.873941461,95.77766256,55.17770304,Montana
-111.708,44.62,2.438160767,2.870977267,94.66544653,54.65079078,Montana
-111.683,44.62,2.43855273,2.869205792,93.98705363,54.19891578,Montana
-111.657,44.62,2.439410611,2.870413963,91.73402013,52.57808238,Montana
-111.632,44.62,2.439791452,2.865352304,90.63907749,51.90206704,Montana
-111.607,44.62,2.406190698,2.833021338,89.81429039,51.09763154,Montana
-111.582,44.621,2.429379562,2.848628532,91.22512928,52.16938916,Montana
-111.557,44.621,2.438731006,2.860438607,90.85667156,51.50915626,Montana
-111.531,44.621,2.435128934,2.854095046,91.04674837,51.54446752,Montana
-111.506,44.621,2.437407766,2.852971807,90.1146103,51.07587205,Montana
-111.481,44.621,2.441541916,2.854700756,89.28415238,50.7867532,Montana
-111.456,44.621,2.45821964,2.873239283,86.89444141,49.222371,Montana
