Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-81.886,33.328,0.135850598,0,0.5,1.578248256,South_Carolina
-82.103,33.507,0,0,0.5,1.371165888,South_Carolina
-81.888,33.508,0.116926496,0,0.5,1.731065793,South_Carolina
-82.321,33.685,0,0,0.5,1.325624465,South_Carolina
-82.105,33.687,0.182877662,0,0.5,1.53886907,South_Carolina
-82.54,33.863,0,0,0.5,1.287370882,South_Carolina
-82.324,33.865,0,0,0.5,1.48410243,South_Carolina
-82.543,34.043,0,0,0.5,1.341712937,South_Carolina
-82.326,34.046,0,0,0.5,1.570711726,South_Carolina
-82.763,34.22,0,0,0.5,1.080260416,South_Carolina
-82.546,34.223,0,0,0.5,1.361737145,South_Carolina
-82.329,34.226,0,0,0.5,1.492581603,South_Carolina
-82.112,34.228,0.198399338,0,0.5,1.646170012,South_Carolina
-82.985,34.397,0,0,0.5,0.920527225,South_Carolina
-82.767,34.401,0,0,0.5,1.072762958,South_Carolina
-82.55,34.404,0,0,0.5,1.267338389,South_Carolina
-82.332,34.406,0,0,0.5,1.360165801,South_Carolina
-82.115,34.408,0,0,0.5,1.474802428,South_Carolina
-81.897,34.41,0.182722511,0,0.5,1.65871475,South_Carolina
-83.207,34.574,0,0,0.5,0.900444291,South_Carolina
-82.989,34.578,0,0,0.5,1.066819185,South_Carolina
-82.771,34.581,0,0,0.5,1.159112143,South_Carolina
-82.553,34.584,0,0,0.5,1.240881998,South_Carolina
-82.335,34.586,0,0,0.5,1.271222897,South_Carolina
-82.117,34.589,0,0,0.5,1.31792308,South_Carolina
-81.899,34.59,0,0,0.5,1.434516176,South_Carolina
-81.681,34.592,0.187921176,0,0.5,1.569565787,South_Carolina
-81.463,34.593,0.138227382,0,0.5,1.741153888,South_Carolina
-83.43,34.75,0,0,0.5,1.076191603,South_Carolina
-83.212,34.754,0,0,0.5,1.164869162,South_Carolina
-82.993,34.758,0,0,0.5,1.255485342,South_Carolina
-82.775,34.761,0,0,0.5,1.300614732,South_Carolina
-82.556,34.764,0,0,0.5,1.264131905,South_Carolina
-82.338,34.767,0,0,0.5,1.195776027,South_Carolina
-82.119,34.769,0,0,0.5,1.174137225,South_Carolina
-81.901,34.771,0,0,0.5,1.236569388,South_Carolina
-81.682,34.772,0,0,0.5,1.284555475,South_Carolina
-81.464,34.773,0,0,0.5,1.375511875,South_Carolina
-81.245,34.774,0.178626071,0,0.5,1.480231412,South_Carolina
-81.027,34.774,0.137801578,0,0.5,1.506270116,South_Carolina
-80.808,34.774,0.110204453,0,0.5,1.625114378,South_Carolina
-80.589,34.773,0.258374553,0,0.582867318,1.777334383,South_Carolina
-83.216,34.934,0,0,0.5,1.472406538,South_Carolina
-82.998,34.938,0,0,0.5,1.482275898,South_Carolina
-82.779,34.941,0,0,0.5,1.454103414,South_Carolina
-82.56,34.944,0,0,0.5,1.319320662,South_Carolina
-82.341,34.947,0,0,0.5,1.161996589,South_Carolina
-82.122,34.949,0,0,0.5,1.094633281,South_Carolina
-81.903,34.951,0,0,0.5,1.06434167,South_Carolina
-81.684,34.953,0,0,0.5,0.987541312,South_Carolina
-81.465,34.954,0,0,0.5,1.013052333,South_Carolina
-81.246,34.954,0,0,0.5,1.109280588,South_Carolina
-81.027,34.954,0,0,0.5,1.124830628,South_Carolina
-80.808,34.954,0,0,0.5,1.185444757,South_Carolina
-82.783,35.122,0,0,0.5,1.606420519,South_Carolina
-82.563,35.125,0,0,0.5,1.384298632,South_Carolina
-82.344,35.127,0,0,0.5,1.2130539,South_Carolina
-82.124,35.13,0,0,0.5,1.028841995,South_Carolina
-81.905,35.131,0,0,0.5,0.942548405,South_Carolina
-81.685,35.133,0,0,0.5,0.891019599,South_Carolina
-81.466,35.134,0,0,0.5,0.858739593,South_Carolina
-81.246,35.135,0,0,0.5,0.806466274,South_Carolina
-81.027,35.135,0,0,0.5,0.860982878,South_Carolina
-80.962,32.014,0.317277122,0,0.972045967,2.156385756,South_Carolina
-81.047,32.086,0.486507089,0.19673648,0.96965049,2.14676622,South_Carolina
-80.962,32.303,0.876351295,0.587676515,2.857777276,3.77255911,South_Carolina
-80.877,32.303,0.818381897,0.501999348,3.596516351,4.363271476,South_Carolina
-80.622,32.302,1.361450839,1.345733269,8.747913302,7.731068375,South_Carolina
-81.217,32.375,0.592020098,0.130277572,1.451646356,2.637893164,South_Carolina
-81.132,32.375,0.689082225,0.243417703,1.923153833,3.049084773,South_Carolina
-81.047,32.375,0.726480253,0.455868045,2.652186232,3.664848932,South_Carolina
-80.962,32.375,0.809481553,0.691638418,3.442246987,4.257891017,South_Carolina
-80.877,32.375,1.058368369,0.844900763,4.50943452,5.009445855,South_Carolina
-80.707,32.375,1.346291661,1.318310434,9.087782002,7.966148181,South_Carolina
-80.622,32.374,1.468118537,1.419178652,12.18830143,9.792458146,South_Carolina
-81.302,32.447,0.411950247,0.143063594,1.311633118,2.503252212,South_Carolina
-81.217,32.447,0.529672922,0.284634161,1.663214413,2.843377544,South_Carolina
-81.132,32.447,0.615681991,0.36549684,2.271845221,3.362019725,South_Carolina
