Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,State
-111.403,38.523,0,0,0.5,0.5,Utah
-111.312,38.524,0,0,0.5,0.5,Utah
-111.128,38.524,0,0,0.5,0.5,Utah
-111.036,38.524,0,0,0.5,0.5,Utah
-110.944,38.524,0,0,0.5,0.5,Utah
-110.853,38.524,0,0,0.5,0.5,Utah
-110.761,38.524,0,0,0.5,0.5,Utah
-113.149,38.576,0,0,0.5,0.5,Utah
-113.057,38.578,0,0,0.5,0.5,Utah
-112.965,38.58,0,0,0.5,0.5,Utah
-112.873,38.581,0,0,0.5,0.5,Utah
-112.781,38.583,0,0,0.5,0.5,Utah
-112.69,38.584,0,0,0.5,0.5,Utah
-112.598,38.585,0,0,0.5,0.617145634,Utah
-112.785,38.727,0,0,0.5,0.5,Utah
-112.693,38.728,0,0,0.5,0.5,Utah
-112.601,38.729,0,0,0.5,0.531225314,Utah
-112.509,38.731,0,0,0.5,0.631022677,Utah
-112.417,38.732,0,0,0.5,0.738123722,Utah
-112.325,38.733,0,0,0.5,0.815815085,Utah
-112.233,38.734,0,0,0.5,0.911189665,Utah
-112.141,38.735,0,0,0.5,0.914644166,Utah
-112.049,38.736,0,0,0.5,0.980884306,Utah
-111.957,38.736,0,0,0.5,0.945923213,Utah
-111.865,38.737,0,0,0.5,0.955206324,Utah
-111.773,38.738,0,0,0.5,0.905227927,Utah
-111.681,38.738,0,0,0.5,0.817630708,Utah
-111.589,38.739,0,0,0.5,0.760915456,Utah
-111.497,38.739,0,0,0.5,0.682495556,Utah
-111.405,38.74,0,0,0.5,0.594446749,Utah
-111.312,38.74,0,0,0.5,0.506407853,Utah
-111.22,38.74,0,0,0.5,0.5,Utah
-111.128,38.74,0,0,0.5,0.5,Utah
-111.036,38.74,0,0,0.5,0.5,Utah
-110.944,38.74,0,0,0.5,0.5,Utah
-110.852,38.74,0,0,0.5,0.5,Utah
-110.76,38.74,0,0,0.5,0.5,Utah
-110.668,38.74,0,0,0.5,0.5,Utah
-110.576,38.74,0,0,0.5,0.5,Utah
-112.971,38.796,0,0,0.5,0.5,Utah
-112.879,38.797,0,0,0.5,0.5,Utah
-112.787,38.799,0,0,0.5,0.5,Utah
-112.695,38.8,0,0,0.5,0.5,Utah
-112.603,38.801,0,0,0.5,0.5,Utah
-112.51,38.803,0,0,0.5,0.57271037,Utah
-112.418,38.804,0,0,0.5,0.651148355,Utah
-112.326,38.805,0,0,0.5,0.793402747,Utah
-112.234,38.806,0,0,0.5,0.870301076,Utah
-112.142,38.807,0,0,0.5,0.914356641,Utah
-112.05,38.808,0,0,0.5,0.955202868,Utah
-111.958,38.808,0,0,0.5,0.961199135,Utah
-111.866,38.809,0,0,0.5,0.954231021,Utah
-111.774,38.81,0,0,0.5,0.926836666,Utah
-111.681,38.81,0,0,0.5,0.820005965,Utah
-111.589,38.811,0,0,0.5,0.810223661,Utah
-111.497,38.811,0,0,0.5,0.725888397,Utah
-111.405,38.812,0,0,0.5,0.645056243,Utah
-111.313,38.812,0,0,0.5,0.548135877,Utah
-111.221,38.812,0,0,0.5,0.5,Utah
-111.129,38.812,0,0,0.5,0.5,Utah
-111.036,38.812,0,0,0.5,0.5,Utah
-110.944,38.812,0,0,0.5,0.5,Utah
-110.852,38.812,0,0,0.5,0.5,Utah
-110.76,38.812,0,0,0.5,0.5,Utah
-110.668,38.812,0,0,0.5,0.5,Utah
-110.576,38.812,0,0,0.5,0.5,Utah
-110.484,38.811,0,0,0.5,0.5,Utah
-112.973,38.868,0,0,0.5,0.5,Utah
-112.881,38.869,0,0,0.5,0.5,Utah
-112.789,38.871,0,0,0.5,0.5,Utah
-112.696,38.872,0,0,0.5,0.5,Utah
-112.604,38.873,0,0,0.5,0.5,Utah
-112.512,38.875,0,0,0.5,0.515872916,Utah
-112.42,38.876,0,0,0.5,0.620363256,Utah
-112.328,38.877,0,0,0.5,0.728073933,Utah
-112.235,38.878,0,0,0.5,0.807811856,Utah
-112.143,38.879,0,0,0.5,0.856704073,Utah
-112.051,38.88,0,0,0.5,0.938684024,Utah
-111.959,38.881,0,0,0.5,0.941484578,Utah
-111.867,38.881,0,0,0.5,0.945976186,Utah
-111.774,38.882,0,0,0.5,0.909699496,Utah
-111.682,38.883,0,0,0.5,0.873214568,Utah
-111.59,38.883,0,0,0.5,0.813048057,Utah
-111.405,38.884,0,0,0.5,0.666602602,Utah
-111.313,38.884,0,0,0.5,0.577507798,Utah
-111.221,38.884,0,0,0.5,0.5,Utah
-111.129,38.884,0,0,0.5,0.5,Utah
