Longitude,Latitude,D (m),log(D)
-73.54,41.32,0.00,-3.57
-72.74,41.32,0.00,-3.80
-71.94,41.32,0.00,-3.92
-73.14,41.32,0.00,-3.72
-72.34,41.32,0.00,-3.82
-74.34,41.72,0.00,-3.92
-73.94,41.72,0.00,-3.82
-73.54,41.72,0.00,-3.85
-73.14,41.72,0.00,-3.89
-72.74,41.72,0.00,-3.85
-72.34,41.72,0.00,-3.85
-71.94,41.72,0.00,-3.85
-73.74,41.32,0.00,-3.51
-73.34,41.32,0.00,-3.66
-72.94,41.32,0.00,-3.77
-72.54,41.32,0.00,-3.80
-72.14,41.32,0.00,-3.85
-71.74,41.32,0.00,-3.92
-74.54,41.72,0.00,-4.00
-74.14,41.72,0.00,-3.85
-73.74,41.72,0.00,-3.82
-73.34,41.72,0.00,-3.85
-72.94,41.72,0.00,-3.89
-72.54,41.72,0.00,-3.85
-72.14,41.72,0.00,-3.85
-71.74,41.72,0.00,-3.85
-73.74,41.12,0.00,-3.43
-73.54,41.12,0.00,-3.51
-73.34,41.12,0.00,-3.62
-73.14,41.12,0.00,-3.72
-72.94,41.12,0.00,-3.80
-74.14,41.52,0.00,-3.68
-73.94,41.52,0.00,-3.64
-73.74,41.52,0.00,-3.66
-73.54,41.52,0.00,-3.70
-73.34,41.52,0.00,-3.74
-73.14,41.52,0.00,-3.80
-72.94,41.52,0.00,-3.80
-72.74,41.52,0.00,-3.80
-72.54,41.52,0.00,-3.80
-72.34,41.52,0.00,-3.80
-72.14,41.52,0.00,-3.82
-71.94,41.52,0.00,-3.85
-71.74,41.52,0.00,-3.89
-74.94,41.92,0.00,-4.22
-74.74,41.92,0.00,-4.15
-74.54,41.92,0.00,-4.05
-74.34,41.92,0.00,-4.00
-74.14,41.92,0.00,-3.96
-73.94,41.92,0.00,-3.92
-73.74,41.92,0.00,-3.96
-73.54,41.92,0.00,-3.96
-73.34,41.92,0.00,-3.96
-73.14,41.92,0.00,-3.96
-72.94,41.92,0.00,-3.96
-72.74,41.92,0.00,-3.96
-72.54,41.92,0.00,-3.92
-72.34,41.92,0.00,-3.89
-72.14,41.92,0.00,-3.89
-71.94,41.92,0.00,-3.85
-71.74,41.92,0.00,-3.80
-73.64,40.92,0.00,-3.46
-73.84,41.12,0.00,-3.41
-73.64,41.12,0.00,-3.47
-73.44,41.12,0.00,-3.57
-73.24,41.12,0.00,-3.66
-73.04,41.12,0.00,-3.74
-72.84,41.12,0.00,-3.82
-73.64,41.32,0.00,-3.54
-73.44,41.32,0.00,-3.62
-73.24,41.32,0.00,-3.70
-73.04,41.32,0.00,-3.74
-72.84,41.32,0.00,-3.77
-72.64,41.32,0.00,-3.80
-72.44,41.32,0.00,-3.80
-72.24,41.32,0.00,-3.85
-72.04,41.32,0.00,-3.89
-71.84,41.32,0.00,-3.92
-74.04,41.52,0.00,-3.66
-73.84,41.52,0.00,-3.64
-73.64,41.52,0.00,-3.68
-73.44,41.52,0.00,-3.72
-73.24,41.52,0.00,-3.77
-73.04,41.52,0.00,-3.80
-72.84,41.52,0.00,-3.80
-72.64,41.52,0.00,-3.80
-72.44,41.52,0.00,-3.80
