Longitude,Latitude,D (m),log(D)
-112.03,42.02,0.53,-0.27
-111.90,42.02,0.33,-0.48
-111.78,42.02,0.31,-0.51
-111.65,42.02,0.30,-0.53
-111.53,42.02,0.33,-0.48
-111.40,42.02,0.38,-0.42
-111.28,42.02,0.46,-0.33
-111.15,42.02,0.46,-0.34
-112.03,42.11,0.47,-0.33
-111.90,42.11,0.32,-0.50
-111.78,42.11,0.29,-0.54
-111.65,42.11,0.31,-0.51
-111.53,42.11,0.35,-0.46
-111.40,42.11,0.42,-0.38
-111.28,42.11,0.52,-0.28
-111.15,42.11,0.48,-0.31
-112.03,42.19,0.25,-0.61
-111.90,42.19,0.24,-0.63
-111.78,42.19,0.25,-0.60
-111.65,42.19,0.30,-0.53
-111.53,42.19,0.36,-0.44
-111.40,42.19,0.51,-0.29
-111.28,42.19,0.56,-0.25
-111.15,42.19,0.47,-0.33
-112.03,42.28,0.18,-0.74
-111.90,42.28,0.21,-0.69
-111.78,42.28,0.24,-0.61
-111.65,42.28,0.30,-0.52
-111.53,42.28,0.38,-0.42
-111.40,42.28,0.46,-0.33
-111.28,42.28,0.54,-0.26
-111.15,42.28,0.44,-0.36
-112.28,42.37,0.12,-0.91
-112.15,42.37,0.14,-0.85
-112.03,42.37,0.17,-0.78
-111.90,42.37,0.20,-0.70
-111.78,42.37,0.24,-0.61
-111.65,42.37,0.30,-0.52
-111.53,42.37,0.38,-0.43
-111.40,42.37,0.45,-0.34
-111.28,42.37,0.54,-0.27
-111.15,42.37,0.48,-0.32
-112.28,42.45,0.11,-0.95
-112.15,42.45,0.13,-0.88
-112.03,42.45,0.16,-0.80
-111.90,42.45,0.19,-0.71
-111.78,42.45,0.24,-0.62
-111.65,42.45,0.30,-0.52
-111.53,42.45,0.38,-0.42
-111.40,42.45,0.47,-0.33
-111.28,42.45,0.56,-0.25
-111.15,42.45,0.57,-0.25
-112.40,42.54,0.09,-1.06
-112.28,42.54,0.10,-0.98
-112.15,42.54,0.12,-0.91
-112.03,42.54,0.15,-0.82
-111.90,42.54,0.19,-0.73
-111.78,42.54,0.23,-0.64
-111.65,42.54,0.29,-0.53
-111.53,42.54,0.37,-0.43
-111.40,42.54,0.46,-0.34
-111.28,42.54,0.57,-0.25
-111.15,42.54,0.62,-0.21
-112.28,42.63,0.10,-1.02
-112.15,42.63,0.12,-0.94
-112.03,42.63,0.14,-0.85
-111.90,42.63,0.17,-0.76
-111.78,42.63,0.22,-0.66
-111.65,42.63,0.28,-0.56
-111.53,42.63,0.35,-0.45
-111.40,42.63,0.45,-0.35
-111.28,42.63,0.56,-0.25
-111.15,42.63,0.64,-0.19
-112.40,42.71,0.07,-1.14
-112.28,42.71,0.09,-1.05
-112.15,42.71,0.11,-0.97
-112.03,42.71,0.13,-0.88
-111.90,42.71,0.16,-0.79
-111.78,42.71,0.20,-0.69
-111.65,42.71,0.26,-0.59
-111.53,42.71,0.33,-0.49
-111.40,42.71,0.42,-0.38
-111.28,42.71,0.52,-0.29
-111.15,42.71,0.63,-0.20
-112.40,42.80,0.06,-1.19
-112.28,42.80,0.08,-1.09
-112.15,42.80,0.10,-1.00
-112.03,42.80,0.12,-0.91
-111.90,42.80,0.15,-0.82
-111.78,42.80,0.19,-0.72
-111.65,42.80,0.24,-0.63
-111.53,42.80,0.30,-0.52
-111.40,42.80,0.37,-0.43
-111.28,42.80,0.47,-0.33
-111.15,42.80,0.59,-0.23
-112.90,42.89,0.02,-1.74
-112.40,42.89,0.06,-1.25
-112.28,42.89,0.07,-1.14
-112.15,42.89,0.09,-1.04
-112.03,42.89,0.12,-0.94
-111.90,42.97,0.13,-0.87
-111.78,42.97,0.17,-0.77
-111.65,42.97,0.21,-0.67
-111.53,42.97,0.27,-0.57
-111.40,42.97,0.35,-0.46
-111.28,42.97,0.45,-0.34
-111.15,42.97,0.61,-0.21
-112.90,43.06,0.01,-1.85
-112.78,43.06,0.02,-1.76
-112.65,43.06,0.02,-1.65
-112.53,43.06,0.03,-1.52
-112.40,43.06,0.04,-1.38
-112.28,43.06,0.06,-1.24
-112.15,43.06,0.08,-1.12
-112.03,43.06,0.10,-1.01
-111.90,43.06,0.13,-0.90
-111.78,43.06,0.16,-0.80
-111.65,43.06,0.20,-0.70
-111.53,43.06,0.25,-0.60
-111.40,43.06,0.32,-0.49
-111.28,43.06,0.41,-0.39
-111.15,43.06,0.53,-0.27
-116.27,43.15,0.01,-1.98
-116.15,43.15,0.01,-1.97
-116.02,43.15,0.01,-1.95
-112.90,43.15,0.01,-1.87
-112.78,43.15,0.02,-1.80
-112.65,43.15,0.02,-1.70
-112.53,43.15,0.03,-1.58
-112.40,43.15,0.04,-1.45
-112.28,43.15,0.05,-1.30
-112.15,43.15,0.07,-1.17
-112.03,43.15,0.09,-1.05
-111.90,43.15,0.11,-0.94
-111.78,43.15,0.15,-0.84
-111.65,43.15,0.18,-0.74
-111.53,43.15,0.23,-0.64
-111.40,43.15,0.28,-0.55
-111.28,43.15,0.35,-0.46
-111.15,43.15,0.43,-0.37
-116.27,43.23,0.01,-1.94
-116.15,43.23,0.01,-1.92
-116.02,43.23,0.01,-1.89
-112.90,43.23,0.01,-1.87
-112.78,43.23,0.02,-1.82
-112.65,43.23,0.02,-1.74
-112.53,43.23,0.02,-1.64
-112.40,43.23,0.03,-1.51
-112.28,43.23,0.04,-1.37
-112.15,43.23,0.06,-1.24
-112.03,43.23,0.08,-1.11
-111.90,43.23,0.10,-0.99
-111.78,43.23,0.13,-0.88
-111.65,43.23,0.16,-0.79
-111.53,43.23,0.20,-0.69
-111.40,43.23,0.25,-0.60
-111.28,43.23,0.30,-0.52
-111.15,43.23,0.36,-0.44
-116.52,43.32,0.01,-1.94
-116.40,43.32,0.01,-1.92
-116.27,43.32,0.01,-1.90
-116.15,43.32,0.01,-1.87
-116.02,43.32,0.01,-1.84
-112.90,43.32,0.01,-1.85
-112.78,43.32,0.02,-1.82
-112.65,43.32,0.02,-1.76
-112.53,43.32,0.02,-1.68
-112.40,43.32,0.03,-1.57
-112.28,43.32,0.04,-1.44
-112.15,43.32,0.05,-1.31
-112.03,43.32,0.07,-1.18
-111.90,43.32,0.09,-1.05
-111.78,43.32,0.11,-0.94
-111.65,43.32,0.14,-0.84
-111.53,43.32,0.18,-0.74
-111.40,43.32,0.22,-0.65
-111.28,43.32,0.28,-0.56
-111.15,43.32,0.34,-0.47
-116.65,43.41,0.01,-1.92
-116.52,43.41,0.01,-1.90
-116.40,43.41,0.01,-1.88
-116.27,43.41,0.01,-1.85
-116.15,43.41,0.02,-1.81
-116.02,43.41,0.02,-1.77
-112.90,43.41,0.02,-1.81
-112.78,43.41,0.02,-1.80
-112.65,43.41,0.02,-1.76
-112.53,43.41,0.02,-1.70
-112.40,43.41,0.02,-1.62
-112.28,43.41,0.03,-1.51
-112.15,43.41,0.04,-1.38
-112.03,43.41,0.06,-1.25
-111.90,43.41,0.08,-1.12
-111.78,43.41,0.10,-1.00
-111.65,43.41,0.13,-0.90
-111.53,43.41,0.16,-0.80
-111.40,43.41,0.20,-0.70
-111.28,43.41,0.25,-0.59
-111.15,43.41,0.33,-0.48
-116.77,43.49,0.01,-1.89
-116.65,43.49,0.01,-1.88
-116.52,43.49,0.01,-1.86
-116.40,43.49,0.01,-1.83
-116.27,43.49,0.02,-1.79
-116.15,43.49,0.02,-1.74
-116.02,43.49,0.02,-1.69
-112.78,43.49,0.02,-1.76
-112.65,43.49,0.02,-1.75
-112.53,43.49,0.02,-1.71
-112.40,43.49,0.02,-1.64
-112.28,43.49,0.03,-1.55
-112.15,43.49,0.04,-1.44
-112.03,43.49,0.05,-1.32
-111.90,43.49,0.06,-1.20
-111.78,43.49,0.08,-1.07
-111.65,43.49,0.11,-0.96
-111.53,43.49,0.14,-0.86
-111.40,43.49,0.18,-0.75
-111.28,43.49,0.23,-0.64
-111.15,43.49,0.30,-0.53
-116.77,43.58,0.01,-1.86
-116.65,43.58,0.01,-1.84
-116.52,43.58,0.02,-1.81
-116.40,43.58,0.02,-1.78
-116.27,43.58,0.02,-1.73
-116.15,43.58,0.02,-1.68
-116.02,43.58,0.02,-1.61
-112.65,43.58,0.02,-1.71
-112.53,43.58,0.02,-1.70
-112.40,43.58,0.02,-1.65
-112.28,43.58,0.03,-1.58
-112.15,43.58,0.03,-1.49
-112.03,43.58,0.04,-1.38
-111.90,43.58,0.05,-1.27
-111.78,43.58,0.07,-1.14
-111.65,43.58,0.09,-1.03
-111.53,43.58,0.12,-0.92
-111.40,43.58,0.15,-0.82
-111.28,43.58,0.19,-0.71
-111.15,43.58,0.25,-0.60
-116.90,43.67,0.01,-1.84
-116.77,43.67,0.02,-1.82
-116.65,43.67,0.02,-1.80
-116.52,43.67,0.02,-1.77
-116.40,43.67,0.02,-1.72
-116.27,43.67,0.02,-1.67
-116.15,43.67,0.02,-1.61
-113.90,43.67,0.07,-1.16
-113.78,43.67,0.06,-1.19
-111.65,43.67,0.08,-1.10
-111.53,43.67,0.10,-1.00
-111.40,43.67,0.13,-0.90
-111.28,43.67,0.16,-0.79
-111.15,43.67,0.21,-0.68
-117.02,43.75,0.02,-1.82
-116.90,43.75,0.02,-1.80
-116.77,43.75,0.02,-1.78
-116.65,43.75,0.02,-1.75
-116.52,43.75,0.02,-1.72
-116.40,43.75,0.02,-1.67
-116.27,43.75,0.02,-1.61
-113.90,43.75,0.09,-1.05
-113.78,43.75,0.08,-1.08
-113.65,43.75,0.08,-1.11
-113.53,43.75,0.07,-1.13
-111.78,43.75,0.05,-1.26
-111.65,43.75,0.07,-1.16
-111.53,43.75,0.09,-1.07
-111.40,43.75,0.11,-0.96
-111.28,43.75,0.14,-0.86
-111.15,43.75,0.18,-0.75
-117.02,43.84,0.02,-1.79
-114.28,43.84,0.15,-0.82
-114.15,43.84,0.13,-0.87
-114.03,43.84,0.12,-0.92
-113.90,43.84,0.11,-0.96
-113.78,43.84,0.10,-0.99
-113.65,43.84,0.10,-1.01
-113.53,43.84,0.09,-1.03
-113.40,43.84,0.09,-1.06
-111.90,43.84,0.04,-1.35
-111.78,43.84,0.05,-1.28
-111.65,43.84,0.06,-1.19
-111.53,43.84,0.08,-1.11
-111.40,43.84,0.10,-1.01
-111.28,43.84,0.12,-0.91
-111.15,43.84,0.16,-0.79
-114.65,43.93,0.26,-0.59
-114.53,43.93,0.23,-0.63
-114.40,43.93,0.21,-0.68
-114.28,43.93,0.18,-0.75
-114.15,43.93,0.16,-0.80
-114.03,43.93,0.14,-0.85
-113.90,43.93,0.13,-0.88
-113.78,43.93,0.12,-0.91
-113.65,43.93,0.12,-0.93
-113.53,43.93,0.11,-0.95
-111.90,43.93,0.05,-1.31
-111.78,43.93,0.06,-1.24
-111.65,43.93,0.07,-1.18
-111.53,43.93,0.08,-1.10
-111.40,43.93,0.10,-1.01
-111.28,43.93,0.12,-0.91
-111.15,43.93,0.16,-0.80
-114.90,44.01,0.34,-0.47
-114.78,44.01,0.33,-0.48
-114.65,44.01,0.29,-0.53
-114.53,44.01,0.26,-0.58
