Longitude,Latitude,D (m),Log(D)
-112.30,44.34,0.16,-0.808465153
-112.20,44.34,0.17,-0.7698833132
-112.11,44.34,0.19,-0.7309776653
-112.01,44.34,0.20,-0.699317579
-111.91,44.34,0.21,-0.6734593315
-111.81,44.34,0.22,-0.6586842054
-111.71,44.34,0.25,-0.6096125197
-111.61,44.34,0.27,-0.5761481756
-111.52,44.34,0.28,-0.5561270812
-111.42,44.34,0.29,-0.5395381733
-111.32,44.34,0.30,-0.5252885146
-112.89,44.42,0.13,-0.8887711018
-112.79,44.42,0.14,-0.864072665
-112.69,44.42,0.15,-0.8259401923
-112.60,44.42,0.16,-0.7908336333
-112.50,44.42,0.17,-0.7626825158
-112.40,44.42,0.19,-0.7282977616
-112.30,44.42,0.21,-0.6797706033
-112.20,44.42,0.24,-0.6212206689
-112.11,44.42,0.27,-0.5714926504
-112.01,44.42,0.29,-0.5355253565
-111.91,44.42,0.31,-0.5114069841
-111.81,44.42,0.32,-0.4912279517
-111.71,44.42,0.36,-0.4419517709
-111.61,44.42,0.39,-0.4039860199
-111.52,44.42,0.41,-0.3899256779
-111.42,44.42,0.42,-0.3814812367
-111.32,44.42,0.42,-0.380499709
-111.22,44.42,0.40,-0.3940918866
-112.99,44.49,0.14,-0.862867524
-112.89,44.49,0.15,-0.8296502609
-112.79,44.49,0.17,-0.7679446092
-112.69,44.49,0.21,-0.682229077
-112.60,44.49,0.23,-0.632308702
-112.50,44.49,0.24,-0.6263525278
-112.40,44.49,0.24,-0.6161128557
-112.30,44.49,0.27,-0.5650161598
-112.20,44.49,0.33,-0.4879295986
-112.11,44.49,0.39,-0.4062820691
-112.01,44.49,0.45,-0.3498576762
-111.91,44.49,0.48,-0.3207084097
-111.81,44.49,0.51,-0.2956006505
-111.71,44.49,0.57,-0.2406570536
-111.61,44.49,0.64,-0.1914919443
-111.52,44.49,0.64,-0.1911748302
-111.42,44.49,0.63,-0.2021786886
-111.32,44.49,0.61,-0.2112025699
-111.22,44.49,0.55,-0.2561297794
-111.12,44.49,0.50,-0.3001969497
-113.09,44.56,0.14,-0.8558618623
-112.99,44.56,0.15,-0.8169010599
-112.89,44.56,0.18,-0.7489704615
-112.79,44.56,0.23,-0.6380078912
-112.69,44.56,0.34,-0.4652126414
-112.60,44.56,0.41,-0.3894037084
-112.50,44.56,0.33,-0.4865826171
-112.40,44.56,0.30,-0.5279899499
-112.30,44.56,0.33,-0.4827249066
-112.20,44.56,0.42,-0.3751200005
-112.11,44.56,0.58,-0.2397962268
-112.01,44.56,0.78,-0.108713491
-111.91,44.56,0.88,-0.05529530221
-111.81,44.56,0.97,-0.01343874808
-111.71,44.56,1.13,0.05356243126
-111.61,44.56,1.47,0.1678104369
-111.52,44.56,1.13,0.05188537889
-111.42,44.56,1.01,0.003408827308
-111.32,44.56,0.87,-0.06197589339
-111.22,44.56,0.72,-0.1397578483
-111.12,44.56,0.63,-0.2000257054
-111.03,44.56,0.57,-0.2407402061
-113.09,44.64,0.15,-0.8208505196
-112.99,44.64,0.18,-0.7566146546
-112.89,44.64,0.22,-0.6515198965
-112.79,44.64,0.34,-0.4700181442
-112.69,44.64,0.66,-0.1825205724
-112.60,44.64,0.64,-0.1933181631
-112.50,44.64,0.37,-0.4352156155
-112.40,44.64,0.32,-0.4991599954
-112.30,44.64,0.35,-0.4542229615
-112.20,44.64,0.45,-0.3439305602
-112.11,44.64,0.61,-0.2168113089
-112.01,44.64,0.78,-0.106821016
-111.91,44.64,1.09,0.03732687769
-111.81,44.64,1.19,0.07461167444
-111.71,44.64,1.20,0.08067337665
