Longitude,Latitude,D (m),log(D)
-119.19,42.15,0.10,-0.98
-117.50,42.08,0.11,-0.96
-117.26,42.07,0.07,-1.16
-117.02,42.06,0.05,-1.30
-119.42,42.34,0.11,-0.96
-119.18,42.33,0.10,-1.00
-117.49,42.26,0.09,-1.03
-117.24,42.25,0.06,-1.22
-119.41,42.52,0.10,-1.01
-119.17,42.51,0.09,-1.04
-118.92,42.50,0.14,-0.85
-117.95,42.46,0.15,-0.83
-117.71,42.45,0.11,-0.97
-117.47,42.44,0.08,-1.11
-117.23,42.43,0.06,-1.25
-119.64,42.70,0.14,-0.85
-119.40,42.70,0.09,-1.07
-119.16,42.69,0.08,-1.11
-118.91,42.68,0.11,-0.95
-117.94,42.64,0.12,-0.91
-117.70,42.63,0.09,-1.06
-117.45,42.62,0.07,-1.19
-117.21,42.61,0.05,-1.30
-119.63,42.88,0.11,-0.98
-119.39,42.88,0.07,-1.17
-119.15,42.87,0.06,-1.20
-118.90,42.86,0.09,-1.07
-118.66,42.85,0.16,-0.80
-117.93,42.82,0.11,-0.94
-117.68,42.81,0.08,-1.08
-117.44,42.80,0.06,-1.24
-117.19,42.79,0.04,-1.35
-119.87,43.07,0.11,-0.96
-119.62,43.06,0.07,-1.16
-119.38,43.06,0.05,-1.29
-119.13,43.05,0.05,-1.29
-118.89,43.04,0.06,-1.19
-118.64,43.03,0.10,-1.02
-118.40,43.02,0.16,-0.79
-117.91,43.00,0.13,-0.90
-117.67,42.99,0.07,-1.14
-117.42,42.98,0.05,-1.28
-117.18,42.97,0.04,-1.39
-120.11,43.26,0.12,-0.92
-119.86,43.25,0.07,-1.14
-119.61,43.24,0.05,-1.31
-119.37,43.24,0.04,-1.39
-119.12,43.23,0.04,-1.38
-118.88,43.22,0.05,-1.30
-118.63,43.21,0.06,-1.19
-118.39,43.20,0.09,-1.03
-118.14,43.19,0.12,-0.92
-117.90,43.18,0.09,-1.03
-117.65,43.17,0.07,-1.18
-117.41,43.16,0.05,-1.32
-117.16,43.14,0.04,-1.42
-120.10,43.44,0.08,-1.07
