Longitude,Latitude,D (m),log(D)
-113.63,38.24,0.08,-1.07
-113.45,38.24,0.11,-0.97
-113.28,38.24,0.14,-0.84
-113.11,38.24,0.20,-0.69
-112.94,38.24,0.29,-0.54
-112.77,38.24,0.37,-0.43
-112.59,38.24,0.45,-0.34
-112.42,38.24,0.51,-0.29
-112.25,38.24,0.52,-0.28
-112.08,38.24,0.48,-0.32
-111.91,38.24,0.39,-0.41
-111.73,38.24,0.29,-0.54
-111.56,38.24,0.20,-0.69
-111.39,38.24,0.14,-0.87
-111.22,38.24,0.09,-1.06
-111.05,38.24,0.05,-1.28
-110.87,38.24,0.03,-1.51
-110.70,38.24,0.02,-1.74
-113.63,38.38,0.07,-1.13
-113.45,38.38,0.09,-1.03
-113.28,38.38,0.12,-0.91
-113.11,38.38,0.17,-0.78
-112.94,38.38,0.23,-0.64
-112.77,38.38,0.31,-0.51
-112.59,38.38,0.40,-0.40
-112.42,38.38,0.49,-0.31
-112.25,38.38,0.54,-0.27
-112.08,38.38,0.52,-0.28
-111.91,38.38,0.45,-0.35
-111.73,38.38,0.35,-0.45
-111.56,38.38,0.26,-0.59
-111.39,38.38,0.17,-0.76
-111.22,38.38,0.11,-0.96
-111.05,38.38,0.06,-1.19
-110.87,38.38,0.04,-1.43
-110.70,38.38,0.02,-1.67
-110.53,38.38,0.01,-1.89
-113.63,38.51,0.07,-1.18
-113.45,38.51,0.08,-1.10
-113.28,38.51,0.10,-0.98
-113.11,38.51,0.14,-0.85
-112.94,38.51,0.19,-0.71
-112.77,38.51,0.27,-0.58
-112.59,38.51,0.36,-0.45
-112.42,38.51,0.46,-0.33
-112.25,38.51,0.55,-0.26
-112.08,38.51,0.58,-0.24
-111.91,38.51,0.52,-0.28
-111.73,38.51,0.44,-0.36
-111.56,38.51,0.34,-0.46
-111.39,38.51,0.23,-0.63
-111.22,38.51,0.14,-0.85
-111.05,38.51,0.08,-1.10
-110.87,38.51,0.05,-1.34
-110.70,38.51,0.03,-1.59
-110.53,38.51,0.01,-1.83
-110.36,38.51,0.01,-2.07
-113.45,38.64,0.07,-1.16
-113.28,38.64,0.09,-1.05
-113.11,38.64,0.12,-0.93
-112.94,38.64,0.16,-0.79
-112.77,38.64,0.23,-0.64
-112.59,38.64,0.32,-0.50
-112.42,38.64,0.43,-0.37
-112.25,38.64,0.53,-0.27
-112.08,38.64,0.59,-0.23
-111.91,38.64,0.56,-0.25
-111.73,38.64,0.52,-0.29
-111.56,38.64,0.47,-0.33
-111.39,38.64,0.32,-0.50
-111.22,38.64,0.17,-0.76
-111.05,38.64,0.10,-1.02
-110.87,38.64,0.05,-1.27
-110.70,38.64,0.03,-1.53
-110.53,38.64,0.02,-1.77
-110.36,38.64,0.01,-2.01
-110.18,38.64,0.01,-2.25
-113.45,38.77,0.06,-1.20
-113.28,38.77,0.08,-1.12
-113.11,38.77,0.10,-1.00
-112.94,38.77,0.14,-0.86
-112.77,38.77,0.19,-0.71
-112.59,38.77,0.27,-0.57
-112.42,38.77,0.37,-0.43
-112.25,38.77,0.47,-0.33
-112.08,38.77,0.52,-0.28
-111.91,38.77,0.53,-0.28
-111.73,38.77,0.53,-0.28
-111.56,38.77,0.51,-0.29
-111.39,38.77,0.35,-0.46
-111.22,38.77,0.19,-0.72
-111.05,38.77,0.11,-0.97
-110.87,38.77,0.06,-1.22
-110.70,38.77,0.03,-1.48
-110.53,38.77,0.02,-1.73
-110.36,38.77,0.01,-1.96
-110.18,38.77,0.01,-2.20
-113.28,38.90,0.07,-1.17
-113.11,38.90,0.09,-1.07
-112.94,38.90,0.12,-0.94
-112.77,38.90,0.16,-0.79
-112.59,38.90,0.23,-0.65
-112.42,38.90,0.30,-0.52
-112.25,38.90,0.38,-0.42
-112.08,38.90,0.43,-0.36
-111.91,38.90,0.45,-0.35
-111.73,38.90,0.44,-0.36
-111.56,38.90,0.41,-0.39
-111.39,38.90,0.30,-0.52
-111.22,38.90,0.19,-0.71
-111.05,38.90,0.12,-0.93
-110.87,38.90,0.07,-1.18
-110.70,38.90,0.04,-1.44
-110.53,38.90,0.02,-1.69
-110.36,38.90,0.01,-1.93
-110.18,38.90,0.01,-2.17
-110.01,38.90,0.00,-2.40
-113.11,39.04,0.07,-1.13
-112.94,39.04,0.10,-1.01
-112.77,39.04,0.13,-0.88
-112.59,39.04,0.18,-0.74
-112.42,39.04,0.25,-0.61
-112.25,39.04,0.31,-0.51
-112.08,39.04,0.35,-0.46
-111.91,39.04,0.36,-0.44
-111.73,39.04,0.35,-0.45
-111.56,39.04,0.33,-0.48
-111.39,39.04,0.28,-0.56
-111.22,39.04,0.20,-0.70
-111.05,39.04,0.12,-0.91
-110.87,39.04,0.07,-1.16
-110.70,39.04,0.04,-1.42
-110.53,39.04,0.02,-1.67
-110.36,39.04,0.01,-1.91
-110.18,39.04,0.01,-2.15
-110.01,39.04,0.00,-2.38
-113.11,39.17,0.06,-1.19
-112.94,39.17,0.08,-1.08
-112.77,39.17,0.11,-0.96
-112.59,39.17,0.15,-0.83
-112.42,39.17,0.20,-0.70
-112.25,39.17,0.25,-0.60
-112.08,39.17,0.30,-0.52
-111.91,39.17,0.33,-0.48
-111.73,39.17,0.31,-0.51
-111.56,39.17,0.29,-0.53
-111.39,39.17,0.27,-0.57
-111.22,39.17,0.20,-0.69
-111.05,39.17,0.12,-0.91
-110.87,39.17,0.07,-1.16
-110.70,39.17,0.04,-1.41
-110.53,39.17,0.02,-1.67
-110.36,39.17,0.01,-1.90
-110.18,39.17,0.01,-2.14
-110.01,39.17,0.00,-2.37
-109.84,39.17,0.00,-2.60
-112.94,39.30,0.07,-1.15
-112.77,39.30,0.09,-1.03
-112.59,39.30,0.12,-0.90
-112.42,39.30,0.17,-0.76
-112.25,39.30,0.24,-0.62
-112.08,39.30,0.38,-0.42
-111.91,39.30,0.57,-0.25
-111.73,39.30,0.34,-0.47
-111.56,39.30,0.27,-0.57
-111.39,39.30,0.25,-0.60
-111.22,39.30,0.20,-0.70
-111.05,39.30,0.12,-0.93
-110.87,39.30,0.07,-1.18
-110.70,39.30,0.04,-1.42
-110.53,39.30,0.02,-1.66
-110.36,39.30,0.01,-1.90
-110.18,39.30,0.01,-2.13
-110.01,39.30,0.00,-2.36
-109.84,39.30,0.00,-2.59
-112.94,39.43,0.06,-1.20
-112.77,39.43,0.08,-1.09
-112.59,39.43,0.11,-0.95
-112.42,39.43,0.17,-0.78
-112.25,39.43,0.28,-0.55
-112.08,39.43,0.52,-0.28
-111.91,39.43,2.31,0.36
-111.73,39.43,0.43,-0.36
-111.56,39.43,0.28,-0.56
-111.39,39.43,0.24,-0.63
-111.22,39.43,0.19,-0.73
-111.05,39.43,0.12,-0.92
-110.87,39.43,0.07,-1.17
-110.70,39.43,0.04,-1.40
-110.53,39.43,0.02,-1.64
-110.36,39.43,0.01,-1.88
-110.18,39.43,0.01,-2.11
-110.01,39.43,0.00,-2.34
-109.84,39.43,0.00,-2.58
-112.77,39.57,0.08,-1.11
-112.59,39.57,0.11,-0.97
-112.42,39.57,0.16,-0.78
-112.25,39.57,0.28,-0.55
-112.08,39.57,0.51,-0.29
-111.91,39.57,1.17,0.07
-111.73,39.57,0.82,-0.08
-111.56,39.57,0.37,-0.43
-111.39,39.57,0.26,-0.59
-111.22,39.57,0.18,-0.73
-111.05,39.57,0.12,-0.91
-110.87,39.57,0.07,-1.14
-110.70,39.57,0.04,-1.38
-110.53,39.57,0.02,-1.61
-110.36,39.57,0.01,-1.84
-110.18,39.57,0.01,-2.07
-110.01,39.57,0.00,-2.31
-109.84,39.57,0.00,-2.56
-112.77,39.70,0.08,-1.08
-112.59,39.70,0.12,-0.94
-112.42,39.70,0.18,-0.73
-112.25,39.70,0.36,-0.45
-112.08,39.70,0.78,-0.11
