Longitude,Latitude,D (m),log(D)
-79.647,33.633,0.00136,-2.866461092
-79.927,33.773,0.00129,-2.88941029
-79.857,33.773,0.00121,-2.91721463
-79.787,33.773,0.00112,-2.950781977
-79.717,33.773,0.00103,-2.987162775
-79.647,33.773,0.00093,-3.031517051
-82.994,35.081,0.00025,-3.602059991
-83.17,35.072,0.00025,-3.602059991
-83.356,34.877,0.00021,-3.677780705
-82.813,35.172,0.00022,-3.657577319
-82.632,35.21,0.00019,-3.721246399
-82.461,35.258,0.00015,-3.823908741
-82.271,35.272,0.00013,-3.886056648
-82.08,35.277,0.0001,-4
-81.904,35.258,0.00009,-4.045757491
-81.719,35.248,0.00007,-4.15490196
-81.543,35.253,0.00007,-4.15490196
-81.381,35.243,0.00006,-4.22184875
-81.186,35.248,0.00006,-4.22184875
-80.976,35.224,0.00006,-4.22184875
-80.814,35.086,0.00007,-4.15490196
-80.529,34.877,0.0001,-4
-80.367,34.877,0.0001,-4
-80.201,34.877,0.0001,-4
-80.015,34.877,0.00009,-4.045757491
-79.872,34.863,0.00009,-4.045757491
-79.725,34.863,0.00008,-4.096910013
-79.549,34.81,0.00008,-4.096910013
-79.415,34.691,0.00008,-4.096910013
-79.282,34.568,0.00009,-4.045757491
-79.177,34.468,0.00009,-4.045757491
-79.03,34.358,0.00009,-4.045757491
-78.873,34.22,0.00009,-4.045757491
-78.759,34.111,0.00009,-4.045757491
-78.825,33.806,0.00015,-3.823908741
-79.35,34.05,0.00026,-3.585026652
-79.209,33.892,0.00029,-3.537602002
-78.792,33.996,0.00011,-3.958607315
-78.654,34.025,0.00009,-4.045757491
-78.521,33.83,0.00009,-4.045757491
-78.712,33.789,0.00012,-3.920818754
-78.659,33.716,0.00012,-3.920818754
-78.825,33.673,0.00018,-3.744727495
-78.996,33.687,0.00027,-3.568636236
-78.939,33.549,0.0003,-3.522878745
-79.135,33.506,0.00055,-3.259637311
-79.035,33.402,0.00049,-3.30980392
-79.101,33.273,0.0007,-3.15490196
-79.23,33.142,0.00117,-2.931814138
-79.385,33.074,0.00209,-2.679853714
-79.317,33.03,0.00164,-2.785156152
-79.459,33.014,0.00286,-2.543633967
-79.431,32.95,0.00254,-2.595166283
-79.513,32.966,0.00351,-2.454692884
-79.684,32.92,0.00612,-2.213248578
-79.588,32.925,0.0045,-2.346787486
-79.762,32.819,0.00718,-2.143875556
-79.699,32.859,0.00614,-2.211831629
-79.865,32.762,0.00873,-2.058985756
-79.779,32.77,0.00693,-2.159266765
-79.699,32.791,0.00565,-2.247951552
-79.646,32.831,0.00501,-2.300162274
-79.585,32.884,0.00437,-2.359518563
-79.865,32.695,0.00725,-2.139661993
-79.972,32.672,0.00826,-2.083019953
-79.916,32.629,0.00644,-2.191114133
-80.01,32.57,0.00581,-2.235823868
-80.072,32.559,0.00574,-2.241088108
-80.168,32.608,0.00696,-2.15739076
-80.23,32.605,0.00656,-2.183096161
-80.3,32.605,0.00604,-2.218963061
-80.32,32.572,0.00519,-2.284832642
-80.248,32.569,0.0056,-2.251811973
-80.179,32.568,0.00589,-2.229884705
-80.123,32.58,0.00631,-2.199970641
-80.148,32.544,0.00541,-2.266802735
-80.219,32.527,0.00492,-2.308034897
-80.334,32.531,0.00449,-2.347753659
-80.523,32.627,0.00423,-2.373659633
-80.454,32.55,0.00396,-2.402304814
-80.417,32.448,0.00303,-2.518557371
-80.329,32.471,0.00372,-2.42945706
