Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-110.978,41.939,22.667,26.217
-110.978,41.957,22.674,26.213
-110.954,41.957,22.973,26.802
-110.978,41.975,22.652,26.176
-110.954,41.975,22.971,26.798
-110.978,41.993,22.651,26.186
-110.954,41.993,22.968,26.8
-110.929,41.993,23.272,27.387
-110.978,42.011,22.561,26.008
-110.954,42.011,22.935,26.733
-110.929,42.011,23.213,27.269
-110.954,42.029,22.917,26.68
-110.929,42.029,23.15,27.123
-110.954,42.047,22.894,26.617
-110.929,42.047,23.16,27.136
-110.954,42.065,22.915,26.659
-110.929,42.065,23.132,27.079
-110.954,42.083,22.891,26.617
-110.929,42.083,23.083,26.987
-110.954,42.101,22.794,26.433
-110.929,42.101,22.971,26.788
-110.954,42.119,22.633,26.12
-110.929,42.119,22.773,26.386
-110.929,42.137,22.577,26.009
-110.953,42.569,26.069,33.244
-110.929,42.569,26.231,33.609
-110.978,42.587,26.262,33.735
-110.953,42.587,26.383,33.993
-110.929,42.587,26.637,34.629
-110.978,42.605,26.598,34.561
-110.953,42.605,26.69,34.757
-110.929,42.605,26.857,35.177
-111.002,42.623,26.745,34.922
-110.978,42.623,26.89,35.266
-110.953,42.623,26.997,35.517
-110.929,42.623,27.103,35.765
-111.026,42.641,26.636,34.629
-111.002,42.641,26.898,35.278
-110.978,42.641,27.191,36.009
-110.953,42.641,27.281,36.209
-110.929,42.641,27.288,36.206
-111.026,42.659,26.812,35.074
-111.002,42.659,27.113,35.815
-110.978,42.659,27.416,36.589
-110.953,42.659,27.493,36.761
-110.929,42.659,27.48,36.701
-111.026,42.677,27.029,35.648
-111.002,42.677,27.396,36.572
-110.978,42.677,27.579,37.023
-110.953,42.677,27.663,37.217
-110.929,42.677,27.653,37.186
-111.051,42.695,26.755,34.955
-111.026,42.695,27.171,36.003
-111.002,42.695,27.597,37.125
-110.978,42.695,27.854,37.814
-110.953,42.695,27.866,37.8
-110.929,42.695,27.869,37.8
