Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-146.676,61.116,43.631,120.045
-145.186,61.038,43.354,115.772
-145.131,61.034,43.279,114.967
-145.076,61.031,43.149,113.719
-145.021,61.028,43.069,112.846
-144.966,61.025,43.017,112.247
-144.911,61.021,42.964,111.587
-144.856,61.018,42.951,111.238
-144.801,61.015,42.93,110.868
-144.746,61.011,42.951,110.868
-144.691,61.008,42.944,110.63
-144.637,61.004,42.934,110.393
-144.582,61.001,42.994,110.803
-144.527,60.997,42.984,110.565
-144.472,60.994,43.054,111.02
-144.417,60.99,43.101,111.281
-144.362,60.987,43.096,111.129
-144.307,60.983,43.193,111.828
-144.253,60.98,43.199,111.785
-144.198,60.976,43.294,112.49
-144.143,60.973,43.401,113.292
-144.088,60.969,43.448,113.629
-144.034,60.965,43.602,114.852
-143.979,60.962,43.654,115.265
-143.924,60.958,43.973,118.189
-143.87,60.954,44.062,118.835
-143.815,60.95,44.062,118.811
-143.76,60.947,44.2,119.801
-143.706,60.943,44.212,119.874
-143.651,60.939,44.262,120.216
-143.596,60.935,44.322,120.656
-143.542,60.931,44.304,120.485
-143.487,60.928,44.466,121.719
-143.433,60.924,44.509,122.043
-143.378,60.92,44.588,122.62
-143.323,60.916,44.663,123.2
-143.269,60.912,44.641,122.998
-143.214,60.908,44.751,123.861
-143.16,60.904,44.746,123.81
-143.105,60.9,44.774,124.014
-143.051,60.896,44.801,124.219
-142.997,60.892,44.731,123.631
-142.942,60.888,44.785,124.065
-142.888,60.883,44.795,124.116
-142.833,60.879,44.844,124.501
-142.779,60.875,44.89,124.862
-142.725,60.871,44.845,124.501
-142.67,60.867,44.932,125.198
-142.616,60.862,44.9,124.913
-142.562,60.858,44.907,124.965
-142.507,60.854,44.908,124.965
-142.453,60.85,44.815,124.219
-142.399,60.845,44.844,124.45
-142.344,60.841,44.792,124.014
-142.29,60.837,44.822,124.244
-142.236,60.832,44.856,124.527
-142.182,60.828,44.789,123.988
-142.128,60.823,44.855,124.501
-142.073,60.819,44.79,123.988
-142.019,60.815,44.783,123.937
-141.965,60.81,44.748,123.657
-141.911,60.806,44.646,122.821
-141.857,60.801,44.634,122.745
-141.803,60.796,44.526,121.894
-141.749,60.792,44.54,121.993
-141.695,60.787,44.528,121.894
-141.641,60.783,44.441,121.223
-141.587,60.778,44.451,121.297
-141.533,60.773,44.329,120.362
-141.479,60.769,44.294,120.094
-141.425,60.764,44.199,119.365
-141.371,60.759,44.04,118.189
-141.317,60.754,43.967,117.595
