Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-112.882,45.656,14.436,14.77
-110.207,45.656,13.541,13.797
-112.882,45.926,12.23,12.606
-110.589,46.196,15.172,15.686
-112.824,45.613,15.504,15.958
-112.57,45.613,17.398,18.237
-112.315,45.613,19.732,21.517
-111.807,45.613,22.361,25.823
-111.552,45.613,22.594,26.168
-110.789,45.613,20.484,22.547
-110.534,45.613,19.642,21.26
-110.28,45.613,15.085,15.419
-112.824,45.793,13.536,13.855
-112.57,45.793,15.569,15.998
-112.315,45.793,18.006,19.07
-112.061,45.793,20.002,21.947
-111.807,45.793,21.859,25.025
-111.552,45.793,22.42,25.969
-110.789,45.793,19.115,20.571
-110.534,45.793,16.429,16.977
-110.28,45.793,13.01,13.302
-112.57,45.973,14.194,14.519
-111.807,45.973,21.234,23.922
-111.552,45.973,22.167,25.558
-111.298,45.973,22.023,25.3
-111.043,45.973,20.814,23.258
-110.789,45.973,18.454,19.689
-110.534,45.973,15.319,15.763
-112.57,46.152,13.614,13.938
-111.298,46.152,21.848,24.986
-111.043,46.152,20.382,22.581
-110.789,46.152,17.907,19.011
-110.534,46.152,14.434,14.85
-112.824,46.332,12.717,13.109
-112.57,46.332,13.78,14.14
-111.298,46.332,21.215,23.913
-111.043,46.332,19.342,21.004
-110.789,46.332,16.795,17.591
-110.534,46.332,13.107,13.535
-111.711,45.578,22.716,26.408
-111.558,45.578,22.763,26.481
-111.558,45.686,22.493,26.05
-111.558,45.794,22.325,25.81
-111.406,45.794,22.619,26.371
-111.558,45.902,22.366,25.904
-111.406,45.902,22.644,26.446
-113.11,45.524,14.215,14.571
-113.009,45.524,15.052,15.472
-112.907,45.524,15.797,16.308
-112.806,45.524,16.485,17.127
-112.399,45.524,19.512,21.166
-112.298,45.524,20.262,22.307
-112.196,45.524,20.712,23.014
-112.095,45.524,21.116,23.652
-111.993,45.524,21.727,24.657
-111.892,45.524,22.329,25.718
-111.79,45.524,22.845,26.662
-111.485,45.524,23.13,27.192
-111.384,45.524,22.745,26.44
-111.282,45.524,22.41,25.822
-111.181,45.524,21.97,25.033
-111.079,45.524,21.593,24.347
-110.977,45.524,21.266,23.769
-110.876,45.524,21.039,23.398
-113.11,45.596,13.828,14.156
-113.009,45.596,14.477,14.82
-112.907,45.596,15.117,15.529
-112.806,45.596,15.864,16.376
-112.298,45.596,20.149,22.163
-112.196,45.596,20.424,22.577
-112.095,45.596,20.963,23.443
-111.993,45.596,21.58,24.471
-111.892,45.596,22.125,25.438
-111.79,45.596,22.558,26.195
-111.485,45.596,22.917,26.855
-111.384,45.596,22.616,26.263
-111.282,45.596,22.22,25.558
-111.181,45.596,21.662,24.557
-111.079,45.596,21.189,23.755
-110.977,45.596,20.78,23.046
-110.876,45.596,20.75,22.978
-113.11,45.668,12.872,13.228
-113.009,45.668,13.595,13.918
-112.907,45.668,14.234,14.56
-112.095,45.668,20.383,22.48
-111.993,45.668,20.944,23.381
-111.892,45.668,21.58,24.438
-111.485,45.668,22.436,25.958
-111.384,45.668,22.336,25.779
-111.282,45.668,22.018,25.231
-111.181,45.668,21.566,24.421
-111.079,45.668,21.016,23.474
-110.977,45.668,20.597,22.773
-110.876,45.668,20.025,21.85
-113.009,45.74,12.76,13.122
-111.587,45.74,22.343,25.799
-111.485,45.74,22.47,26.03
-111.384,45.74,22.272,25.684
-111.282,45.74,21.93,25.078
-111.181,45.74,21.535,24.368
-111.079,45.74,20.967,23.422
-110.977,45.74,20.424,22.514
-110.876,45.74,19.844,21.615
-113.009,45.812,12.195,12.584
-112.298,45.812,17.954,19.005
-112.196,45.812,18.926,20.356
-112.095,45.812,19.831,21.689
-111.993,45.812,20.622,22.923
-111.892,45.812,21.303,24.053
-111.485,45.812,22.633,26.4
-111.384,45.812,22.541,26.236
-111.282,45.812,22.334,25.858
-111.181,45.812,21.863,25.021
-111.079,45.812,21.124,23.735
-110.977,45.812,20.496,22.684
-110.876,45.812,19.743,21.5
-112.399,45.884,16.422,17.017
-112.298,45.884,17.483,18.36
-112.196,45.884,18.573,19.831
-112.095,45.884,19.515,21.206
-111.993,45.884,20.361,22.515
-111.892,45.884,21.125,23.774
-111.79,45.884,21.74,24.809
-111.688,45.884,21.982,25.231
-111.384,45.884,22.403,25.976
-111.282,45.884,22.127,25.508
-111.181,45.884,21.729,24.785
-111.079,45.884,21.234,23.933
-110.977,45.884,20.445,22.62
-110.876,45.884,19.61,21.319
-112.399,45.957,15.842,16.325
-112.298,45.957,16.879,17.584
-112.196,45.957,17.998,19.058
-112.095,45.957,19.005,20.47
-111.993,45.957,19.924,21.821
-111.892,45.957,20.76,23.128
-111.79,45.957,21.407,24.197
-111.688,45.957,21.898,25.064
-111.587,45.957,22.246,25.682
-111.384,45.957,22.283,25.739
-111.282,45.957,22.125,25.499
-111.181,45.957,21.639,24.597
-111.079,45.957,21.014,23.565
-110.977,45.957,20.335,22.449
-110.876,45.957,19.424,21.051
-112.399,46.029,15.534,15.951
-112.298,46.029,16.533,17.156
-112.196,46.029,17.597,18.508
-112.095,46.029,18.707,20.014
-111.993,46.029,19.771,21.598
-111.892,46.029,20.591,22.871
