Longitude,Latitude,PB_Nreq_Cetin,PB_CSR_
-73.668,40.981,1,7.434
-73.431,40.99,1,7.434
-73.194,40.999,1,7.434
-72.957,41.008,1,7.434
-72.719,41.016,1,7.434
-72.482,41.023,1,7.434
-72.244,41.03,1,7.434
-72.007,41.036,1,7.434
-71.769,41.042,1,7.434
-73.681,41.161,1,7.434
-73.443,41.17,1,7.434
-73.205,41.179,1,7.434
-72.967,41.188,1,7.434
-72.729,41.195,1,7.434
-72.491,41.203,1,7.434
-72.253,41.21,1,7.434
-72.015,41.216,1,7.434
-71.777,41.222,1,7.434
-73.694,41.34,1,7.434
-73.455,41.35,1,7.434
-73.217,41.359,1,7.434
-72.978,41.367,1,7.434
-72.74,41.375,1,7.434
-72.501,41.383,1,7.434
-72.262,41.39,1,7.434
-72.023,41.396,1,7.434
-71.784,41.402,1,7.434
-73.707,41.52,1,7.434
-73.468,41.529,1,7.434
-73.229,41.538,1,7.434
-72.989,41.547,1,7.434
-72.75,41.555,1,7.434
-72.511,41.563,1,7.434
-72.271,41.57,1,7.434
-72.032,41.576,1,7.434
-71.792,41.582,1,7.434
-73.72,41.699,1,7.434
-73.48,41.709,1,7.434
-73.24,41.718,1,7.434
-73,41.727,1,7.434
-72.761,41.735,1,7.434
-72.521,41.742,1,7.434
-72.28,41.749,1,7.434
-72.04,41.756,1,7.434
-71.8,41.762,1,7.434
-73.733,41.879,1,7.434
-73.493,41.889,1,7.434
-73.252,41.898,1,7.434
-73.012,41.906,1,7.434
-72.771,41.915,1,7.434
-72.53,41.922,1,7.434
-72.29,41.929,1,7.434
-72.049,41.936,1,7.434
-71.808,41.942,1,7.434
-73.746,42.058,1,7.434
-73.505,42.068,1,7.434
-73.264,42.077,1,7.434
-73.023,42.086,1,7.434
-72.782,42.094,1,7.434
-72.54,42.102,1,7.434
-72.299,42.109,1,7.434
-72.057,42.116,1,7.434
-71.816,42.122,1,7.434
