Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-73.668,40.981,0,0,0.5,1.52338824
-73.431,40.99,0,0,0.5,0.967197956
-73.194,40.999,0,0,0.5,0.616338224
-72.957,41.008,0,0,0.5,0.5
-72.719,41.016,0,0,0.5,0.5
-72.482,41.023,0,0,0.5,0.5
-72.244,41.03,0,0,0.5,0.5
-72.007,41.036,0,0,0.5,0.5
-71.769,41.042,0,0,0.5,0.5
-73.681,41.161,0,0,0.5,1.487292917
-73.443,41.17,0,0,0.5,0.974671155
-73.205,41.179,0,0,0.5,0.623041303
-72.967,41.188,0,0,0.5,0.5
-72.729,41.195,0,0,0.5,0.5
-72.491,41.203,0,0,0.5,0.5
-72.253,41.21,0,0,0.5,0.5
-72.015,41.216,0,0,0.5,0.5
-71.777,41.222,0,0,0.5,0.5
-73.694,41.34,0,0,0.5,1.224636847
-73.455,41.35,0,0,0.5,0.799724382
-73.217,41.359,0,0,0.5,0.570176623
-72.978,41.367,0,0,0.5,0.508689962
-72.74,41.375,0,0,0.5,0.580047336
-72.501,41.383,0,0,0.5,0.595170737
-72.262,41.39,0,0,0.5,0.504133181
-72.023,41.396,0,0,0.5,0.5
-71.784,41.402,0,0,0.5,0.5
-73.707,41.52,0,0,0.5,0.759605411
-73.468,41.529,0,0,0.5,0.586630962
-73.229,41.538,0,0,0.5,0.5
-72.989,41.547,0,0,0.5,0.5
-72.75,41.555,0,0,0.5,0.536022412
-72.511,41.563,0,0,0.5,0.574511975
-72.271,41.57,0,0,0.5,0.518997011
-72.032,41.576,0,0,0.5,0.5
-71.792,41.582,0,0,0.5,0.5
-73.72,41.699,0,0,0.5,0.5
-73.48,41.709,0,0,0.5,0.5
-73.24,41.718,0,0,0.5,0.5
-73,41.727,0,0,0.5,0.5
-72.761,41.735,0,0,0.5,0.5
-72.521,41.742,0,0,0.5,0.5
-72.28,41.749,0,0,0.5,0.5
-72.04,41.756,0,0,0.5,0.5
-71.8,41.762,0,0,0.5,0.5
-73.733,41.879,0,0,0.5,0.5
-73.493,41.889,0,0,0.5,0.5
-73.252,41.898,0,0,0.5,0.5
-73.012,41.906,0,0,0.5,0.5
-72.771,41.915,0,0,0.5,0.5
-72.53,41.922,0,0,0.5,0.5
-72.29,41.929,0,0,0.5,0.5
-72.049,41.936,0,0,0.5,0.5
-71.808,41.942,0,0,0.5,0.5
-73.746,42.058,0,0,0.5,0.5
-73.505,42.068,0,0,0.5,0.5
-73.264,42.077,0,0,0.5,0.5
-73.023,42.086,0,0,0.5,0.5
-72.782,42.094,0,0,0.5,0.5
-72.54,42.102,0,0,0.5,0.5
-72.299,42.109,0,0,0.5,0.5
-72.057,42.116,0,0,0.5,0.5
-71.816,42.122,0,0,0.5,0.5
