Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-110.978,41.939,0.0207,0.0234,34.39215833,24.01771243
-110.978,41.957,0.0207,0.0234,34.10407862,23.78885425
-110.954,41.957,0.020320232,0.0232,38.37633235,26.33288379
-110.978,41.975,0.0207,0.02337911,33.2005274,23.32405299
-110.954,41.975,0.020322443,0.0231,37.66274024,25.93703826
-110.978,41.993,0.02069733,0.0233,32.4177379,23.00622071
-110.954,41.993,0.020322959,0.0231,36.88249096,25.54358091
-110.929,41.993,0.02,0.024917673,41.43937352,28.26222627
-110.978,42.011,0.0208,0.0234,31.16002576,22.22643127
-110.954,42.011,0.0204,0.0231,36.03331467,25.07100727
-110.929,42.011,0.0201,0.0249,40.282106,27.56347589
-110.954,42.029,0.0204,0.0231,35.48555879,24.66189218
-110.929,42.029,0.0201,0.025,39.50284469,26.97907356
-110.954,42.047,0.0204,0.0231,35.17059615,24.38650036
-110.929,42.047,0.0201,0.0249,39.25687401,26.80560364
-110.954,42.065,0.0204,0.023,34.92120285,24.26042856
-110.929,42.065,0.0201,0.0249,38.73050085,26.46856831
-110.954,42.083,0.0204,0.023037043,34.35633831,23.98913148
-110.929,42.083,0.0202,0.0249,37.84853724,25.9668573
-110.954,42.101,0.0205,0.02309993,33.13444154,23.34425503
-110.929,42.101,0.0203,0.023,36.36525388,25.19335959
-110.954,42.119,0.0207,0.0232,31.45069641,22.33694114
-110.929,42.119,0.0205,0.0232,34.31579678,23.92287299
-110.929,42.137,0.0207,0.0234,32.3334491,22.74015471
-110.953,42.569,0.0233,0.027126261,55.67122723,35.14671653
-110.929,42.569,0.0232,0.0271,58.47993682,36.50585858
-110.978,42.587,0.0231,0.0288,56.10235986,35.85909165
-110.953,42.587,0.023,0.0288,58.9916375,37.10097281
-110.929,42.587,0.0249,0.0286,62.18899412,38.94661882
-110.978,42.605,0.0248,0.028308094,59.57924411,37.93462232
-110.953,42.605,0.0248,0.0284,61.92660355,38.88557007
-110.929,42.605,0.0247,0.0283,64.61498016,40.26056783
-111.002,42.623,0.024640435,0.029994844,60.30315167,38.3508934
-110.978,42.623,0.0246,0.03,63.42115828,39.80731857
-110.953,42.623,0.0245,0.028,65.82416455,40.8643678
-110.929,42.623,0.0245,0.03,67.08444533,41.4701561
-111.026,42.641,0.0247,0.03,57.74657271,36.86797884
-111.002,42.641,0.0245,0.0299,62.33719047,39.24789027
-110.978,42.641,0.0243,0.0297,66.64123778,41.63175153
-110.953,42.641,0.0243,0.029782668,68.66402044,42.4873108
-110.929,42.641,0.0243,0.0298,68.53694144,42.19330828
-111.026,42.659,0.0245,0.0298,59.67098546,37.97280275
-111.002,42.659,0.0244,0.0297,64.64417509,40.59130808
-110.978,42.659,0.0242,0.0296,69.07762982,43.07608026
-110.953,42.659,0.0242,0.0296,70.83004653,43.76759092
-110.929,42.659,0.0242,0.0296,70.17321297,43.15824331
-111.026,42.677,0.0244,0.0296,61.86403634,39.41515006
-111.002,42.677,0.0241,0.0295,67.42671834,42.47742744
-110.978,42.677,0.0241,0.0295,71.00757705,44.22628608
-110.953,42.677,0.024,0.0295,72.70180241,44.88855527
-110.929,42.677,0.0241,0.0295,71.60732183,44.15317905
-111.051,42.695,0.0245,0.0298,57.65046612,37.17252397
-111.026,42.695,0.0243,0.0295,63.47490949,40.40585449
-111.002,42.695,0.024,0.0293,69.65878735,43.98966316
-110.978,42.695,0.0258,0.0292,73.75544492,46.12962599
-110.953,42.695,0.0259,0.0293,74.6941745,46.22606434
-110.929,42.695,0.0258,0.0293,73.67762409,45.53846572
-111.051,42.713,0.0245,0.0297,58.21055083,37.55839785
-111.026,42.713,0.0241,0.0294,64.60813469,41.12180418
-111.002,42.713,0.0259,0.0292,70.71033722,44.49464952
-110.978,42.713,0.0258,0.0292,74.31271727,46.27465234
-110.953,42.713,0.0258,0.0292,75.7202395,46.72195412
-110.929,42.713,0.0256,0.0291,75.67064519,46.71644293
-111.026,42.731,0.0241,0.0294,63.51732853,40.39709138
-111.002,42.731,0.026,0.0293,68.97481963,43.26018775
-110.978,42.731,0.0257,0.0291,74.20139691,46.19238499
-110.953,42.731,0.0256,0.0291,77.31554874,47.5959258
-110.929,42.731,0.0256,0.0291,77.30940174,47.35290488
-111.026,42.749,0.024259597,0.0295,61.08737015,38.8737187
-111.002,42.749,0.026,0.0292,67.35076421,42.33314075
-110.978,42.749,0.0257,0.0291,73.2309283,45.55801667
-110.953,42.749,0.0255,0.0291,77.46280712,47.71889685
-110.929,42.749,0.0254,0.031,79.31134866,48.55988274
-111.026,42.767,0.0243,0.0294,59.71394362,38.26251224
-111.002,42.767,0.026,0.0292,65.81400171,41.63275951
-110.977,42.767,0.02570127,0.0291,72.10666373,44.88602438
-110.953,42.767,0.0255,0.029,76.84364543,47.37902637
-110.929,42.767,0.0253,0.0309,79.88378663,48.98966338
-111.026,42.785,0.0243,0.0294,58.29105328,37.80537609
-111.002,42.785,0.026,0.0292,64.31965079,41.08711121
-110.977,42.785,0.0257,0.029019766,70.83378119,44.44912287
-110.953,42.785,0.0255,0.031,75.79448802,46.88872238
-110.929,42.785,0.0253,0.0309,80.43883582,49.4240346
-111.002,42.803,0.0259,0.0291,64.00015156,41.04894302
-110.977,42.803,0.0256,0.031,70.37020949,44.37649153
-110.953,42.803,0.02540262,0.0309,75.87241248,47.1102559
-110.929,42.803,0.0252,0.0308,80.39227675,49.48863955
-111.002,42.821,0.025979664,0.0291,63.24071291,40.38751792
-110.977,42.821,0.0256,0.0309,70.19448569,44.1816386
-110.953,42.821,0.0254,0.0308,75.63385491,46.85769213
-110.929,42.821,0.0253,0.0308,79.72008195,48.86860999
-111.002,42.839,0.024065834,0.0292,61.83494818,39.35652037
-110.977,42.839,0.0257,0.029026605,68.47952293,42.8037362
-110.953,42.839,0.025450801,0.0309,74.56541943,46.02789605
-110.929,42.839,0.0252,0.0308,79.03239481,48.40116547
-111.002,42.857,0.024067998,0.0292,61.24617716,39.06910902
-110.977,42.857,0.0258,0.029,67.49060984,42.286687
-110.953,42.857,0.0255,0.0309,73.35630224,45.30649488
-110.928,42.857,0.0253,0.0308,77.84028824,47.67910265
-111.002,42.875,0.026,0.0291,61.98880851,39.79325509
-110.977,42.875,0.0257,0.031,67.38943794,42.40084293
-110.953,42.875,0.0255,0.0308,72.94418802,45.17549237
-110.928,42.875,0.0253,0.0308,77.30280593,47.47357214
-111.002,42.893,0.0258,0.031,63.65304568,40.92118381
-110.977,42.893,0.0256,0.0309,68.5806541,43.14099513
-110.953,42.893,0.0253,0.0307,73.883296,45.96935678
-110.928,42.893,0.0252,0.0307,76.82052752,47.41073898
-111.002,42.911,0.0258,0.0309,64.86498978,41.46915079
-110.977,42.911,0.0256,0.0309,69.15840884,43.47686861
-110.953,42.911,0.0254,0.0308,73.19917172,45.36456574
-110.928,42.911,0.02525663,0.0307,75.70133754,46.76214438
-111.002,42.911,0.0257,0.0309,64.97178241,41.50546186
-110.977,42.911,0.0256,0.0309,69.23984992,43.50071944
-110.953,42.911,0.0254,0.0308,73.27186747,45.3923752
-110.928,42.911,0.025244744,0.0307,75.79649129,46.79467394
-111.026,42.929,0.024,0.0291,60.20484723,38.85055312
-111.002,42.929,0.0258,0.031,64.72063094,41.08586816
-110.977,42.929,0.0257,0.030912498,68.58800787,42.91440186
-110.953,42.929,0.0254,0.0308,72.27172575,44.70123828
-110.928,42.929,0.0253,0.0307,73.7445066,45.45833375
-111.026,42.947,0.0241,0.0292,59.84631518,38.38426013
-111.002,42.947,0.0259,0.029,64.40453086,40.76007534
-110.977,42.947,0.0258,0.031,67.56222884,42.17065617
-110.953,42.947,0.0256,0.0309,70.30002338,43.46387166
-110.928,42.947,0.0255,0.030782784,70.7759292,43.64954319
-111.002,42.965,0.0259,0.029,63.9940045,40.69545394
-110.977,42.965,0.0258,0.031,66.63025716,41.79115499
-110.953,42.965,0.0256,0.0309,68.61240657,42.70837502
-111.002,42.983,0.0259,0.029,63.39852283,40.68632803
-111.783,44.601,0.0259,0.0292,72.04568328,46.16956486
-111.758,44.601,0.0258,0.0291,72.86218764,46.35319607
-111.733,44.602,0.0257,0.029,73.99308454,46.86010465
-111.708,44.602,0.0255,0.0308,76.03950169,48.19293307
-111.682,44.602,0.0255,0.0308,76.45112228,48.03073018
-111.657,44.602,0.025552418,0.0309,75.85213502,47.14957862
-111.632,44.602,0.0256,0.030984431,75.30418849,46.52596026
-111.607,44.602,0.0255,0.0309,75.81618335,46.83285749
-111.582,44.603,0.0256,0.0309,75.30476114,46.19129529
-111.556,44.603,0.0257,0.029,74.03355955,45.10590832
-111.531,44.603,0.0258,0.029090441,73.50211695,44.66063687
-111.506,44.603,0.025674957,0.029,74.25386079,45.18081528
-111.481,44.603,0.0257,0.029,73.48491562,44.54337292
-111.809,44.619,0.0258,0.0291,74.94644421,47.57425197
-111.783,44.619,0.0256,0.0309,76.33785038,48.39894943
-111.758,44.619,0.0254,0.0308,77.04212223,48.55547914
-111.733,44.62,0.0253,0.0307,77.93086975,48.94601534
-111.708,44.62,0.0252,0.0306,78.95506552,49.48996707
-111.683,44.62,0.0251,0.0305,78.94037766,49.31023198
-111.657,44.62,0.0253,0.030649771,77.82102225,47.93735846
-111.632,44.62,0.025256513,0.0306,77.2632012,47.54031566
-111.607,44.62,0.0252,0.030618948,77.5670638,47.51206236
-111.582,44.621,0.0252,0.030549429,78.07070221,47.65291188
-111.557,44.621,0.0254,0.0308,77.16874489,46.52494173
-111.531,44.621,0.0254,0.0307,77.29385951,46.57896175
-111.506,44.621,0.025321545,0.030694494,77.59820875,46.71038906
-111.481,44.621,0.0253,0.0307,77.66378833,46.78783835
-111.456,44.621,0.0255,0.0309,75.69045078,45.20932699
-111.91,44.636,0.0248,0.0284,66.50867878,42.04039387
-111.885,44.637,0.0244,0.0298,70.33228272,44.48838211
-111.859,44.637,0.0241,0.0295,72.35126803,45.65293143
-111.834,44.637,0.0258,0.0291,74.76806974,47.35946116
-111.809,44.637,0.0257,0.029,75.34112239,47.39454062
-111.759,44.637,0.0252,0.0306,77.90201311,48.8034312
-111.733,44.638,0.025,0.0304,78.72936951,49.35460421
-111.708,44.638,0.025,0.0304,78.28151524,48.8205887
-111.683,44.638,0.0251,0.030481144,77.52637551,47.99568981
-111.658,44.638,0.0251,0.0305,76.93868641,47.34126217
-111.632,44.638,0.025,0.0304,76.84148613,47.24491391
-111.607,44.638,0.0251,0.0304,76.93828572,46.91150981
-111.582,44.639,0.0251,0.0304,77.64942098,47.11059147
-111.557,44.639,0.0252,0.030554099,77.73842685,46.71453421
-111.532,44.639,0.0251,0.0305,78.41561102,47.02144754
-111.506,44.639,0.0251,0.0305,78.43693659,47.01162877
-111.481,44.639,0.0251,0.0305,78.60072202,47.06242019
-111.456,44.639,0.0253,0.0306,77.73795339,46.25058926
-111.431,44.639,0.0252,0.0305,77.60880612,46.33903551
-111.405,44.639,0.0253,0.0306,76.22977367,45.50318718
-111.607,44.656,0.0269,0.0302,75.72138389,46.45180299
-111.582,44.657,0.0269,0.0303,76.29369785,46.42072944
-111.557,44.657,0.0269,0.0302,77.28075147,46.82122216
-111.532,44.657,0.026968171,0.0303,77.30273077,46.55379086
-111.507,44.657,0.0269,0.0302,78.23727304,47.21232631
-111.481,44.657,0.027,0.0303,78.28844972,46.89678055
-111.456,44.657,0.026937206,0.0303,78.62509706,47.11956394
-111.431,44.657,0.027,0.0303,77.83008102,46.50521551
-112.069,41.911,0.0226,0.0269,46.88475335,32.64531729
-112.033,41.911,0.0223,0.0266,51.09509586,35.18623741
-111.997,41.912,0.0223,0.0266,50.09688365,34.41753575
-111.961,41.912,0.0226,0.0269,45.42743002,31.30635515
-111.02,41.916,0.0196,0.0224,25.22423683,18.8534781
-112.069,41.938,0.023,0.025368075,43.04377913,30.25070612
-112.033,41.938,0.0229,0.0252,44.262866,30.87511247
-111.997,41.939,0.022952014,0.025282704,42.36980589,29.56523146
-111.961,41.939,0.0212,0.0255,39.62201845,27.75759965
-111.02,41.943,0.0195,0.0223,25.40668882,18.82141272
-112.106,41.965,0.0217,0.0241,36.4752329,26.38303274
-112.07,41.965,0.0214,0.0259,39.14878196,27.92374493
-112.034,41.965,0.0214,0.0258,39.20377404,27.83048627
-111.998,41.966,0.0215,0.0259,36.44354772,26.05848222
-111.31,41.97,0.019,0.0238,34.50138552,23.68306023
-111.02,41.97,0.0195,0.022,25.36828187,18.88921098
-112.07,41.992,0.0217,0.0242,36.91788315,26.72687109
-112.034,41.993,0.0217,0.0242,36.61527273,26.42370404
-111.998,41.993,0.0219,0.0243,34.27329304,24.95831655
-111.31,41.997,0.0208,0.0235,36.29121594,24.82642362
-111.02,41.997,0.0195,0.024,24.70825081,18.59306892
-110.984,41.997,0.0208,0.0234,31.09582306,22.27746549
-112.071,42.019,0.020139979,0.0247,34.73631692,25.36709121
-112.035,42.02,0.0201,0.0246,35.09017405,25.5337671
-111.998,42.02,0.0202,0.0247,32.80808951,24.06684113
-111.346,42.024,0.0209,0.0237,34.25677014,23.50446396
-111.31,42.024,0.0206,0.0233,37.56297517,25.38831793
-111.274,42.024,0.0206,0.0234,37.02878944,24.98098629
-111.02,42.024,0.0196,0.0223,23.23471166,17.61561016
-110.984,42.024,0.0209,0.0234,29.55898179,21.34363948
-112.071,42.046,0.0205,0.0231,33.42676,24.57501505
-112.035,42.047,0.0204,0.025,34.0041171,24.88975107
-111.999,42.047,0.0205,0.023084644,31.80102872,23.41878915
-111.346,42.051,0.0208,0.0235,34.92091718,23.77033435
-111.31,42.051,0.020450233,0.0232,38.3112693,25.57836609
-111.274,42.051,0.0204,0.0232,38.26979029,25.48479385
-111.02,42.051,0.0195,0.0239,23.83177357,17.96212994
-110.984,42.051,0.0209,0.0234,29.51064805,21.18368973
-112.035,42.074,0.0206,0.0233,33.07185609,24.33191274
-111.999,42.074,0.020743597,0.0233,31.30087961,23.27093303
-111.346,42.078,0.0205,0.0232,36.18955221,24.51799867
-111.31,42.078,0.0202,0.0249,39.86242274,26.58715168
-111.274,42.078,0.0202,0.0249,39.55293875,26.30642969
-111.02,42.078,0.0194,0.0238,23.96723977,18.05364559
-110.984,42.078,0.0208,0.0232,29.68972555,21.36363317
-111.347,42.105,0.0203,0.023,37.80277199,25.49444287
-111.31,42.105,0.0219,0.0247,41.38463941,27.54738474
-111.274,42.105,0.02,0.0248,39.88714156,26.50955673
-111.02,42.105,0.0194,0.0238,23.33552038,17.77034159
-110.984,42.105,0.0209,0.0233,28.13047984,20.52074825
-111.347,42.132,0.020191414,0.0249,38.4339787,25.66408543
-111.31,42.132,0.0219,0.0247,41.47225021,27.32878252
-111.274,42.132,0.0219,0.0247,40.16703753,26.53938501
-111.02,42.132,0.0197,0.0222,21.54527952,16.67104847
-110.984,42.132,0.0192,0.0237,25.69375224,19.05145379
-111.383,42.159,0.0204,0.023,34.76745422,23.81267597
-111.347,42.159,0.02,0.0247,39.28522619,26.1775344
-111.311,42.159,0.0218,0.0245,41.89180418,27.52631638
-111.274,42.159,0.0219,0.0246,40.15022153,26.51430413
-110.984,42.159,0.0194,0.0238,23.85616603,17.98178188
-110.947,42.159,0.0191,0.0236,27.66288217,20.13864093
-111.383,42.186,0.0202,0.0248,35.6020024,24.38546783
-111.347,42.186,0.0219,0.0246,39.72410935,26.49041374
-111.311,42.186,0.0217,0.024325859,42.51239669,28.11107364
-111.274,42.186,0.0218,0.0244,40.05093747,26.67022782
-110.947,42.186,0.0198,0.0224,21.77100496,16.82138917
-111.384,42.213,0.0201,0.0246,35.94723067,24.69851322
-111.347,42.213,0.0219,0.0245,39.70789358,26.51776241
-111.311,42.213,0.0216,0.0242,42.40096592,28.07597915
-111.275,42.213,0.0217,0.0243,40.28756834,26.82683457
-111.384,42.24,0.02,0.024590878,36.44141644,24.80543464
-111.347,42.24,0.0217,0.0243,40.3575091,26.85836919
-111.311,42.24,0.0216,0.0242,41.60034035,27.4807678
-111.275,42.24,0.0219,0.0244,35.99952168,24.49988933
-111.384,42.267,0.0219,0.024410175,37.19138572,25.34529798
-111.348,42.267,0.0217,0.0243,40.33737152,26.89368934
-111.311,42.267,0.0216,0.0241,40.89421141,27.2617729
-111.384,42.294,0.0218,0.0242,37.42444492,25.74503621
-111.348,42.294,0.021648669,0.0241,39.86185499,26.78463722
-111.311,42.294,0.0215,0.0259,40.55000363,27.32679527
-111.384,42.321,0.0217,0.0241,36.70952069,25.33310565
-111.348,42.321,0.0215,0.0259,39.54948863,26.79853132
-111.311,42.321,0.0214,0.0258,39.94768242,27.02427866
-111.348,42.348,0.0216,0.0259,37.73760142,25.83734222
-111.312,42.348,0.0214,0.0257,39.46932805,26.76215852
-111.348,42.375,0.0214,0.0257,37.299098,25.79001812
-111.312,42.375,0.0212,0.0254,39.56993295,27.15633046
-111.348,42.402,0.0213,0.02541747,37.76146602,26.32063369
-111.312,42.402,0.021150135,0.025245803,38.76299058,26.84424886
-111.02,42.511,0.0224,0.0261,39.00668676,26.53863818
-110.984,42.511,0.022198041,0.026,42.21924744,28.21491773
-110.947,42.511,0.0222,0.0261,43.89379992,28.74093592
-111.057,42.538,0.0223,0.028,37.01476922,25.50411367
-111.02,42.538,0.022,0.0278,42.24421385,28.1385783
-110.984,42.538,0.0239,0.0277,46.63604586,30.27197945
-110.947,42.538,0.0237,0.0276,51.63486594,32.7532366
-111.057,42.565,0.022,0.0276,39.73190637,27.01183939
-111.02,42.565,0.0237,0.0274,45.46361192,30.00383104
-110.984,42.565,0.0235,0.0273,50.40871843,32.48342098
-111.093,42.592,0.0238,0.0272,39.77440908,27.70737174
-111.057,42.592,0.0234,0.029,45.28372723,30.45475314
-111.02,42.592,0.0232,0.0287,50.76799368,33.32401847
-111.093,42.619,0.0235,0.029,43.15632286,29.37911898
-111.057,42.619,0.0231,0.0286,49.81878304,32.67551691
-111.02,42.619,0.0248,0.0283,56.12495173,36.11908351
-111.13,42.646,0.023784168,0.0272,38.36954832,26.86176258
-111.093,42.646,0.0234,0.028777222,44.50928707,29.86575131
-111.057,42.646,0.0249,0.0281,52.62393985,34.25791544
-111.13,42.673,0.0236,0.029,40.03556087,27.97046092
-111.093,42.673,0.0232,0.0284,46.81210985,31.29746473
-111.057,42.673,0.0247,0.029890628,55.02893406,35.71875509
-111.13,42.7,0.0234,0.0286,41.39526725,28.92612578
-111.094,42.7,0.0249,0.029931167,49.4766938,33.28396152
-111.057,42.7,0.0245,0.029641683,57.59465267,37.38382124
-111.13,42.727,0.0235,0.0288,39.86680454,27.974834
-111.094,42.727,0.0231,0.0282,46.46134245,31.21133369
-111.057,42.727,0.0245,0.0296,56.6604996,36.71028269
-111.13,42.754,0.0237,0.027049937,37.75041269,26.74828545
-111.094,42.754,0.0232,0.0284,43.52526031,29.58362242
-111.057,42.754,0.0246,0.0297,53.6697161,35.08513432
-111.094,42.781,0.0232,0.0283,42.41983492,29.480465
-111.057,42.781,0.0247,0.0298,50.39901688,33.37924203
-111.094,42.808,0.0232,0.0282,41.81476022,29.3157751
-111.057,42.808,0.024649939,0.0296,49.75007805,33.36141711
-111.094,42.835,0.0233,0.0284,40.88306123,28.57454482
-111.057,42.835,0.0248,0.0298,48.25434413,32.13330295
-111.02,42.835,0.0243,0.0294,57.81970169,37.22604893
-111.094,42.862,0.0233,0.0283,41.05808394,28.64915767
-111.057,42.862,0.0247,0.029719296,48.25725567,32.26477544
-111.02,42.862,0.0243,0.0293,57.08283094,36.91704915
-111.094,42.889,0.0249,0.0298,44.74239229,31.06081115
-111.057,42.889,0.0244,0.0294,52.25423908,34.85088534
-111.131,42.916,0.0234,0.0284,40.03487197,28.4190187
-111.094,42.916,0.0248,0.0297,47.13584241,32.33982022
-111.057,42.916,0.0243,0.0293,54.57371798,36.16140395
-111.131,42.943,0.0234,0.0284,41.07588226,28.68040938
-111.094,42.943,0.024778878,0.0297,48.27300251,32.50505902
-111.057,42.943,0.0244,0.0294,54.46271163,35.68820946
-111.131,42.97,0.0233,0.0284,42.71347523,29.5320443
-111.094,42.97,0.0247,0.0297,49.6495215,33.32525029
-111.057,42.97,0.024403057,0.0294,55.09716478,36.11009678
-111.02,42.97,0.0241,0.0291,61.09846558,39.24862173
-111.131,42.997,0.0232,0.0283,42.72012061,29.93570876
-111.094,42.997,0.0247,0.0296,49.15100252,33.58671072
-111.057,42.997,0.0244,0.0294,53.92283188,35.7632155
-111.02,42.997,0.02408169,0.0291,59.95448994,39.07168652
-110.984,42.997,0.0258,0.0309,64.11416294,41.17560702
-110.947,42.997,0.026,0.029,59.24244239,38.04032283
-111.094,43.024,0.0233,0.0283,41.68982654,29.16309012
-111.057,43.024,0.025,0.0299,44.96800668,30.67857406
-111.02,43.024,0.0247,0.0296,48.54709987,32.51515317
-110.984,43.024,0.0244,0.0293,52.02158032,34.52199553
-110.947,43.024,0.0244,0.02933012,50.87344374,33.44421331
-111.776,44.561,0.0236,0.027174443,43.88658509,29.8709095
-111.739,44.561,0.0234,0.0289,46.22531918,30.98208472
-111.701,44.561,0.0232,0.0286,49.62979305,32.69658617
-111.663,44.562,0.025,0.0284,52.95709311,34.16451138
-111.625,44.562,0.0249,0.0283,54.35461997,34.65825731
-111.588,44.562,0.025,0.0283,53.42464898,33.9996864
-111.55,44.562,0.025,0.0283,52.47081361,33.41602914
-111.512,44.562,0.0231,0.028531015,51.2708802,32.47449552
-111.474,44.562,0.0232,0.0287,50.07730978,31.69496885
-111.436,44.563,0.0232,0.0287,49.23962181,31.17213482
-111.399,44.563,0.0233,0.0288,48.10846728,30.61269726
-111.361,44.563,0.0235,0.027008107,45.15698993,29.09964731
-112.117,44.585,0.021803671,0.0242,36.39422574,24.89404645
-112.079,44.585,0.021297933,0.0256,41.23914461,27.57509642
-112.041,44.586,0.0227,0.027,48.64331007,31.68366793
-112.004,44.586,0.0223,0.0264,52.21481555,33.88012417
-111.966,44.586,0.0221,0.0261,50.1082986,32.83034141
-111.928,44.587,0.0236,0.0275,52.44864521,34.51851631
-111.89,44.587,0.0235,0.0272,49.80459408,33.29719173
-111.852,44.587,0.023219923,0.0288,52.23069342,34.55624499
-111.815,44.588,0.0246,0.029849825,57.91013771,38.2696729
-111.777,44.588,0.0244,0.029595,60.55526479,39.52683803
-111.739,44.588,0.0243,0.0295,62.60221682,40.3499012
-111.701,44.588,0.024,0.0292,66.49600675,42.67961675
-111.663,44.589,0.0259,0.0292,72.00906952,44.9469617
-111.626,44.589,0.0259,0.0292,72.77786697,45.18778484
-111.588,44.589,0.0259,0.0292,71.91081262,44.38368783
-111.55,44.589,0.0241,0.0293,69.58260288,42.55779912
-111.512,44.589,0.0241,0.0293,69.78565606,42.64961207
-111.474,44.59,0.0241,0.0294,68.974977,41.98427264
-111.437,44.59,0.0243,0.0295,62.9055474,38.53445114
-111.399,44.59,0.024332016,0.0295,62.18568729,38.30972841
-111.361,44.59,0.0246,0.0297,56.18023946,35.1226291
-111.323,44.59,0.0249,0.03,48.82602147,31.46132367
-112.155,44.612,0.0217,0.024234973,39.73309343,26.64485736
-112.117,44.612,0.0212,0.0256,44.1436866,29.17711332
-112.08,44.612,0.0228,0.0252,47.60586219,31.00836384
-112.042,44.613,0.0224,0.0266,51.7195905,33.4214417
