Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.764,45.524,1.463279713,1.511685683,8.49008854,9.488427258
-111.7,45.525,1.428701225,1.659342955,8.872308568,9.741984352
-111.636,45.525,1.411253135,1.634176433,9.449208195,10.18464114
-111.572,45.525,1.415984483,1.642024221,9.163012659,9.914481741
-111.508,45.526,1.422848284,1.648254028,8.982572405,9.834218872
-111.444,45.526,1.460019427,1.506544485,8.208301736,9.27834834
-111.7,45.57,1.487578045,1.546099902,7.91535044,9.083003211
-111.636,45.57,1.472102314,1.523552558,8.099093163,9.218418659
-111.572,45.57,1.455907413,1.500657125,8.421466709,9.481010012
-111.508,45.571,1.466876178,1.515024019,8.293010664,9.365681265
-111.637,45.615,1.49877367,1.56055821,7.877205514,9.102349119
-111.573,45.615,1.478841259,1.5298315,8.116658817,9.310336004
-111.509,45.616,1.468807055,1.512903487,8.304516867,9.550989234
-111.573,45.66,1.304294765,1.564553782,7.761750117,9.086156937
-111.509,45.661,1.31787181,1.584389681,7.594021311,8.983025953
-111.574,45.705,1.315187026,1.577638031,7.702903296,9.101373967
-111.509,45.706,1.494757747,1.54444322,8.128612699,9.54174667
-111.574,45.75,1.331202277,1.597006586,7.519835941,9.008654375
-111.51,45.751,1.343509875,1.415293597,7.328795445,8.845223363
-111.575,45.795,1.32674735,1.590337783,7.646928339,9.124446066
-111.51,45.796,1.485314749,1.526913648,8.365646121,9.827539236
-111.446,45.796,1.345096441,1.415151868,7.477187714,8.987933481
-111.575,45.84,1.333519086,1.598948416,7.566233963,9.066065811
-111.511,45.841,1.340499318,1.408422166,7.476205008,9.040447381
-111.446,45.841,1.350848708,1.422853811,7.331984971,8.859514353
-111.382,45.841,1.348885112,1.41922348,7.462690857,8.976126538
-111.576,45.885,1.329769155,1.592091506,7.699331748,9.208161638
-111.511,45.886,1.30095833,1.549979695,8.157549621,9.645423889
-111.447,45.886,1.335843993,1.401916958,7.620871479,9.162133061
-111.382,45.886,1.342072875,1.409253344,7.550469752,9.129488003
-111.576,45.93,1.351590178,1.420675975,7.415969361,8.991024888
-111.512,45.931,1.334118146,1.597122339,7.634220309,9.184623447
-111.447,45.931,1.362256802,1.43372623,7.252030632,8.832248185
-111.383,45.931,1.346724352,1.414813612,7.5144536,9.096327983
-111.318,45.931,1.348272622,1.415198001,7.516560653,9.111913048
-111.576,45.975,1.355205367,1.425807994,7.441201426,8.992314851
-111.512,45.976,1.332898762,1.595604936,7.710749738,9.232443866
-111.447,45.976,1.336175477,1.400055868,7.670910041,9.219009878
-111.383,45.976,1.320287609,1.575448561,7.935854593,9.445745501
-111.318,45.976,1.356717631,1.427437953,7.437001087,9.006021544
-111.512,46.021,1.340511768,1.404147826,7.664780127,9.210800359
-111.448,46.021,1.340715614,1.404726179,7.649215377,9.219080243
-111.383,46.021,1.323962222,1.579648049,7.921591832,9.477786446
-111.319,46.021,1.348647909,1.413259207,7.640115758,9.246376032
-111.513,46.066,1.35630103,1.42478079,7.476125289,9.078297517
-111.448,46.066,1.371477295,1.447596564,7.191010795,8.768648964
-111.383,46.066,1.373652755,1.446837251,7.316040094,8.931692395
-111.448,46.111,1.36490919,1.436296206,7.420614689,9.019345077
-111.384,46.111,1.339400509,1.401718901,7.85118854,9.410017855
-111.516,46.381,1.381400251,1.480670526,8.194409011,9.403355348
-111.451,46.381,1.200021485,1.301078532,7.774892194,9.055535894
-113.088,45.494,0.281925419,0,0.8194441,2.349175039
-112.986,45.496,0.218847928,0,1.079850048,2.744092612
-112.884,45.498,0.320909419,0.193507505,1.310713337,3.059154289
-112.781,45.499,0.445209548,0.14053229,1.668990988,3.517845413
-112.679,45.501,0.508719332,0.229768593,1.896242475,3.794960032
-112.576,45.502,0.635412032,0.349387882,2.568073949,4.517791592
-112.474,45.504,0.724729598,0.411458549,3.122124301,5.058751954
-112.372,45.505,0.999854917,0.615618269,3.850992679,5.824856825
-112.269,45.506,1.072431124,0.999602888,4.734286098,6.575704984
