Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-124.08,43.51,2.8268,3.1197,703.5352,126.0436
-124.13,43.54,2.8079,3.1012,765.7312,136.5377
-124.08,43.54,2.8264,3.1199,706.6924,126.1834
-124.03,43.55,2.8455,3.1389,654.7956,117.1327
-124.23,43.57,2.9853,3.2735,907.8030,163.4275
-124.14,43.57,2.8069,3.1006,770.0134,137.4252
-124.09,43.58,2.8254,3.1194,711.6667,127.4277
-124.04,43.58,2.8442,3.1378,659.3425,118.1843
-124.19,43.61,2.9941,3.2860,839.2085,149.2642
-124.14,43.61,2.8060,3.1000,774.4825,136.9885
-124.09,43.61,2.8242,3.1183,716.4143,128.6984
-124.04,43.62,2.8430,3.1370,663.2460,118.4041
-124.19,43.64,2.9932,3.2851,844.8769,151.6080
-124.14,43.65,2.8045,3.2986,778.8684,137.7984
-124.10,43.65,2.8227,3.1172,719.4333,128.7522
-124.05,43.65,2.8420,3.1365,665.9398,119.2860
-124.20,43.68,2.9922,3.2840,849.6726,150.8786
-124.15,43.68,2.8028,3.2969,783.5807,140.2099
-124.10,43.69,2.8211,3.1157,722.4426,129.2415
-124.05,43.69,2.8401,3.1345,668.7220,119.9092
-124.15,43.72,2.8018,3.2960,788.1829,141.2771
-124.10,43.72,2.8194,3.1141,727.7875,130.6681
-124.05,43.72,2.8380,3.1325,674.6170,121.1961
-124.01,43.73,2.8571,3.1511,626.3623,112.5333
-124.16,43.75,2.8010,3.2948,793.9185,141.0236
-124.11,43.76,2.8174,3.1120,733.7532,131.6609
-124.06,43.76,2.8359,3.1305,678.7320,121.8771
-124.01,43.76,2.8551,3.1492,630.0815,113.0941
-124.16,43.79,2.8003,3.2939,799.0794,143.3710
-124.11,43.79,2.8157,3.1103,738.4554,132.9361
-124.06,43.80,2.8342,3.1288,683.4221,123.0804
-124.01,43.80,2.8531,3.1469,634.0403,114.5327
-124.17,43.83,2.9999,3.2933,803.8710,144.1296
-124.12,43.83,2.8145,3.1090,743.0980,133.4002
-124.07,43.83,2.8325,3.1270,687.1279,123.1870
-124.02,43.83,2.8513,3.1452,636.9273,114.3731
-124.07,43.87,2.8306,3.1248,691.5146,123.9909
-124.02,43.87,2.8487,3.1424,641.3778,115.1983
-124.13,43.90,2.8115,3.1055,752.8742,135.2490
-124.08,43.90,2.8287,3.1224,696.5773,125.2777
-124.03,43.91,2.8465,3.1398,646.4178,116.4441
