Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT,,,
-81.886,33.328,0,0,0.5,1.318552001,,0,0
-82.103,33.507,0,0,0.5,1.266347348,,0,0
-81.888,33.508,0,0,0.5,1.398292234,,0,0
-82.321,33.685,1.58E-01,0,0.876143433,2.559286824,,15.8,0
-82.105,33.687,0,0,0.5,1.588612508,,0,0
-82.54,33.863,5.16E-01,5.83E-01,3.782414274,7.282712156,,51.6,58.3
-82.324,33.865,4.77E-01,2.36E-01,2.571120487,5.322479209,,47.7,23.6
-82.543,34.043,2.78E-01,0,1.532808903,3.790122924,,27.8,0
-82.326,34.046,1.11E-01,0,1.246361269,3.265613852,,11.1,0
-82.763,34.22,0,0,0.5,1.312778176,,0,0
-82.546,34.223,0,0,0.5,1.766973378,,0,0
-82.329,34.226,0,0,0.5,1.710730737,,0,0
-82.112,34.228,0,0,0.5,1.619403609,,0,0
-82.985,34.397,0,0,0.5,1.209902728,,0,0
-82.767,34.401,0,0,0.5,1.410897572,,0,0
-82.55,34.404,0,0,0.5,1.482148706,,0,0
-82.332,34.406,0,0,0.5,1.440207344,,0,0
-82.115,34.408,0,0,0.5,1.500205176,,0,0
-81.897,34.41,0,0,0.5,1.657846138,,0,0
-83.207,34.574,0,0,0.5,1.399233933,,0,0
-82.989,34.578,0,0,0.628830217,2.184460315,,0,0
-82.771,34.581,0,0,0.761310475,2.430903876,,0,0
-82.553,34.584,0,0,0.5,1.950268636,,0,0
-82.335,34.586,0,0,0.5,1.527499004,,0,0
-82.117,34.589,0,0,0.5,1.423081532,,0,0
-81.899,34.59,0,0,0.5,1.457052976,,0,0
-81.681,34.592,0,0,0.5,1.575682359,,0,0
-81.463,34.593,0,0,0.5,1.687052048,,0,0
-83.43,34.75,0,0,0.5,1.371628052,,0,0
-83.212,34.754,0,0,0.62961155,2.184681805,,0,0
-82.993,34.758,2.63E-01,0,1.714501784,4.088800093,,26.3,0
-82.775,34.761,2.47E-01,1.92E-01,1.807283007,4.233606904,,24.7,19.2
-82.556,34.764,0,0,0.865364954,2.637253509,,0,0
-82.338,34.767,0,0,0.5,1.692697068,,0,0
-82.119,34.769,0,0,0.5,1.359871351,,0,0
-81.901,34.771,0,0,0.5,1.29050534,,0,0
-81.682,34.772,0,0,0.5,1.231452734,,0,0
-81.464,34.773,0,0,0.5,1.232024675,,0,0
-81.245,34.774,0,0,0.5,1.219518723,,0,0
-81.027,34.774,0,0,0.5,1.057188618,,0,0
-80.808,34.774,0,0,0.5,0.959521593,,0,0
-80.589,34.773,0,0,0.5,0.893205684,,0,0
-83.216,34.934,1.85E-01,0,0.941181049,2.761544551,,18.5,0
-82.998,34.938,2.27E-01,1.73E-01,1.900605565,4.372573794,,22.7,17.3
-82.779,34.941,2.10E-01,1.54E-01,2.025413962,4.580513306,,21,15.4
-82.56,34.944,1.96E-01,0,0.925791459,2.758704925,,19.6,0
-82.341,34.947,0,0,0.5,1.727979909,,0,0
-82.122,34.949,0,0,0.5,1.312902622,,0,0
-81.903,34.951,0,0,0.5,1.108067531,,0,0
-81.684,34.953,0,0,0.5,0.973724061,,0,0
-81.465,34.954,0,0,0.5,0.888083196,,0,0
-81.246,34.954,0,0,0.5,0.81471927,,0,0
-81.027,34.954,0,0,0.5,0.737281115,,0,0
-80.808,34.954,0,0,0.5,0.687962509,,0,0
-82.783,35.122,1.52E-01,0,1.145064207,3.131212538,,15.2,0
-82.563,35.125,0,0,0.712556344,2.340114992,,0,0
-82.344,35.127,0,0,0.5,1.678806413,,0,0
-82.124,35.13,0,0,0.5,1.222167433,,0,0
-81.905,35.131,0,0,0.5,0.973518296,,0,0
-81.685,35.133,0,0,0.5,0.810787327,,0,0
-81.466,35.134,0,0,0.5,0.685381506,,0,0
-81.246,35.135,0,0,0.5,0.599796158,,0,0
-81.027,35.135,0,0,0.5,0.537532147,,0,0
-80.962,32.014,3.01E-01,0,1.190689544,2.380244857,,30.1,0
-81.047,32.086,4.76E-01,1.86E-01,1.285754411,2.47059076,,47.6,18.6
-80.962,32.086,5.94E-01,1.28E-01,1.647170477,2.8070143,,59.4,12.8
-81.132,32.158,4.74E-01,1.84E-01,1.294859502,2.480076635,,47.4,18.4
-81.047,32.158,5.78E-01,1.18E-01,1.719134867,2.869573595,,57.8,11.8
-80.962,32.158,6.79E-01,2.29E-01,2.21743416,3.295702446,,67.9,22.9
-80.877,32.158,7.77E-01,0.3147863,2.823824493,3.784243562,,77.7,31.47863
-80.792,32.158,8.73E-01,5.77E-01,3.57265167,4.352590817,,87.3,57.7
-81.217,32.23,4.89E-01,1.95E-01,1.234280338,2.423851622,,48.9,19.5
-81.132,32.231,5.78E-01,1.17E-01,1.715648507,2.8700959,,57.8,11.7
-81.047,32.231,6.70E-01,2.20E-01,2.260999158,3.336595387,,67,22
-80.962,32.231,0.7501675,4.81E-01,2.996004571,3.921005801,,75.01675,48.1
-80.877,32.231,8.28E-01,5.13E-01,3.941172933,4.614430595,,82.8,51.3
-80.792,32.23,9.04E-01,7.19E-01,5.144355442,5.455412023,,90.4,71.9
-80.707,32.23,1.19E+00,9.29E-01,6.536533573,6.379712517,,119,92.9
-81.217,32.303,4.13E-01,1.41E-01,1.546273415,2.726185119,,41.3,14.1
-81.132,32.303,6.93E-01,2.43E-01,2.133789166,3.231930394,,69.3,24.3
-81.047,32.303,7.61E-01,4.97E-01,2.92040954,3.861899475,,76.1,49.7
-80.962,32.303,8.25E-01,5.08E-01,3.963614113,4.634962387,,82.5,50.8
-80.877,32.303,1.08E+00,8.77E-01,5.456260871,5.663986699,,108,87.7
-80.622,32.302,1.50E+00,1.4623656,12.31354037,9.856040772,,150,146.23656
-81.217,32.375,5.34E-01,2.83E-01,1.920989472,3.057235897,,53.4,28.3
-81.132,32.375,6.04E-01,3.45E-01,2.645212603,3.654583905,,60.4,34.5
-80.962,32.375,1.10E+00,7.07E-01,5.244851069,5.524703996,,110,70.7
-80.877,32.375,1.12E+00,1.02E+00,7.547434201,7.005116112,,112,102
-80.707,32.375,1.44E+00,1.5874111,14.64580216,11.17062464,,144,158.74111
-80.622,32.374,1.54E+00,1.67E+00,19.10751887,13.64573464,,154,167
-81.302,32.447,4.01E-01,1.31E-01,1.605146029,2.794019499,,40.1,13.1
-81.217,32.447,6.68E-01,2.18E-01,2.258195245,3.351531476,,66.8,21.8
-81.132,32.447,7.23E-01,4.44E-01,3.181093353,4.076126863,,72.3,44.4
-81.047,32.447,9.53E-01,7.97E-01,4.599448491,5.108675346,,95.3,79.7
-80.962,32.447,1.17E+00,9.03E-01,6.756221698,6.532499824,,117,90.3
-80.877,32.447,1.38E+00,1.37E+00,10.10489658,8.577504508,,138,137
-80.707,32.447,1.50E+00,1.63E+00,20.94064864,14.62387078,,150,163
-81.388,32.519,4.71E-01,1.80E-01,1.300199306,2.51046449,,47.1,18
-81.303,32.519,5.44E-01,2.91E-01,1.863136376,3.026934789,,54.4,29.1
-81.218,32.519,6.10E-01,3.51E-01,2.593771394,3.63701644,,61,35.1
-81.132,32.519,8.47E-01,5.37E-01,3.752933434,4.515413398,,84.7,53.7
-81.047,32.519,1.06E+00,8.54E-01,5.539407964,5.768656741,,106,85.4
-80.962,32.519,1.26E+00,1.11E+00,8.464567614,7.615189231,,126,111
-80.877,32.519,1.48E+00,1.44E+00,12.90056462,10.21203242,,148,144
-80.792,32.519,1.53E+00,1.66E+00,19.62699118,13.94246814,,153,166
-81.473,32.591,3.45E-01,0,0.999823471,2.235320532,,34.5,0
-81.388,32.591,4.35E-01,1.54E-01,1.443613564,2.667118804,,43.5,15.4
-81.303,32.591,5.07E-01,2.52E-01,2.052012117,3.209302851,,50.7,25.2
-81.218,32.591,7.60E-01,4.91E-01,2.901655933,3.904057621,,76,49.1
-81.132,32.591,9.89E-01,6.47E-01,4.241327018,4.900161816,,98.9,64.7
-81.047,32.591,1.19E+00,9.30E-01,6.409289397,6.388449053,,119,93
-80.962,32.591,1.38E+00,1.37E+00,9.937319529,8.560427811,,138,137
-80.877,32.591,1.42E+00,1.55E+00,15.51049075,11.74261839,,142,155
-80.791,32.591,1.64E+00,1.73E+00,24.61530747,16.75976498,,164,173
-81.474,32.663,3.19E-01,0,1.108237244,2.351513188,,31.9,0
-81.389,32.663,4.08E-01,1.34E-01,1.562850462,2.795159574,,40.8,13.4
-81.303,32.663,6.75E-01,2.20E-01,2.210125042,3.367872047,,67.5,22
-81.218,32.663,7.24E-01,4.39E-01,3.145948748,4.123254683,,72.4,43.9
-81.133,32.664,9.49E-01,7.82E-01,4.594217687,5.214344347,,94.9,78.2
-81.047,32.664,1.14E+00,1.04E+00,7.03027539,6.870948842,,114,104
-80.962,32.664,1.34E+00,1.50E+00,10.95576457,9.276385302,,134,150
-80.877,32.664,1.57E+00,1.69E+00,17.4544967,12.9324757,,157,169
-81.474,32.735,3.05E-01,0,1.172899543,2.428379293,,30.5,0
-81.389,32.735,5.89E-01,1.20E-01,1.652766564,2.893243318,,58.9,12
-81.303,32.735,6.55E-01,4.00E-01,2.321920593,3.488840573,,65.5,40
-81.218,32.736,9.00E-01,4.03E-01,3.309288648,4.293062311,,90,40.3
-81.133,32.736,9.24E-01,7.35E-01,4.82125592,5.437251722,,92.4,73.5
-81.047,32.736,1.12E+00,1.1871407,7.344315391,7.166190535,,112,118.71407
-80.962,32.736,1.31E+00,1.47E+00,11.34399703,9.659894891,,131,147
-80.877,32.736,1.54E+00,1.65E+00,17.99344248,13.44746656,,154,165
-81.475,32.807,5.00E-01,0.1963603,1.201342967,2.46932781,,50,19.63603
-81.389,32.807,5.77E-01,1.11E-01,1.715299935,2.975150542,,57.7,11.1
-81.304,32.808,6.41E-01,3.78E-01,2.398170725,3.592497854,,64.1,37.8
-81.218,32.808,8.95E-01,5.94E-01,3.330260558,4.344348283,,89.5,59.4
-81.133,32.808,9.24E-01,7.32E-01,4.803554392,5.46250154,,92.4,73.2
-81.047,32.808,1.12E+00,1.19E+00,7.239503525,7.151561574,,112,119
-80.962,32.808,1.32E+00,1.4704903,10.9474023,9.493529272,,132,147.04903
-80.876,32.808,1.55E+00,1.65E+00,17.16065033,13.13480254,,155,165
-81.561,32.879,3.89E-01,0,0.886369575,2.144162415,,38.9,0
-81.475,32.879,4.93E-01,1.90E-01,1.229705196,2.511436168,,49.3,19
-81.389,32.88,0.5761624,1.09E-01,1.719932914,2.995860316,,57.61624,10.9
-81.304,32.88,6.40E-01,3.75E-01,2.400287763,3.6184268,,64,37.5
-81.218,32.88,8.97E-01,5.91E-01,3.309936336,4.369395585,,89.7,59.1
-81.133,32.88,9.32E-01,7.38E-01,4.695960215,5.438812819,,93.2,73.8
-81.047,32.88,1.13E+00,1.19E+00,7.051023369,7.145383743,,113,119
-80.962,32.88,1.34E+00,1.48E+00,10.26686714,9.213757153,,134,148
-80.876,32.88,1.57E+00,1.67E+00,15.6544238,12.47943104,,157,167
-81.561,32.951,3.92E-01,0,0.882286065,2.147387784,,39.2,0
-81.475,32.951,4.98E-01,1.92E-01,1.221610439,2.516812408,,49.8,19.2
-81.39,32.952,0.5867392,1.14E-01,1.68074435,2.981261702,,58.67392,11.4
-81.304,32.952,6.64E-01,0.201079,2.273982343,3.533486657,,66.4,20.1079
-81.219,32.952,7.20E-01,4.19E-01,3.139289688,4.268845597,,72,41.9
-81.133,32.952,9.66E-01,7.88E-01,4.35179427,5.223097919,,96.6,78.8
-81.047,32.952,1.18E+00,1.07E+00,6.333746716,6.695085309,,118,107
-80.962,32.952,1.38E+00,1.34E+00,9.157690144,8.600536403,,138,134
-81.647,33.023,2.67E-01,0,0.641413995,1.866697749,,26.7,0
-81.561,33.023,3.97E-01,0,0.874637942,2.146315354,,39.7,0
-81.476,33.024,3.06E-01,1.97E-01,1.194860356,2.499744909,,30.6,19.7
-81.39,33.024,5.97E-01,1.19E-01,1.638337071,2.953339338,,59.7,11.9
-81.304,33.024,6.79E-01,2.13E-01,2.190335851,3.471859426,,67.9,21.3
-81.219,33.024,7.44E-01,4.49E-01,2.96566336,4.153433542,,74.4,44.9
-81.133,33.024,8.01E-01,6.37E-01,4.039388296,5.021278394,,80.1,63.7
-81.047,33.024,1.02E+00,9.37E-01,5.741417557,6.339420935,,102,93.7
-80.962,33.024,1.23E+00,1.40E+00,8.178739836,8.041097587,,123,140
-81.648,33.095,2.75E-01,0,0.622169929,1.84955687,,27.5,0
-81.562,33.095,2.08E-01,0,0.840275702,2.112338484,,20.8,0
-81.476,33.096,3.21E-01,0,1.136136596,2.450186938,,32.1,0
-81.39,33.096,4.15E-01,1.31E-01,1.559115458,2.895577373,,41.5,13.1
-81.305,33.096,5.01E-01,0.230539,2.085118758,3.403575797,,50.1,23.0539
-81.219,33.096,7.88E-01,3.06E-01,2.686106395,3.933894957,,78.8,30.6
-81.133,33.097,8.52E-01,5.15E-01,3.606716342,4.710499741,,85.2,51.5
-81.048,33.097,1.0854269,8.42E-01,5.059484664,5.857470467,,108.54269,84.2
-80.962,33.097,1.12E+00,1.15E+00,6.937499262,7.231029245,,112,115
-81.734,33.167,1.37E-01,0,0.5,1.605060466,,13.7,0
-81.648,33.167,2.87E-01,0,0.599217754,1.83054087,,28.7,0
-81.562,33.167,2.15E-01,0,0.826795342,2.108161718,,21.5,0
-81.477,33.168,3.33E-01,0,1.096849332,2.421429421,,33.3,0
-81.391,33.168,4.37E-01,1.44E-01,1.470597325,2.820311105,,43.7,14.4
-81.305,33.168,5.34E-01,2.64E-01,1.918183173,3.260722761,,53.4,26.4
-81.219,33.169,6.22E-01,3.43E-01,2.483688174,3.780791287,,62.2,34.3
-81.133,33.169,8.88E-01,5.59E-01,3.349961314,4.542189556,,88.8,55.9
-81.048,33.169,9.61E-01,7.62E-01,4.328375326,5.339905517,,96.1,76.2
-80.962,33.169,1.18E+00,1.05E+00,6.141343012,6.746822325,,118,105
-80.876,33.169,1.20E+00,1.35E+00,8.404962294,8.329733217,,120,135
-81.735,33.239,1.44E-01,0,0.5,1.598455434,,14.4,0
-81.649,33.239,2.97E-01,0,0.581072578,1.816514907,,29.7,0
-81.563,33.24,2.29E-01,0,0.786421258,2.067065656,,22.9,0
-81.477,33.24,3.47E-01,0,1.055475324,2.390982348,,34.7,0
-81.391,33.24,4.63E-01,1.62E-01,1.374660096,2.73144664,,46.3,16.2
-81.305,33.241,5.69E-01,2.98E-01,1.763847233,3.125935886,,56.9,29.8
-81.219,33.241,6.60E-01,3.87E-01,2.286720714,3.623079917,,66,38.7
-81.133,33.241,7.53E-01,4.51E-01,2.899777007,4.18024377,,75.3,45.1
-81.048,33.241,8.30E-01,6.71E-01,3.749337882,4.899648828,,83,67.1
-80.962,33.241,1.09E+00,8.33E-01,4.982742561,5.887069375,,109,83.3
-80.876,33.241,1.11E+00,1.12E+00,6.918881522,7.34169428,,111,112
-81.735,33.311,1.54E-01,0,0.5,1.582383139,,15.4,0
-81.649,33.311,1.05E-01,0,0.564281696,1.803375434,,10.5,0
-81.563,33.312,2.46E-01,0,0.744598709,2.024824806,,24.6,0
-81.477,33.312,3.79E-01,0,0.955816953,2.28612875,,37.9,0
-81.391,33.312,4.92E-01,1.81E-01,1.274672063,2.634818645,,49.2,18.1
-81.305,33.313,5.97E-01,1.14E-01,1.658888292,3.037176015,,59.7,11.4
-81.22,33.313,5.05E-01,2.30E-01,2.066913375,3.439390923,,50.5,23
-81.134,33.313,6.14E-01,3.30E-01,2.527043954,3.859147771,,61.4,33
-81.048,33.313,8.95E-01,5.65E-01,3.28485105,4.535392184,,89.5,56.5
-80.962,33.313,9.71E-01,7.73E-01,4.214230404,5.303695897,,97.1,77.3
-80.876,33.313,1.01E+00,9.01E-01,5.713035633,6.481697661,,101,90.1
-81.736,33.383,1.57E-01,0,0.5,1.606301006,,15.7,0
-81.65,33.384,1.11E-01,0,0.563320029,1.812523804,,11.1,0
-81.564,33.384,2.57E-01,0,0.728460146,2.015763463,,25.7,0
-81.478,33.384,3.94E-01,0,0.928635528,2.265004265,,39.4,0
-81.392,33.385,3.21E-01,0,1.173559968,2.538492782,,32.1,0
-81.306,33.385,4.32E-01,1.37E-01,1.513270873,2.905970111,,43.2,13.7
-81.22,33.385,5.48E-01,2.73E-01,1.867636549,3.257663513,,54.8,27.3
-81.134,33.385,6.57E-01,3.80E-01,2.300496653,3.666536215,,65.7,38
-81.048,33.385,7.58E-01,4.55E-01,2.86621896,4.190414956,,75.8,45.5
-80.962,33.385,8.55E-01,5.08E-01,3.544250831,4.763009435,,85.5,50.8
-80.876,33.385,9.14E-01,8.74E-01,4.712482892,5.72841132,,91.4,87.4
-81.822,33.455,0,0,0.5,1.463882053,,0,0
-81.736,33.455,1.65E-01,0,0.5,1.601995031,,16.5,0
-81.65,33.456,1.24E-01,0,0.53022526,1.778925597,,12.4,0
-81.564,33.456,2.76E-01,0,0.687506444,1.973905121,,27.6,0
-81.478,33.456,2.15E-01,0,0.87539911,2.210064698,,21.5,0
-81.392,33.457,3.44E-01,0,1.112806159,2.490918943,,34.4,0
-81.306,33.457,4.71E-01,1.64E-01,1.374598681,2.771717178,,47.1,16.4
-81.22,33.457,5.99E-01,1.14E-01,1.662265616,3.066793696,,59.9,11.4
-81.134,33.457,5.14E-01,2.38E-01,2.021185233,3.419304546,,51.4,23.8
-81.048,33.457,6.24E-01,3.38E-01,2.484843845,3.855238126,,62.4,33.8
-80.962,33.457,0.7270496,4.12E-01,3.060394789,4.368307617,,72.70496,41.2
-80.876,33.457,8.18E-01,6.44E-01,3.829817473,5.02147889,,81.8,64.4
-81.823,33.527,0,0,0.5,1.479474062,,0,0
-81.737,33.527,1.67E-01,0,0.5,1.631236805,,16.7,0
-81.651,33.528,1.25E-01,0,0.557706565,1.828127147,,12.5,0
-81.565,33.528,2.89E-01,0,0.67046149,1.963360557,,28.9,0
-81.479,33.529,2.36E-01,0,0.822817852,2.152486009,,23.6,0
-81.392,33.529,3.73E-01,0,1.022828115,2.401648323,,37.3,0
-81.306,33.529,3.07E-01,1.88E-01,1.258511482,2.654711527,,30.7,18.8
-81.22,33.529,4.36E-01,1.38E-01,1.513394328,2.929079925,,43.6,13.8
-81.134,33.529,5.48E-01,2.69E-01,1.896765884,3.31416506,,54.8,26.9
-81.048,33.53,6.80E-01,2.04E-01,2.201475952,3.603306582,,68,20.4
-80.962,33.53,7.84E-01,4.87E-01,2.726641901,4.082203811,,78.4,48.7
-80.875,33.529,7.05E-01,5.79E-01,3.201466131,4.478447161,,70.5,57.9
-80.789,33.529,9.97E-01,6.13E-01,3.991677669,5.140316611,,99.7,61.3
-81.91,33.598,0,0,0.5,1.448971285,,0,0
-81.824,33.599,0,0,0.5,1.506988735,,0,0
-81.738,33.6,1.78E-01,0,0.5,1.619248906,,17.8,0
-81.651,33.6,1.38E-01,0,0.515482345,1.780972937,,13.8,0
-81.565,33.6,1.07E-01,0,0.630371464,1.923196235,,10.7,0
-81.479,33.601,2.57E-01,0,0.775151649,2.105081595,,25.7,0
-81.393,33.601,3.89E-01,0,1.002026283,2.398856372,,38.9,0
-81.306,33.601,3.27E-01,0,1.216592262,2.629657279,,32.7,0
-81.22,33.602,4.81E-01,1.68E-01,1.359869585,2.775681224,,48.1,16.8
-81.134,33.602,4.15E-01,1.24E-01,1.603210416,3.026405314,,41.5,12.4
-81.048,33.602,5.34E-01,2.56E-01,1.946947096,3.361547315,,53.4,25.6
-80.962,33.602,6.70E-01,3.96E-01,2.233089773,3.623661869,,67,39.6
-80.875,33.602,7.91E-01,3.01E-01,2.6566454,4.00449348,,79.1,30.1
-80.789,33.602,7.01E-01,5.74E-01,3.224499093,4.500248951,,70.1,57.4
-80.703,33.601,9.87E-01,7.97E-01,4.0700922,5.207886973,,98.7,79.7
-79.065,33.587,6.52E-01,2.10E-01,2.393772067,3.393920167,,65.2,21
-81.911,33.671,0,0,0.5,1.497116093,,0,0
-81.824,33.671,0,0,0.5,1.549981047,,0,0
-81.738,33.672,1.75E-01,0,0.5,1.679888451,,17.5,0
-81.652,33.672,1.43E-01,0,0.527572596,1.811473126,,14.3,0
-81.566,33.673,1.12E-01,0,0.632499661,1.940363348,,11.2,0
-81.479,33.673,2.69E-01,0,0.760212906,2.099673543,,26.9,0
-81.393,33.673,2.19E-01,0,0.911614114,2.29051826,,21.9,0
-81.307,33.673,3.66E-01,0,1.079072299,2.485714906,,36.6,0
-81.22,33.674,3.13E-01,1.90E-01,1.266568107,2.684468355,,31.3,19
-81.134,33.674,4.50E-01,1.46E-01,1.481154054,2.916725027,,45,14.6
-81.048,33.674,5.80E-01,2.98E-01,1.784610637,3.22608729,,58,29.8
-80.962,33.674,5.29E-01,2.52E-01,1.958002739,3.373566905,,52.9,25.2
-80.875,33.674,6.60E-01,3.84E-01,2.283737573,3.665394325,,66,38.4
-80.789,33.674,7.90E-01,4.99E-01,2.667173534,4.002081896,,79,49.9
-80.703,33.674,7.06E-01,5.84E-01,3.185525158,4.436424393,,70.6,58.4
-79.063,33.659,5.34E-01,2.88E-01,1.942463307,3.02929786,,53.4,28.8
-78.977,33.657,4.42E-01,1.65E-01,1.418238301,2.573697805,,44.2,16.5
-81.998,33.742,0,0,0.5,1.573544627,,0,0
-81.912,33.743,0,0,0.5,1.559461505,,0,0
-81.825,33.743,0,0,0.5,1.607146379,,0,0
-81.739,33.744,1.84E-01,0,0.5,1.691283679,,18.4,0
-81.652,33.744,1.52E-01,0,0.515009997,1.806411877,,15.2,0
-81.566,33.745,1.22E-01,0,0.613820425,1.930125105,,12.2,0
-81.48,33.745,2.84E-01,0,0.74246009,2.095194327,,28.4,0
-81.393,33.745,2.38E-01,0,0.873557214,2.264351844,,23.8,0
-81.307,33.746,2.02E-01,0,0.986191329,2.403709737,,20.2,0
-81.221,33.746,3.43E-01,0,1.176902631,2.60573537,,34.3,0
-81.134,33.746,4.96E-01,1.76E-01,1.339481416,2.775154192,,49.6,17.6
-81.048,33.746,4.38E-01,1.36E-01,1.543433961,2.988499378,,43.8,13.6
-80.961,33.746,5.90E-01,1.07E-01,1.722392495,3.152188331,,59,10.7
-80.875,33.746,5.32E-01,2.54E-01,1.947738377,3.362207616,,53.2,25.4
-80.789,33.746,6.76E-01,2.03E-01,2.197777059,3.583881826,,67.6,20.3
-80.702,33.746,6.19E-01,3.37E-01,2.486482589,3.834776849,,61.9,33.7
-80.616,33.745,7.43E-01,4.40E-01,2.935581291,4.202158566,,74.3,44
-79.062,33.731,4.15E-01,1.45E-01,1.544063642,2.693217307,,41.5,14.5
-81.564,33.456,2.76E-01,0,0.687506444,1.973905121,,27.6,0
-81.478,33.456,2.15E-01,0,0.87539911,2.210064698,,21.5,0
-81.392,33.457,3.44E-01,0,1.112806159,2.490918943,,34.4,0
-81.306,33.457,4.71E-01,1.64E-01,1.374598681,2.771717178,,47.1,16.4
-81.22,33.457,5.99E-01,1.14E-01,1.662265616,3.066793696,,59.9,11.4
-81.134,33.457,5.14E-01,2.38E-01,2.021185233,3.419304546,,51.4,23.8
-81.048,33.457,6.24E-01,3.38E-01,2.484843845,3.855238126,,62.4,33.8
-80.962,33.457,0.7270496,4.12E-01,3.060394789,4.368307617,,72.70496,41.2
-80.876,33.457,8.18E-01,6.44E-01,3.829817473,5.02147889,,81.8,64.4
-81.823,33.527,0,0,0.5,1.479474062,,0,0
-81.737,33.527,1.67E-01,0,0.5,1.631236805,,16.7,0
-81.651,33.528,1.25E-01,0,0.557706565,1.828127147,,12.5,0
-81.565,33.528,2.89E-01,0,0.67046149,1.963360557,,28.9,0
-81.479,33.529,2.36E-01,0,0.822817852,2.152486009,,23.6,0
-81.392,33.529,3.73E-01,0,1.022828115,2.401648323,,37.3,0
-81.306,33.529,3.07E-01,1.88E-01,1.258511482,2.654711527,,30.7,18.8
-81.22,33.529,4.36E-01,1.38E-01,1.513394328,2.929079925,,43.6,13.8
-81.134,33.529,5.48E-01,2.69E-01,1.896765884,3.31416506,,54.8,26.9
-81.048,33.53,6.80E-01,2.04E-01,2.201475952,3.603306582,,68,20.4
-80.962,33.53,7.84E-01,4.87E-01,2.726641901,4.082203811,,78.4,48.7
-80.875,33.529,7.05E-01,5.79E-01,3.201466131,4.478447161,,70.5,57.9
-80.789,33.529,9.97E-01,6.13E-01,3.991677669,5.140316611,,99.7,61.3
-81.91,33.598,0,0,0.5,1.448971285,,0,0
-81.824,33.599,0,0,0.5,1.506988735,,0,0
-81.738,33.6,1.78E-01,0,0.5,1.619248906,,17.8,0
-81.651,33.6,1.38E-01,0,0.515482345,1.780972937,,13.8,0
-81.565,33.6,1.07E-01,0,0.630371464,1.923196235,,10.7,0
-81.479,33.601,2.57E-01,0,0.775151649,2.105081595,,25.7,0
-81.393,33.601,3.89E-01,0,1.002026283,2.398856372,,38.9,0
-81.306,33.601,3.27E-01,0,1.216592262,2.629657279,,32.7,0
-81.22,33.602,4.81E-01,1.68E-01,1.359869585,2.775681224,,48.1,16.8
-81.134,33.602,4.15E-01,1.24E-01,1.603210416,3.026405314,,41.5,12.4
-81.048,33.602,5.34E-01,2.56E-01,1.946947096,3.361547315,,53.4,25.6
-80.962,33.602,6.70E-01,3.96E-01,2.233089773,3.623661869,,67,39.6
-80.875,33.602,7.91E-01,3.01E-01,2.6566454,4.00449348,,79.1,30.1
-80.789,33.602,7.01E-01,5.74E-01,3.224499093,4.500248951,,70.1,57.4
-80.703,33.601,9.87E-01,7.97E-01,4.0700922,5.207886973,,98.7,79.7
-79.065,33.587,6.52E-01,2.10E-01,2.393772067,3.393920167,,65.2,21
-81.911,33.671,0,0,0.5,1.497116093,,0,0
