Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-146.676,61.116,1.93E-02,2.26E-02,38.2957595,20.30297038
-145.186,61.038,2.00E-02,0.023348963,62.65863379,25.2085175
-145.131,61.034,0.021857417,2.31E-02,65.16615871,25.88156888
-145.076,61.031,2.17E-02,2.50E-02,67.02148353,26.39515759
-145.021,61.028,2.15E-02,2.48E-02,69.10242926,26.94473524
-144.966,61.025,2.13E-02,2.47E-02,71.19721968,27.59475968
-144.911,61.021,2.12E-02,2.46E-02,72.95740061,28.1569453
-144.856,61.018,2.10E-02,2.44E-02,74.87786934,28.76947467
-144.801,61.015,2.29E-02,2.43E-02,76.42673052,29.38635274
-144.746,61.011,2.28E-02,2.42E-02,78.29924795,30.01740458
-144.691,61.008,2.27E-02,2.41E-02,79.60358017,30.55475268
-144.637,61.004,2.26E-02,2.40E-02,80.6720485,30.9671386
-144.582,61.001,2.25E-02,2.59E-02,82.36088943,31.67734982
-144.527,60.997,2.24E-02,2.59E-02,82.9982463,32.0437842
-144.472,60.994,2.24E-02,2.58E-02,83.42768628,32.36132803
-144.417,60.99,2.23E-02,2.57E-02,84.48246762,32.82246161
-144.362,60.987,2.23E-02,2.57E-02,84.85228502,33.09580385
-144.307,60.983,2.22E-02,2.56E-02,86.96383206,33.9218256
-144.253,60.98,2.22E-02,2.56E-02,87.23742867,34.12649986
-144.198,60.976,2.21E-02,2.55E-02,88.52885891,34.73303448
-144.143,60.973,2.21E-02,2.55E-02,89.92555964,35.36129119
-144.088,60.969,0.022035128,2.54E-02,90.77210804,35.82597328
-144.034,60.965,2.40E-02,2.54E-02,92.7777087,36.54677734
-143.979,60.962,2.39E-02,2.53E-02,93.85563095,37.09395271
-143.924,60.958,0.023790987,2.52E-02,98.6934476,38.43447407
-143.87,60.954,2.37E-02,0.025196909,100.4949467,39.0072235
-143.815,60.95,2.37E-02,2.52E-02,101.2222416,39.23602694
-143.76,60.947,2.36E-02,2.51E-02,103.545115,39.99571288
-143.706,60.943,2.36E-02,2.51E-02,104.2435806,40.25977547
-143.651,60.939,2.36E-02,2.51E-02,105.5895585,40.63078928
-143.596,60.935,2.35E-02,2.50E-02,107.1298255,41.23355419
-143.542,60.931,2.35E-02,2.50E-02,107.2948723,41.25335066
-143.487,60.928,2.35E-02,0.026985792,109.9118835,42.16911865
-143.433,60.924,2.34E-02,2.70E-02,110.3305023,42.35788151
-143.378,60.92,2.34E-02,2.69E-02,111.9989815,43.01224853
-143.323,60.916,2.34E-02,2.69E-02,113.5143324,43.49755407
-143.269,60.912,2.34E-02,2.69E-02,113.3889712,43.47608236
-143.214,60.908,2.33E-02,0.02686425,115.4325231,44.19548269
-143.16,60.904,2.33E-02,2.69E-02,115.5885402,44.26432402
-143.105,60.9,2.33E-02,2.68E-02,116.2280608,44.51847695
-143.051,60.896,2.33E-02,2.68E-02,116.8342073,44.74829401
-142.997,60.892,2.33E-02,2.68E-02,115.9356463,44.42540082
-142.942,60.888,2.33E-02,2.68E-02,116.8707107,44.74782591
-142.888,60.883,2.33E-02,2.68E-02,117.2367948,44.87712387
-142.833,60.879,2.33E-02,2.68E-02,118.2518064,45.28587552
-142.779,60.875,2.32E-02,2.68E-02,118.3237195,45.32532108
-142.725,60.871,0.023251828,2.68E-02,117.6274507,45.12834629
-142.67,60.867,0.023229321,2.68E-02,119.1684478,45.70658527
-142.616,60.862,2.32E-02,2.68E-02,118.558692,45.51057622
-142.562,60.858,2.32E-02,2.68E-02,118.7690629,45.63868123
-142.507,60.854,2.32E-02,2.68E-02,118.4981243,45.53382464
-142.453,60.85,2.33E-02,2.68E-02,116.8223677,45.0277682
-142.399,60.845,2.33E-02,2.68E-02,116.9348987,45.06908214
-142.344,60.841,2.33E-02,2.68E-02,115.9393862,44.83355325
-142.29,60.837,2.33E-02,2.68E-02,116.2350707,44.94358571
-142.236,60.832,2.33E-02,2.68E-02,116.8397534,45.28562863
-142.182,60.828,2.33E-02,2.68E-02,115.4017043,44.81749033
-142.128,60.823,2.33E-02,2.68E-02,116.2787051,45.30717654
-142.073,60.819,2.33E-02,2.69E-02,114.8144748,44.85816342
-142.019,60.815,2.33E-02,2.69E-02,114.3211296,44.84308359
-141.965,60.81,2.34E-02,2.69E-02,113.2490168,44.4774294
-141.911,60.806,2.34E-02,2.69E-02,111.1477687,43.9031247
-141.857,60.801,2.34E-02,2.69E-02,110.4502358,43.69725323
-141.803,60.796,2.35E-02,2.70E-02,108.2748929,43.07032175
-141.749,60.792,2.35E-02,2.70E-02,108.0082662,43.04713435
-141.695,60.787,2.35E-02,2.70E-02,107.40947,42.94305551
-141.641,60.783,2.35E-02,0.025011405,105.6289045,42.41928549
-141.587,60.778,2.36E-02,2.50E-02,105.1747867,42.33665192
-141.533,60.773,2.36E-02,0.025070853,102.8538957,41.61536976
-141.479,60.769,2.37E-02,2.51E-02,101.6804746,41.27835101
-141.425,60.764,2.37E-02,2.51E-02,99.74227037,40.66907769
-141.371,60.759,2.38E-02,2.52E-02,97.10646859,39.85385353
-141.317,60.754,2.38E-02,0.025241263,95.37211763,39.30770971
-141.263,60.75,2.39E-02,0.025294638,92.73525299,38.51645925
-141.209,60.745,2.39E-02,2.53E-02,92.01670523,38.35671948
-141.155,60.74,2.40E-02,2.54E-02,90.28825282,37.87559396
-141.102,60.735,2.21E-02,2.54E-02,88.36162347,37.39622332
-141.048,60.73,2.21E-02,2.55E-02,86.12191656,36.81020438
-151.238,61.279,1.99E-02,2.28E-02,23.89020015,16.06303596
-151.183,61.279,1.97E-02,2.26E-02,25.32152865,16.6734441
-151.127,61.278,1.95E-02,2.24E-02,26.96892065,17.36473342
-151.071,61.277,1.93E-02,2.21E-02,28.70586397,18.07439438
-151.015,61.276,0.019087674,2.39E-02,30.25336394,18.65514953
-150.959,61.275,2.09E-02,2.37E-02,31.56196077,19.12259716
-150.903,61.275,2.08E-02,2.35E-02,32.72781092,19.54693483
-150.847,61.274,2.07E-02,2.33E-02,33.99814938,19.92097395
-150.791,61.273,2.06E-02,2.32E-02,35.12668807,20.27894965
-150.735,61.272,2.05E-02,0.023017913,36.21373065,20.62788291
-150.679,61.271,2.04E-02,2.49E-02,37.03110533,20.8224158
-150.456,61.267,2.05E-02,2.31E-02,38.72389126,21.36484316
-150.4,61.266,2.04E-02,2.30E-02,39.52049567,21.64090801
-150.344,61.265,2.04E-02,0.02300306,40.25336629,21.91421718
-150.288,61.264,2.04E-02,2.30E-02,40.81277142,22.05174526
-150.232,61.262,2.04E-02,0.024985854,41.57383539,22.36815268
-150.176,61.261,2.03E-02,2.50E-02,42.21023877,22.64580294
-150.121,61.26,2.03E-02,0.024960013,42.62694745,22.77614269
-150.065,61.259,0.020323554,2.50E-02,43.03126043,22.94230852
-150.009,61.258,0.020314886,2.49E-02,43.31150635,23.02887693
-149.897,61.255,2.03E-02,2.49E-02,43.59934278,23.05332712
-149.841,61.254,2.03E-02,2.49E-02,44.43150931,23.33950299
