Longitude,Latitude,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-112.657,37.142,0,0,0.5,0.5
-112.567,37.144,0,0,0.5,0.5
-112.477,37.145,0,0,0.5,0.5
-112.387,37.146,0,0,0.5,0.5
-114.1,37.186,0,0,0.5,0.5
-114.01,37.188,0,0,0.5,0.5
-113.92,37.19,0,0,0.5,0.5
-113.83,37.192,0,0,0.5,0.5
-113.74,37.194,0,0,0.5,0.5
-113.65,37.197,0,0,0.5,0.5
-113.559,37.198,0,0,0.5,0.5
-113.469,37.2,0,0,0.5,0.5
-113.379,37.202,0,0,0.5,0.5
-113.289,37.204,0,0,0.5,0.5
-113.199,37.206,0,0,0.5,0.5
-113.109,37.207,0,0,0.5,0.5
-113.019,37.209,0,0,0.5,0.5
-112.929,37.21,0,0,0.5,0.5
-112.839,37.212,0,0,0.5,0.5
-112.749,37.213,0,0,0.5,0.5
-112.659,37.215,0,0,0.5,0.5
-112.568,37.216,0,0,0.5,0.5
-112.478,37.217,0,0,0.5,0.5
-112.388,37.218,0,0,0.5,0.5
-114.103,37.258,0,0,0.5,0.5
-114.013,37.26,0,0,0.5,0.5
-113.922,37.262,0,0,0.5,0.5
-113.832,37.264,0,0,0.5,0.5
-113.742,37.266,0,0,0.5,0.5
-113.652,37.269,0,0,0.5,0.5
-113.562,37.271,0,0,0.5,0.5
-113.472,37.272,0,0,0.5,0.5
-113.382,37.274,0,0,0.5,0.5
-113.291,37.276,0,0,0.5,0.508898016
-113.201,37.278,0,0,0.5,0.5
-113.111,37.279,0,0,0.5,0.5
-113.021,37.281,0,0,0.5,0.5
-112.931,37.283,0,0,0.5,0.5
-112.841,37.284,0,0,0.5,0.5
-112.75,37.285,0,0,0.5,0.5
-112.66,37.287,0,0,0.5,0.5
-112.57,37.288,0,0,0.5,0.5
-112.48,37.289,0,0,0.5,0.5
-112.389,37.29,0,0,0.5,0.5
-112.299,37.291,0,0,0.5,0.5
-114.106,37.33,0,0,0.5,0.5
-114.015,37.332,0,0,0.5,0.5
-113.925,37.334,0,0,0.5,0.5
-113.835,37.336,0,0,0.5,0.5
-113.745,37.339,0,0,0.5,0.5
-113.655,37.341,0,0,0.5,0.5
-113.564,37.343,0,0,0.5,0.5
-113.474,37.344,0,0,0.5,0.5
-113.384,37.346,0,0,0.5,0.537734724
-113.294,37.348,0,0,0.5,0.588015459
-113.203,37.35,0,0,0.5,0.581311351
-113.113,37.351,0,0,0.5,0.527933254
-113.023,37.353,0,0,0.5,0.5
-112.933,37.355,0,0,0.5,0.5
-112.842,37.356,0,0,0.5,0.5
-112.752,37.357,0,0,0.5,0.5
-112.662,37.359,0,0,0.5,0.5
-112.571,37.36,0,0,0.5,0.5
