ubigeo,epiweek,historical_nfalciparum,year,risk,alarm
160101,9,11.8,2019,0.003,Bajo Riesgo
160101,10,10.8,2019,0.081,Bajo Riesgo
160101,11,8.8,2019,0.312,Bajo Riesgo
160101,12,12,2019,0.194,Bajo Riesgo
160101,13,15.4,2019,0.142,Bajo Riesgo
160101,14,11.4,2019,0.363,Bajo Riesgo
160101,15,10,2019,0.517,Bajo Riesgo
160101,16,13.6,2019,0.365,Bajo Riesgo
160101,17,8.6,2019,0.709,Mediano Riesgo
160101,18,8.2,2019,0.737,Mediano Riesgo
160101,19,11,2019,0.623,Mediano Riesgo
160101,20,11.6,2019,0.627,Mediano Riesgo
160102,9,5,2019,0.03,Bajo Riesgo
160102,10,7.4,2019,0.012,Bajo Riesgo
160102,11,8,2019,0.033,Bajo Riesgo
160102,12,7.2,2019,0.117,Bajo Riesgo
160102,13,3.6,2019,0.682,Mediano Riesgo
160102,14,7.6,2019,0.231,Bajo Riesgo
160102,15,6.8,2019,0.332,Bajo Riesgo
160102,16,9,2019,0.23,Bajo Riesgo
160102,17,9,2019,0.277,Bajo Riesgo
160102,18,6.8,2019,0.471,Bajo Riesgo
160102,19,5.2,2019,0.69,Mediano Riesgo
160102,20,4.4,2019,0.795,Mediano Riesgo
160103,9,0.4,2019,0.012,Bajo Riesgo
160103,10,0.2,2019,0.68,Mediano Riesgo
160103,11,0,2019,1,Alto riesgo
160103,12,0,2019,1,Alto riesgo
160103,13,0,2019,1,Alto riesgo
160103,14,0.4,2019,0.414,Bajo Riesgo
160103,15,0.4,2019,0.469,Bajo Riesgo
160103,16,0,2019,1,Alto riesgo
160103,17,0,2019,1,Alto riesgo
160103,18,0,2019,1,Alto riesgo
160103,19,0.2,2019,0.918,Alto riesgo
160103,20,0,2019,1,Alto riesgo
160104,9,0,2019,1,Alto riesgo
160104,10,0,2019,1,Alto riesgo
160104,11,0,2019,1,Alto riesgo
160104,12,0,2019,1,Alto riesgo
160104,13,0.4,2019,0.929,Alto riesgo
160104,14,0.6,2019,0.772,Mediano Riesgo
160104,15,1.6,2019,0.198,Bajo Riesgo
160104,16,0.8,2019,0.678,Mediano Riesgo
160104,17,0,2019,1,Alto riesgo
160104,18,0.4,2019,0.959,Alto riesgo
160104,19,1.6,2019,0.372,Bajo Riesgo
160104,20,0.8,2019,0.788,Mediano Riesgo
160105,9,0.4,2019,0,Bajo Riesgo
160105,10,0.4,2019,0,Bajo Riesgo
160105,11,0,2019,1,Alto riesgo
160105,12,0,2019,1,Alto riesgo
160105,13,0.2,2019,0.297,Bajo Riesgo
160105,14,0.2,2019,0.377,Bajo Riesgo
160105,15,0,2019,1,Alto riesgo
160105,16,0,2019,1,Alto riesgo
160105,17,0,2019,1,Alto riesgo
160105,18,0.2,2019,0.556,Bajo Riesgo
160105,19,0,2019,1,Alto riesgo
160105,20,0,2019,1,Alto riesgo
160106,9,3,2019,0.958,Alto riesgo
160106,10,6.8,2019,0.285,Bajo Riesgo
160106,11,10.8,2019,0.106,Bajo Riesgo
160106,12,7.6,2019,0.418,Bajo Riesgo
160106,13,8.8,2019,0.374,Bajo Riesgo
160106,14,6,2019,0.725,Mediano Riesgo
160106,15,2.6,2019,0.984,Alto riesgo
160106,16,8.4,2019,0.594,Bajo Riesgo
160106,17,5.6,2019,0.836,Alto riesgo
160106,18,4.8,2019,0.916,Alto riesgo
160106,19,3,2019,0.979,Alto riesgo
160106,20,3,2019,0.983,Alto riesgo
160107,9,8.4,2019,0.005,Bajo Riesgo
160107,10,13.2,2019,0.002,Bajo Riesgo
160107,11,13,2019,0.013,Bajo Riesgo
160107,12,15,2019,0.02,Bajo Riesgo
160107,13,8,2019,0.328,Bajo Riesgo
160107,14,12.4,2019,0.164,Bajo Riesgo
160107,15,3.8,2019,0.895,Alto riesgo
160107,16,7.2,2019,0.597,Bajo Riesgo
160107,17,9.4,2019,0.466,Bajo Riesgo
160107,18,14.2,2019,0.265,Bajo Riesgo
160107,19,8.2,2019,0.623,Mediano Riesgo
160107,20,13.4,2019,0.37,Bajo Riesgo
160108,9,3.4,2019,0.754,Mediano Riesgo
160108,10,6.8,2019,0.162,Bajo Riesgo
160108,11,9.6,2019,0.088,Bajo Riesgo
160108,12,7.4,2019,0.328,Bajo Riesgo
160108,13,8.2,2019,0.308,Bajo Riesgo
160108,14,10.2,2019,0.249,Bajo Riesgo
160108,15,9.8,2019,0.326,Bajo Riesgo
160108,16,9.8,2019,0.382,Bajo Riesgo
160108,17,5.2,2019,0.806,Alto riesgo
160108,18,7.2,2019,0.651,Mediano Riesgo
160108,19,8.2,2019,0.622,Mediano Riesgo
160108,20,7,2019,0.738,Mediano Riesgo
160109,9,0.8,2019,0,Bajo Riesgo
160109,10,0,2019,1,Alto riesgo
160109,11,0,2019,1,Alto riesgo
160109,12,0.4,2019,0,Bajo Riesgo
160109,13,0.2,2019,0.014,Bajo Riesgo
160109,14,0,2019,1,Alto riesgo
160109,15,0,2019,1,Alto riesgo
160109,16,0,2019,1,Alto riesgo
160109,17,0.8,2019,0,Bajo Riesgo
160109,18,0.4,2019,0.014,Bajo Riesgo
160109,19,0.2,2019,0.175,Bajo Riesgo
160109,20,0.8,2019,0.001,Bajo Riesgo
160110,9,2,2019,0.081,Bajo Riesgo
160110,10,12.4,2019,0,Bajo Riesgo
160110,11,12.4,2019,0,Bajo Riesgo
160110,12,8,2019,0,Bajo Riesgo
160110,13,9.2,2019,0.001,Bajo Riesgo
160110,14,9.2,2019,0.002,Bajo Riesgo
160110,15,8.4,2019,0.012,Bajo Riesgo
160110,16,10.6,2019,0.007,Bajo Riesgo
160110,17,12.6,2019,0.007,Bajo Riesgo
160110,18,9.2,2019,0.037,Bajo Riesgo
160110,19,10.8,2019,0.025,Bajo Riesgo
160110,20,11.8,2019,0.028,Bajo Riesgo
160112,9,1,2019,0.347,Bajo Riesgo
160112,10,1,2019,0.49,Bajo Riesgo
160112,11,0.6,2019,0.936,Alto riesgo
160112,12,1.6,2019,0.312,Bajo Riesgo
160112,13,0.6,2019,0.95,Alto riesgo
160112,14,1,2019,0.775,Mediano Riesgo
160112,15,0.6,2019,0.956,Alto riesgo
160112,16,0.4,2019,0.994,Alto riesgo
160112,17,1.2,2019,0.774,Mediano Riesgo
160112,18,0.4,2019,0.997,Alto riesgo
160112,19,2.2,2019,0.48,Bajo Riesgo
160112,20,3.8,2019,0.207,Bajo Riesgo
160113,9,15.8,2019,0.27,Bajo Riesgo
160113,10,21.4,2019,0.165,Bajo Riesgo
160113,11,24.8,2019,0.19,Bajo Riesgo
160113,12,16.6,2019,0.577,Bajo Riesgo
160113,13,21.8,2019,0.449,Bajo Riesgo
160113,14,22.2,2019,0.486,Bajo Riesgo
160113,15,20.4,2019,0.618,Mediano Riesgo
160113,16,27.8,2019,0.455,Bajo Riesgo
160113,17,21.6,2019,0.668,Mediano Riesgo
160113,18,17,2019,0.802,Alto riesgo
160113,19,19.6,2019,0.773,Mediano Riesgo
160113,20,22.2,2019,0.732,Mediano Riesgo
160114,9,0,2019,1,Alto riesgo
160114,10,0.8,2019,0,Bajo Riesgo
160114,11,1.2,2019,0,Bajo Riesgo
160114,12,0.6,2019,0.04,Bajo Riesgo
160114,13,1.8,2019,0,Bajo Riesgo
160114,14,2.8,2019,0,Bajo Riesgo
160114,15,2.8,2019,0,Bajo Riesgo
160114,16,0.8,2019,0.093,Bajo Riesgo
160114,17,0.8,2019,0.146,Bajo Riesgo
160114,18,0.2,2019,0.897,Alto riesgo
160114,19,1.4,2019,0.042,Bajo Riesgo
160114,20,0.6,2019,0.385,Bajo Riesgo
160201,9,0,2019,1,Alto riesgo
160201,10,0,2019,1,Alto riesgo
160201,11,0,2019,1,Alto riesgo
160201,12,1,2019,1,Alto riesgo
160201,13,0.8,2019,1,Alto riesgo
160201,14,0.4,2019,1,Alto riesgo
160201,15,0.4,2019,1,Alto riesgo
160201,16,0,2019,1,Alto riesgo
160201,17,0,2019,1,Alto riesgo
160201,18,0,2019,1,Alto riesgo
160201,19,0.2,2019,1,Alto riesgo
160201,20,0,2019,1,Alto riesgo
160202,9,0,2019,1,Alto riesgo
160202,10,0,2019,1,Alto riesgo
160202,11,0,2019,1,Alto riesgo
160202,12,0.2,2019,1,Alto riesgo
160202,13,0,2019,1,Alto riesgo
160202,14,0.4,2019,1,Alto riesgo
160202,15,0,2019,1,Alto riesgo
160202,16,0,2019,1,Alto riesgo
160202,17,0.2,2019,1,Alto riesgo
160202,18,0.2,2019,1,Alto riesgo
160202,19,0.2,2019,1,Alto riesgo
160202,20,0,2019,1,Alto riesgo
160205,9,0,2019,1,Alto riesgo
160205,10,0,2019,1,Alto riesgo
160205,11,0,2019,1,Alto riesgo
160205,12,0,2019,1,Alto riesgo
160205,13,0,2019,1,Alto riesgo
160205,14,0,2019,1,Alto riesgo
160205,15,0,2019,1,Alto riesgo
160205,16,0,2019,1,Alto riesgo
160205,17,0,2019,1,Alto riesgo
160205,18,0,2019,1,Alto riesgo
160205,19,0,2019,1,Alto riesgo
160205,20,0,2019,1,Alto riesgo
160206,9,0.2,2019,1,Alto riesgo
